EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BAD RADKERSBURG, AUSTRIA (STAID: 24671)
Blended and updated with sources:130419 134319 911248 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24671,134319,19720401,  119,    0
 24671,134319,19720402,   86,    0
 24671,134319,19720403,  113,    0
 24671,134319,19720404,  131,    0
 24671,134319,19720405,  120,    0
 24671,134319,19720406,  106,    0
 24671,134319,19720407,  120,    0
 24671,134319,19720408,  143,    0
 24671,134319,19720409,  130,    0
 24671,134319,19720410,  106,    0
 24671,134319,19720411,  110,    0
 24671,134319,19720412,  126,    0
 24671,134319,19720413,  108,    0
 24671,134319,19720414,  102,    0
 24671,134319,19720415,  114,    0
 24671,134319,19720416,   99,    0
 24671,134319,19720417,  102,    0
 24671,134319,19720418,   79,    0
 24671,134319,19720419,  101,    0
 24671,134319,19720420,  112,    0
 24671,134319,19720421,  112,    0
 24671,134319,19720422,  141,    0
 24671,134319,19720423,  111,    0
 24671,134319,19720424,  116,    0
 24671,134319,19720425,   60,    0
 24671,134319,19720426,   60,    0
 24671,134319,19720427,   76,    0
 24671,134319,19720428,   77,    0
 24671,134319,19720429,   56,    0
 24671,134319,19720430,   89,    0
 24671,134319,19720501,  117,    0
 24671,134319,19720502,  130,    0
 24671,134319,19720503,  143,    0
 24671,134319,19720504,  103,    0
 24671,134319,19720505,  128,    0
 24671,134319,19720506,  132,    0
 24671,134319,19720507,  155,    0
 24671,134319,19720508,  154,    0
 24671,134319,19720509,  158,    0
 24671,134319,19720510,  162,    0
 24671,134319,19720511,  124,    0
 24671,134319,19720512,  120,    0
 24671,134319,19720513,  124,    0
 24671,134319,19720514,  138,    0
 24671,134319,19720515,  137,    0
 24671,134319,19720516,  133,    0
 24671,134319,19720517,  126,    0
 24671,134319,19720518,  123,    0
 24671,134319,19720519,  167,    0
 24671,134319,19720520,  160,    0
 24671,134319,19720521,  141,    0
 24671,134319,19720522,  142,    0
 24671,134319,19720523,  159,    0
 24671,134319,19720524,  170,    0
 24671,134319,19720525,  186,    0
 24671,134319,19720526,  195,    0
 24671,134319,19720527,  160,    0
 24671,134319,19720528,  127,    0
 24671,134319,19720529,  140,    0
 24671,134319,19720530,  166,    0
 24671,134319,19720531,  167,    0
 24671,134319,19720601,  131,    0
 24671,134319,19720602,  124,    0
 24671,134319,19720603,  154,    0
 24671,134319,19720604,  166,    0
 24671,134319,19720605,  185,    0
 24671,134319,19720606,  205,    0
 24671,134319,19720607,  221,    0
 24671,134319,19720608,  225,    0
 24671,134319,19720609,  174,    0
 24671,134319,19720610,  188,    0
 24671,134319,19720611,  187,    0
 24671,134319,19720612,  195,    0
 24671,134319,19720613,  188,    0
 24671,134319,19720614,  186,    0
 24671,134319,19720615,  181,    0
 24671,134319,19720616,  230,    0
 24671,134319,19720617,  170,    0
 24671,134319,19720618,  164,    0
 24671,134319,19720619,  176,    0
 24671,134319,19720620,  185,    0
 24671,134319,19720621,  190,    0
 24671,134319,19720622,  214,    0
 24671,134319,19720623,  195,    0
 24671,134319,19720624,  167,    0
 24671,134319,19720625,  157,    0
 24671,134319,19720626,  173,    0
 24671,134319,19720627,  200,    0
 24671,134319,19720628,  210,    0
 24671,134319,19720629,  213,    0
 24671,134319,19720630,  193,    0
 24671,134319,19720701,  173,    0
 24671,134319,19720702,  181,    0
 24671,134319,19720703,  176,    0
 24671,134319,19720704,  171,    0
 24671,134319,19720705,  191,    0
 24671,134319,19720706,  198,    0
 24671,134319,19720707,  193,    0
 24671,134319,19720708,  199,    0
 24671,134319,19720709,  223,    0
 24671,134319,19720710,  236,    0
 24671,134319,19720711,  183,    0
 24671,134319,19720712,  136,    0
 24671,134319,19720713,  128,    0
 24671,134319,19720714,  152,    0
 24671,134319,19720715,  191,    0
 24671,134319,19720716,  219,    0
 24671,134319,19720717,  227,    0
 24671,134319,19720718,  231,    0
 24671,134319,19720719,  221,    0
 24671,134319,19720720,  223,    0
 24671,134319,19720721,  206,    0
 24671,134319,19720722,  222,    0
 24671,134319,19720723,  223,    0
 24671,134319,19720724,  226,    0
 24671,134319,19720725,  204,    0
 24671,134319,19720726,  200,    0
 24671,134319,19720727,  209,    0
 24671,134319,19720728,  182,    0
 24671,134319,19720729,  168,    0
 24671,134319,19720730,  188,    0
 24671,134319,19720731,  172,    0
 24671,134319,19720801,  200,    0
 24671,134319,19720802,  188,    0
 24671,134319,19720803,  176,    0
 24671,134319,19720804,  169,    0
 24671,134319,19720805,  161,    0
 24671,134319,19720806,  188,    0
 24671,134319,19720807,  199,    0
 24671,134319,19720808,  215,    0
 24671,134319,19720809,  227,    0
 24671,134319,19720810,  226,    0
 24671,134319,19720811,  234,    0
 24671,134319,19720812,  227,    0
 24671,134319,19720813,  225,    0
 24671,134319,19720814,  247,    0
