EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HIEFLAU, AUSTRIA (STAID: 24693)
Blended and updated with sources:134605 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24693,134605,19360101,   34,    0
 24693,134605,19360102,   45,    0
 24693,134605,19360103,   48,    0
 24693,134605,19360104,   46,    0
 24693,134605,19360105,   20,    0
 24693,134605,19360106,   -3,    0
 24693,134605,19360107,  -17,    0
 24693,134605,19360108,   -1,    0
 24693,134605,19360109,    9,    0
 24693,134605,19360110,   12,    0
 24693,134605,19360111,   45,    0
 24693,134605,19360112,   28,    0
 24693,134605,19360113,    9,    0
 24693,134605,19360114,   -8,    0
 24693,134605,19360115,  -39,    0
 24693,134605,19360116,  -61,    0
 24693,134605,19360117,  -40,    0
 24693,134605,19360118,  -12,    0
 24693,134605,19360119,  -63,    0
 24693,134605,19360120,  -19,    0
 24693,134605,19360121,    5,    0
 24693,134605,19360122,    3,    0
 24693,134605,19360123,    3,    0
 24693,134605,19360124,  -26,    0
 24693,134605,19360125,  -30,    0
 24693,134605,19360126,   -8,    0
 24693,134605,19360127,    6,    0
 24693,134605,19360128,    7,    0
 24693,134605,19360129,  -31,    0
 24693,134605,19360130,   -9,    0
 24693,134605,19360131,    2,    0
 24693,134605,19360201,   30,    0
 24693,134605,19360202,    3,    0
 24693,134605,19360203,   20,    0
 24693,134605,19360204,    5,    0
 24693,134605,19360205,  -12,    0
 24693,134605,19360206,  -27,    0
 24693,134605,19360207,  -37,    0
 24693,134605,19360208,  -53,    0
 24693,134605,19360209,  -87,    0
 24693,134605,19360210,  -90,    0
 24693,134605,19360211, -100,    0
 24693,134605,19360212, -100,    0
 24693,134605,19360213,  -96,    0
 24693,134605,19360214,  -83,    0
 24693,134605,19360215,  -73,    0
 24693,134605,19360216,   -1,    0
 24693,134605,19360217,   14,    0
 24693,134605,19360218,   17,    0
 24693,134605,19360219,   25,    0
 24693,134605,19360220,   39,    0
 24693,134605,19360221,   22,    0
 24693,134605,19360222,   35,    0
 24693,134605,19360223,   71,    0
 24693,134605,19360224,   32,    0
 24693,134605,19360225,   26,    0
 24693,134605,19360226,   18,    0
 24693,134605,19360227,   20,    0
 24693,134605,19360228,   55,    0
 24693,134605,19360229,   31,    0
 24693,134605,19360301,   49,    0
 24693,134605,19360302,   29,    0
 24693,134605,19360303,   44,    0
 24693,134605,19360304,   99,    0
 24693,134605,19360305,   97,    0
 24693,134605,19360306,   50,    0
 24693,134605,19360307,   21,    0
 24693,134605,19360308,   26,    0
 24693,134605,19360309,   46,    0
 24693,134605,19360310,   50,    0
 24693,134605,19360311,   67,    0
 24693,134605,19360312,   65,    0
 24693,134605,19360313,   38,    0
 24693,134605,19360314,   21,    0
 24693,134605,19360315,   41,    0
 24693,134605,19360316,   30,    0
 24693,134605,19360317,    4,    0
 24693,134605,19360318,   26,    0
 24693,134605,19360319,   54,    0
 24693,134605,19360320,   67,    0
 24693,134605,19360321,   73,    0
 24693,134605,19360322,   79,    0
 24693,134605,19360323,   92,    0
 24693,134605,19360324,   91,    0
 24693,134605,19360325,   79,    0
 24693,134605,19360326,  102,    0
 24693,134605,19360327,   58,    0
 24693,134605,19360328,   82,    0
 24693,134605,19360329,  101,    0
 24693,134605,19360330,   82,    0
 24693,134605,19360331,   78,    0
 24693,134605,19360401,  104,    0
 24693,134605,19360402,  111,    0
 24693,134605,19360403,  137,    0
 24693,134605,19360404,  129,    0
 24693,134605,19360405,   93,    0
 24693,134605,19360406,   73,    0
 24693,134605,19360407,   75,    0
