EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KLEINZICKEN, AUSTRIA (STAID: 24705)
Blended and updated with sources:134761 911192 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24705,134761,19780101,  -33,    0
 24705,134761,19780102,  -34,    0
 24705,134761,19780103,  -16,    0
 24705,134761,19780104,   16,    0
 24705,134761,19780105,  -36,    0
 24705,134761,19780106,  -58,    0
 24705,134761,19780107,   16,    0
 24705,134761,19780108,   -4,    0
 24705,134761,19780109,  -39,    0
 24705,134761,19780110,  -44,    0
 24705,134761,19780111,  -39,    0
 24705,134761,19780112,  -16,    0
 24705,134761,19780113,   24,    0
 24705,134761,19780114,   20,    0
 24705,134761,19780115,  -15,    0
 24705,134761,19780116,  -10,    0
 24705,134761,19780117,   -3,    0
 24705,134761,19780118,   -7,    0
 24705,134761,19780119,  -13,    0
 24705,134761,19780120,   -9,    0
 24705,134761,19780121,  -22,    0
 24705,134761,19780122,   -8,    0
 24705,134761,19780123,  -38,    0
 24705,134761,19780124,  -46,    0
 24705,134761,19780125,   21,    0
 24705,134761,19780126,   -8,    0
 24705,134761,19780127,    0,    0
 24705,134761,19780128,  -21,    0
 24705,134761,19780129,   38,    0
 24705,134761,19780130,   22,    0
 24705,134761,19780131,   13,    0
 24705,134761,19780201,    8,    0
 24705,134761,19780202,   -2,    0
 24705,134761,19780203,   11,    0
 24705,134761,19780204,    2,    0
 24705,134761,19780205,    4,    0
 24705,134761,19780206,   11,    0
 24705,134761,19780207,   -4,    0
 24705,134761,19780208,  -17,    0
 24705,134761,19780209,  -32,    0
 24705,134761,19780210,  -43,    0
 24705,134761,19780211,  -10,    0
 24705,134761,19780212,   -5,    0
 24705,134761,19780213,   -9,    0
 24705,134761,19780214,  -37,    0
 24705,134761,19780215,  -28,    0
 24705,134761,19780216,  -56,    0
 24705,134761,19780217,  -15,    0
 24705,134761,19780218,  -33,    0
 24705,134761,19780219,  -84,    0
 24705,134761,19780220,  -31,    0
 24705,134761,19780221, -115,    0
 24705,134761,19780222,  -78,    0
 24705,134761,19780223,  -52,    0
 24705,134761,19780224,    7,    0
 24705,134761,19780225,   65,    0
 24705,134761,19780226,   83,    0
 24705,134761,19780227,   83,    0
 24705,134761,19780228,   78,    0
 24705,134761,19780301,   68,    0
 24705,134761,19780302,   96,    0
 24705,134761,19780303,   59,    0
 24705,134761,19780304,   76,    0
 24705,134761,19780305,   65,    0
 24705,134761,19780306,   79,    0
 24705,134761,19780307,   46,    0
 24705,134761,19780308,   34,    0
 24705,134761,19780309,   61,    0
 24705,134761,19780310,   60,    0
 24705,134761,19780311,   63,    0
 24705,134761,19780312,   79,    0
 24705,134761,19780313,   21,    0
 24705,134761,19780314,   86,    0
 24705,134761,19780315,   63,    0
 24705,134761,19780316,   65,    0
 24705,134761,19780317,   61,    0
 24705,134761,19780318,   29,    0
 24705,134761,19780319,   19,    0
 24705,134761,19780320,   38,    0
 24705,134761,19780321,   63,    0
 24705,134761,19780322,   34,    0
 24705,134761,19780323,   24,    0
 24705,134761,19780324,   39,    0
 24705,134761,19780325,   59,    0
 24705,134761,19780326,   16,    0
 24705,134761,19780327,   44,    0
 24705,134761,19780328,   98,    0
