EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LANGENLEBARN, AUSTRIA (STAID: 24707)
Blended and updated with sources:134787 911030 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24707,134787,19630101,  -77,    0
 24707,134787,19630102,  -55,    0
 24707,134787,19630103,   -4,    0
 24707,134787,19630104,   13,    0
 24707,134787,19630105,   -8,    0
 24707,134787,19630106,   13,    0
 24707,134787,19630107,  -19,    0
 24707,134787,19630108,    2,    0
 24707,134787,19630109,  -33,    0
 24707,134787,19630110,  -53,    0
 24707,134787,19630111, -116,    0
 24707,134787,19630112, -143,    0
 24707,134787,19630113, -110,    0
 24707,134787,19630114, -113,    0
 24707,134787,19630115, -102,    0
 24707,134787,19630116, -100,    0
 24707,134787,19630117, -117,    0
 24707,134787,19630118, -138,    0
 24707,134787,19630119, -100,    0
 24707,134787,19630120,  -98,    0
 24707,134787,19630121, -129,    0
 24707,134787,19630122, -129,    0
 24707,134787,19630123,  -94,    0
 24707,134787,19630124,  -74,    0
 24707,134787,19630125,  -54,    0
 24707,134787,19630126,  -40,    0
 24707,134787,19630127,  -50,    0
 24707,134787,19630128,  -60,    0
 24707,134787,19630129, -116,    0
 24707,134787,19630130, -148,    0
 24707,134787,19630131, -102,    0
 24707,134787,19630201, -126,    0
 24707,134787,19630202, -164,    0
 24707,134787,19630203, -131,    0
 24707,134787,19630204, -128,    0
 24707,134787,19630205, -162,    0
 24707,134787,19630206,  -83,    0
 24707,134787,19630207, -115,    0
 24707,134787,19630208,  -54,    0
 24707,134787,19630209,  -26,    0
 24707,134787,19630210,   -7,    0
 24707,134787,19630211,   -5,    0
 24707,134787,19630212,   -2,    0
 24707,134787,19630213,   -1,    0
 24707,134787,19630214,  -32,    0
 24707,134787,19630215,  -69,    0
 24707,134787,19630216,  -45,    0
 24707,134787,19630217,  -40,    0
 24707,134787,19630218,  -30,    0
 24707,134787,19630219,  -38,    0
 24707,134787,19630220,   -8,    0
 24707,134787,19630221,   -6,    0
 24707,134787,19630222,  -41,    0
 24707,134787,19630223,  -89,    0
 24707,134787,19630224,  -69,    0
 24707,134787,19630225,  -84,    0
 24707,134787,19630226,  -90,    0
 24707,134787,19630227, -117,    0
 24707,134787,19630228, -147,    0
 24707,134787,19630301, -162,    0
 24707,134787,19630302, -127,    0
 24707,134787,19630303,  -56,    0
 24707,134787,19630304,  -21,    0
 24707,134787,19630305,    4,    0
 24707,134787,19630306,    3,    0
 24707,134787,19630307,    5,    0
 24707,134787,19630308,   76,    0
 24707,134787,19630309,    3,    0
 24707,134787,19630310,    1,    0
 24707,134787,19630311,   72,    0
 24707,134787,19630312,   39,    0
 24707,134787,19630313,   47,    0
 24707,134787,19630314,   56,    0
 24707,134787,19630315,   -9,    0
 24707,134787,19630316,   12,    0
 24707,134787,19630317,   13,    0
 24707,134787,19630318,   23,    0
 24707,134787,19630319,   26,    0
 24707,134787,19630320,   52,    0
 24707,134787,19630321,   37,    0
 24707,134787,19630322,   18,    0
 24707,134787,19630323,    6,    0
 24707,134787,19630324,   -6,    0
 24707,134787,19630325,   28,    0
 24707,134787,19630326,   44,    0
 24707,134787,19630327,   61,    0
 24707,134787,19630328,   49,    0
 24707,134787,19630329,   67,    0
 24707,134787,19630330,   97,    0
 24707,134787,19630331,   63,    0
 24707,134787,19630401,   39,    0
 24707,134787,19630402,   21,    0
 24707,134787,19630403,   27,    0
 24707,134787,19630404,   38,    0
 24707,134787,19630405,   73,    0
 24707,134787,19630406,  105,    0
 24707,134787,19630407,   89,    0
 24707,134787,19630408,   94,    0
 24707,134787,19630409,   80,    0
 24707,134787,19630410,  113,    0
 24707,134787,19630411,  149,    0
 24707,134787,19630412,  131,    0
 24707,134787,19630413,  109,    0
 24707,134787,19630414,   85,    0
 24707,134787,19630415,   93,    0
 24707,134787,19630416,  138,    0
 24707,134787,19630417,  156,    0
 24707,134787,19630418,  132,    0
 24707,134787,19630419,  151,    0
 24707,134787,19630420,  141,    0
 24707,134787,19630421,  151,    0
 24707,134787,19630422,  137,    0
 24707,134787,19630423,  151,    0
 24707,134787,19630424,  135,    0
 24707,134787,19630425,  123,    0
 24707,134787,19630426,  109,    0
 24707,134787,19630427,   66,    0
 24707,134787,19630428,   86,    0
 24707,134787,19630429,  114,    0
 24707,134787,19630430,  106,    0
 24707,134787,19630501,  126,    0
 24707,134787,19630502,  150,    0
 24707,134787,19630503,  107,    0
 24707,134787,19630504,   63,    0
 24707,134787,19630505,   65,    0
 24707,134787,19630506,  109,    0
 24707,134787,19630507,  127,    0
 24707,134787,19630508,  125,    0
 24707,134787,19630509,  126,    0
 24707,134787,19630510,  141,    0
 24707,134787,19630511,  127,    0
 24707,134787,19630512,   92,    0
 24707,134787,19630513,  160,    0
 24707,134787,19630514,  138,    0
 24707,134787,19630515,  146,    0
 24707,134787,19630516,  156,    0
 24707,134787,19630517,  153,    0
 24707,134787,19630518,  136,    0
 24707,134787,19630519,  135,    0
 24707,134787,19630520,  105,    0
 24707,134787,19630521,   98,    0
 24707,134787,19630522,  111,    0
 24707,134787,19630523,  139,    0
 24707,134787,19630524,  157,    0
 24707,134787,19630525,  176,    0
 24707,134787,19630526,  150,    0
 24707,134787,19630527,  190,    0
 24707,134787,19630528,  188,    0
 24707,134787,19630529,  183,    0
 24707,134787,19630530,  160,    0
 24707,134787,19630531,  167,    0
 24707,134787,19630601,  154,    0
 24707,134787,19630602,  132,    0
 24707,134787,19630603,  124,    0
 24707,134787,19630604,  161,    0
 24707,134787,19630605,  189,    0
 24707,134787,19630606,  197,    0
 24707,134787,19630607,  205,    0
 24707,134787,19630608,  191,    0
 24707,134787,19630609,  176,    0
 24707,134787,19630610,  176,    0
 24707,134787,19630611,  171,    0
 24707,134787,19630612,  191,    0
 24707,134787,19630613,  176,    0
 24707,134787,19630614,  192,    0
 24707,134787,19630615,  132,    0
 24707,134787,19630616,  140,    0
 24707,134787,19630617,  150,    0
 24707,134787,19630618,  169,    0
 24707,134787,19630619,  172,    0
 24707,134787,19630620,  143,    0
 24707,134787,19630621,  189,    0
 24707,134787,19630622,  225,    0
 24707,134787,19630623,  197,    0
 24707,134787,19630624,  183,    0
 24707,134787,19630625,  215,    0
 24707,134787,19630626,  212,    0
 24707,134787,19630627,  224,    0
 24707,134787,19630628,  236,    0
 24707,134787,19630629,  203,    0
 24707,134787,19630630,  203,    0
 24707,134787,19630701,  218,    0
 24707,134787,19630702,  203,    0
 24707,134787,19630703,  209,    0
 24707,134787,19630704,  200,    0
 24707,134787,19630705,  201,    0
 24707,134787,19630706,  191,    0
 24707,134787,19630707,  204,    0
 24707,134787,19630708,  179,    0
 24707,134787,19630709,  183,    0
 24707,134787,19630710,  173,    0
 24707,134787,19630711,  171,    0
 24707,134787,19630712,  183,    0
 24707,134787,19630713,  185,    0
 24707,134787,19630714,  184,    0
 24707,134787,19630715,  187,    0
 24707,134787,19630716,  186,    0
 24707,134787,19630717,  228,    0
 24707,134787,19630718,  225,    0
 24707,134787,19630719,  231,    0
 24707,134787,19630720,  233,    0
 24707,134787,19630721,  230,    0
 24707,134787,19630722,  216,    0
 24707,134787,19630723,  232,    0
 24707,134787,19630724,  245,    0
 24707,134787,19630725,  244,    0
 24707,134787,19630726,  213,    0
 24707,134787,19630727,  178,    0
 24707,134787,19630728,  157,    0
 24707,134787,19630729,  146,    0
 24707,134787,19630730,  179,    0
 24707,134787,19630731,  164,    0
 24707,134787,19630801,  234,    0
 24707,134787,19630802,  238,    0
 24707,134787,19630803,  233,    0
 24707,134787,19630804,  264,    0
 24707,134787,19630805,  225,    0
 24707,134787,19630806,  248,    0
 24707,134787,19630807,  265,    0
 24707,134787,19630808,  213,    0
 24707,134787,19630809,  201,    0
 24707,134787,19630810,  192,    0
 24707,134787,19630811,  206,    0
 24707,134787,19630812,  218,    0
 24707,134787,19630813,  193,    0
 24707,134787,19630814,  198,    0
 24707,134787,19630815,  176,    0
 24707,134787,19630816,  185,    0
 24707,134787,19630817,  173,    0
 24707,134787,19630818,  145,    0
 24707,134787,19630819,  142,    0
 24707,134787,19630820,  173,    0
 24707,134787,19630821,  149,    0
 24707,134787,19630822,  133,    0
 24707,134787,19630823,  166,    0
 24707,134787,19630824,  193,    0
 24707,134787,19630825,  178,    0
 24707,134787,19630826,  215,    0
 24707,134787,19630827,  222,    0
 24707,134787,19630828,  173,    0
 24707,134787,19630829,  134,    0
 24707,134787,19630830,  128,    0
 24707,134787,19630831,  127,    0
 24707,134787,19630901,  147,    0
 24707,134787,19630902,  181,    0
 24707,134787,19630903,  176,    0
 24707,134787,19630904,  195,    0
 24707,134787,19630905,  192,    0
 24707,134787,19630906,  167,    0
 24707,134787,19630907,  156,    0
