EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MATTSEE, AUSTRIA (STAID: 24714)
Blended and updated with sources:134878 911152 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24714,134878,19490601,-9999,    9
 24714,134878,19490602,-9999,    9
 24714,134878,19490603,-9999,    9
 24714,134878,19490604,-9999,    9
 24714,134878,19490605,-9999,    9
 24714,134878,19490606,-9999,    9
 24714,134878,19490607,-9999,    9
 24714,134878,19490608,-9999,    9
 24714,134878,19490609,-9999,    9
 24714,134878,19490610,-9999,    9
 24714,134878,19490611,-9999,    9
 24714,134878,19490612,-9999,    9
 24714,134878,19490613,-9999,    9
 24714,134878,19490614,-9999,    9
 24714,134878,19490615,-9999,    9
 24714,134878,19490616,-9999,    9
 24714,134878,19490617,-9999,    9
 24714,134878,19490618,  110,    0
 24714,134878,19490619,  120,    0
 24714,134878,19490620,  125,    0
 24714,134878,19490621,  167,    0
 24714,134878,19490622,  135,    0
 24714,134878,19490623,  140,    0
 24714,134878,19490624,  128,    0
 24714,134878,19490625,  113,    0
 24714,134878,19490626,  139,    0
 24714,134878,19490627,  183,    0
 24714,134878,19490628,  153,    0
 24714,134878,19490629,  171,    0
 24714,134878,19490630,  143,    0
 24714,134878,19490701,  137,    0
 24714,134878,19490702,  155,    0
 24714,134878,19490703,  135,    0
 24714,134878,19490704,  160,    0
 24714,134878,19490705,  181,    0
 24714,134878,19490706,  171,    0
 24714,134878,19490707,  160,    0
 24714,134878,19490708,  164,    0
 24714,134878,19490709,  172,    0
 24714,134878,19490710,  171,    0
 24714,134878,19490711,  186,    0
 24714,134878,19490712,  189,    0
 24714,134878,19490713,  205,    0
 24714,134878,19490714,  218,    0
 24714,134878,19490715,  228,    0
 24714,134878,19490716,  200,    0
 24714,134878,19490717,  196,    0
 24714,134878,19490718,  195,    0
 24714,134878,19490719,  146,    0
 24714,134878,19490720,  116,    0
 24714,134878,19490721,  143,    0
 24714,134878,19490722,  154,    0
 24714,134878,19490723,  158,    0
 24714,134878,19490724,  167,    0
 24714,134878,19490725,  183,    0
 24714,134878,19490726,  200,    0
 24714,134878,19490727,  211,    0
 24714,134878,19490728,  224,    0
 24714,134878,19490729,  239,    0
 24714,134878,19490730,  189,    0
 24714,134878,19490731,  190,    0
 24714,134878,19490801,  227,    0
 24714,134878,19490802,  236,    0
 24714,134878,19490803,  174,    0
 24714,134878,19490804,  164,    0
 24714,134878,19490805,  176,    0
 24714,134878,19490806,  184,    0
 24714,134878,19490807,  209,    0
 24714,134878,19490808,  237,    0
 24714,134878,19490809,  251,    0
 24714,134878,19490810,  166,    0
 24714,134878,19490811,  144,    0
 24714,134878,19490812,  104,    0
 24714,134878,19490813,   96,    0
 24714,134878,19490814,   91,    0
 24714,134878,19490815,  129,    0
 24714,134878,19490816,  148,    0
 24714,134878,19490817,  162,    0
 24714,134878,19490818,  125,    0
 24714,134878,19490819,  118,    0
 24714,134878,19490820,  118,    0
 24714,134878,19490821,  134,    0
 24714,134878,19490822,  153,    0
 24714,134878,19490823,  184,    0
 24714,134878,19490824,  199,    0
 24714,134878,19490825,  187,    0
 24714,134878,19490826,  197,    0
 24714,134878,19490827,  212,    0
 24714,134878,19490828,  210,    0
 24714,134878,19490829,  189,    0
 24714,134878,19490830,  175,    0
 24714,134878,19490831,  185,    0
 24714,134878,19490901,  201,    0
 24714,134878,19490902,  200,    0
 24714,134878,19490903,  194,    0
 24714,134878,19490904,  205,    0
 24714,134878,19490905,  199,    0
 24714,134878,19490906,  199,    0
 24714,134878,19490907,  190,    0
 24714,134878,19490908,  170,    0
 24714,134878,19490909,  139,    0
 24714,134878,19490910,  152,    0
 24714,134878,19490911,  147,    0
 24714,134878,19490912,  149,    0
 24714,134878,19490913,  166,    0
 24714,134878,19490914,  174,    0
 24714,134878,19490915,  177,    0
 24714,134878,19490916,  156,    0
 24714,134878,19490917,  142,    0
 24714,134878,19490918,  135,    0
 24714,134878,19490919,  136,    0
 24714,134878,19490920,  144,    0
 24714,134878,19490921,  155,    0
 24714,134878,19490922,  174,    0
 24714,134878,19490923,  163,    0
 24714,134878,19490924,  180,    0
 24714,134878,19490925,  161,    0
 24714,134878,19490926,  160,    0
 24714,134878,19490927,  170,    0
 24714,134878,19490928,  158,    0
 24714,134878,19490929,  155,    0
 24714,134878,19490930,  160,    0
 24714,134878,19491001,  139,    0
 24714,134878,19491002,  126,    0
 24714,134878,19491003,  142,    0
 24714,134878,19491004,  152,    0
 24714,134878,19491005,  153,    0
 24714,134878,19491006,  152,    0
 24714,134878,19491007,  136,    0
 24714,134878,19491008,  114,    0
 24714,134878,19491009,  104,    0
 24714,134878,19491010,  129,    0
 24714,134878,19491011,  124,    0
 24714,134878,19491012,  143,    0
 24714,134878,19491013,  144,    0
 24714,134878,19491014,  127,    0
 24714,134878,19491015,  130,    0
 24714,134878,19491016,  128,    0
 24714,134878,19491017,  127,    0
 24714,134878,19491018,  109,    0
 24714,134878,19491019,  113,    0
 24714,134878,19491020,  130,    0
 24714,134878,19491021,  100,    0
 24714,134878,19491022,   88,    0
 24714,134878,19491023,   90,    0
 24714,134878,19491024,  115,    0
 24714,134878,19491025,  146,    0
 24714,134878,19491026,  155,    0
 24714,134878,19491027,   82,    0
 24714,134878,19491028,   24,    0
 24714,134878,19491029,   25,    0
 24714,134878,19491030,   32,    0
 24714,134878,19491031,   28,    0
 24714,134878,19491101,   18,    0
 24714,134878,19491102,   11,    0
 24714,134878,19491103,   -1,    0
 24714,134878,19491104,  -15,    0
 24714,134878,19491105,    0,    0
 24714,134878,19491106,   34,    0
 24714,134878,19491107,   39,    0
 24714,134878,19491108,   29,    0
 24714,134878,19491109,   15,    0
 24714,134878,19491110,   11,    0
 24714,134878,19491111,   37,    0
 24714,134878,19491112,   78,    0
 24714,134878,19491113,   71,    0
 24714,134878,19491114,   36,    0
 24714,134878,19491115,   13,    0
 24714,134878,19491116,   18,    0
 24714,134878,19491117,   23,    0
 24714,134878,19491118,   20,    0
 24714,134878,19491119,    6,    0
 24714,134878,19491120,   37,    0
 24714,134878,19491121,   74,    0
 24714,134878,19491122,   43,    0
 24714,134878,19491123,   40,    0
 24714,134878,19491124,   24,    0
 24714,134878,19491125,   41,    0
 24714,134878,19491126,   33,    0
 24714,134878,19491127,   37,    0
 24714,134878,19491128,   55,    0
 24714,134878,19491129,   34,    0
 24714,134878,19491130,   11,    0
 24714,134878,19491201,   30,    0
 24714,134878,19491202,   32,    0
 24714,134878,19491203,   30,    0
 24714,134878,19491204,   76,    0
 24714,134878,19491205,   71,    0
 24714,134878,19491206,   36,    0
 24714,134878,19491207,   60,    0
 24714,134878,19491208,   73,    0
 24714,134878,19491209,   50,    0
 24714,134878,19491210,   11,    0
 24714,134878,19491211,  -18,    0
 24714,134878,19491212,  -29,    0
 24714,134878,19491213,  -25,    0
 24714,134878,19491214,  -56,    0
 24714,134878,19491215,    3,    0
 24714,134878,19491216,   11,    0
 24714,134878,19491217,   35,    0
 24714,134878,19491218,   12,    0
 24714,134878,19491219,   31,    0
 24714,134878,19491220,   57,    0
 24714,134878,19491221,   47,    0
 24714,134878,19491222,   55,    0
 24714,134878,19491223,   49,    0
 24714,134878,19491224,    4,    0
 24714,134878,19491225,   20,    0
 24714,134878,19491226,   32,    0
 24714,134878,19491227,   64,    0
 24714,134878,19491228,   54,    0
 24714,134878,19491229,   17,    0
 24714,134878,19491230,   -1,    0
 24714,134878,19491231,  -10,    0
 24714,134878,19500101,  -34,    0
 24714,134878,19500102,   -3,    0
 24714,134878,19500103,   40,    0
 24714,134878,19500104,    4,    0
 24714,134878,19500105,   10,    0
 24714,134878,19500106,   41,    0
 24714,134878,19500107,   26,    0
 24714,134878,19500108,   19,    0
 24714,134878,19500109,   13,    0
 24714,134878,19500110,   37,    0
 24714,134878,19500111,   42,    0
 24714,134878,19500112,   35,    0
 24714,134878,19500113,   22,    0
 24714,134878,19500114,   26,    0
 24714,134878,19500115,   49,    0
 24714,134878,19500116,   32,    0
 24714,134878,19500117,   13,    0
 24714,134878,19500118,  -14,    0
 24714,134878,19500119,  -63,    0
 24714,134878,19500120,  -64,    0
 24714,134878,19500121,  -67,    0
 24714,134878,19500122,  -68,    0
 24714,134878,19500123,  -74,    0
 24714,134878,19500124,  -72,    0
 24714,134878,19500125,  -62,    0
 24714,134878,19500126,  -54,    0
 24714,134878,19500127,  -61,    0
 24714,134878,19500128,  -70,    0
 24714,134878,19500129,  -81,    0
 24714,134878,19500130,  -87,    0
 24714,134878,19500131,  -83,    0
 24714,134878,19500201,  -27,    0
