EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MAYRHOFEN, AUSTRIA (STAID: 24715)
Blended and updated with sources:128729 133305 134891 911330 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24715,134891,19360101,   67,    0
 24715,134891,19360102,   66,    0
 24715,134891,19360103,   91,    0
 24715,134891,19360104,   57,    0
 24715,134891,19360105,    8,    0
 24715,134891,19360106,  -10,    0
 24715,134891,19360107,   30,    0
 24715,134891,19360108,   36,    0
 24715,134891,19360109,   10,    0
 24715,134891,19360110,   23,    0
 24715,134891,19360111,   52,    0
 24715,134891,19360112,   25,    0
 24715,134891,19360113,    2,    0
 24715,134891,19360114,   -3,    0
 24715,134891,19360115,  -31,    0
 24715,134891,19360116,  -43,    0
 24715,134891,19360117,   20,    0
 24715,134891,19360118,   -3,    0
 24715,134891,19360119,  -17,    0
 24715,134891,19360120,   45,    0
 24715,134891,19360121,   23,    0
 24715,134891,19360122,    3,    0
 24715,134891,19360123,  -15,    0
 24715,134891,19360124,  -30,    0
 24715,134891,19360125,    4,    0
 24715,134891,19360126,   75,    0
 24715,134891,19360127,   27,    0
 24715,134891,19360128,   25,    0
 24715,134891,19360129,   25,    0
 24715,134891,19360130,   25,    0
 24715,134891,19360131,   19,    0
 24715,134891,19360201,   45,    0
 24715,134891,19360202,   16,    0
 24715,134891,19360203,   11,    0
 24715,134891,19360204,  -10,    0
 24715,134891,19360205,  -21,    0
 24715,134891,19360206,  -15,    0
 24715,134891,19360207,  -40,    0
 24715,134891,19360208,  -58,    0
 24715,134891,19360209,  -43,    0
 24715,134891,19360210,  -81,    0
 24715,134891,19360211, -104,    0
 24715,134891,19360212,  -53,    0
 24715,134891,19360213,  -28,    0
 24715,134891,19360214,  -24,    0
 24715,134891,19360215,   -4,    0
 24715,134891,19360216,   28,    0
 24715,134891,19360217,   33,    0
 24715,134891,19360218,   41,    0
 24715,134891,19360219,   56,    0
 24715,134891,19360220,   54,    0
 24715,134891,19360221,   40,    0
 24715,134891,19360222,   76,    0
 24715,134891,19360223,   63,    0
 24715,134891,19360224,   25,    0
 24715,134891,19360225,   13,    0
 24715,134891,19360226,   38,    0
 24715,134891,19360227,   23,    0
 24715,134891,19360228,   21,    0
 24715,134891,19360229,   26,    0
 24715,134891,19360301,   25,    0
 24715,134891,19360302,   29,    0
 24715,134891,19360303,   78,    0
 24715,134891,19360304,  115,    0
 24715,134891,19360305,   95,    0
 24715,134891,19360306,   53,    0
 24715,134891,19360307,   31,    0
 24715,134891,19360308,   35,    0
 24715,134891,19360309,   65,    0
 24715,134891,19360310,   85,    0
 24715,134891,19360311,   95,    0
 24715,134891,19360312,  111,    0
 24715,134891,19360313,   41,    0
 24715,134891,19360314,   52,    0
 24715,134891,19360315,   40,    0
 24715,134891,19360316,    5,    0
 24715,134891,19360317,   21,    0
 24715,134891,19360318,   58,    0
 24715,134891,19360319,   77,    0
 24715,134891,19360320,   89,    0
 24715,134891,19360321,   88,    0
 24715,134891,19360322,  105,    0
 24715,134891,19360323,  145,    0
 24715,134891,19360324,  112,    0
 24715,134891,19360325,  109,    0
 24715,134891,19360326,  125,    0
 24715,134891,19360327,  110,    0
 24715,134891,19360328,  115,    0
 24715,134891,19360329,  125,    0
 24715,134891,19360330,   96,    0
 24715,134891,19360331,  118,    0
 24715,134891,19360401,  128,    0
 24715,134891,19360402,  146,    0
 24715,134891,19360403,  133,    0
 24715,134891,19360404,  139,    0
 24715,134891,19360405,   94,    0
 24715,134891,19360406,  107,    0
 24715,134891,19360407,   74,    0
 24715,134891,19360408,   64,    0
 24715,134891,19360409,  111,    0
 24715,134891,19360410,  100,    0
 24715,134891,19360411,   61,    0
 24715,134891,19360412,    9,    0
 24715,134891,19360413,   24,    0
 24715,134891,19360414,   94,    0
 24715,134891,19360415,  104,    0
 24715,134891,19360416,  123,    0
 24715,134891,19360417,   69,    0
 24715,134891,19360418,   26,    0
 24715,134891,19360419,   56,    0
 24715,134891,19360420,   65,    0
 24715,134891,19360421,   80,    0
 24715,134891,19360422,  113,    0
 24715,134891,19360423,   31,    0
 24715,134891,19360424,   56,    0
 24715,134891,19360425,   69,    0
 24715,134891,19360426,  123,    0
 24715,134891,19360427,  143,    0
 24715,134891,19360428,  139,    0
 24715,134891,19360429,  135,    0
 24715,134891,19360430,  114,    0
 24715,134891,19360501,  110,    0
 24715,134891,19360502,  125,    0
 24715,134891,19360503,  108,    0
 24715,134891,19360504,  144,    0
 24715,134891,19360505,  150,    0
 24715,134891,19360506,  145,    0
 24715,134891,19360507,  138,    0
 24715,134891,19360508,  149,    0
 24715,134891,19360509,  163,    0
 24715,134891,19360510,  165,    0
 24715,134891,19360511,  117,    0
 24715,134891,19360512,  146,    0
 24715,134891,19360513,  108,    0
 24715,134891,19360514,  138,    0
 24715,134891,19360515,  120,    0
 24715,134891,19360516,  128,    0
 24715,134891,19360517,  145,    0
 24715,134891,19360518,  157,    0
 24715,134891,19360519,  115,    0
 24715,134891,19360520,  133,    0
 24715,134891,19360521,  143,    0
 24715,134891,19360522,   80,    0
 24715,134891,19360523,   77,    0
 24715,134891,19360524,  125,    0
 24715,134891,19360525,  158,    0
 24715,134891,19360526,  169,    0
 24715,134891,19360527,  165,    0
 24715,134891,19360528,  165,    0
 24715,134891,19360529,  143,    0
 24715,134891,19360530,  140,    0
 24715,134891,19360531,  126,    0
 24715,134891,19360601,   72,    0
 24715,134891,19360602,  119,    0
 24715,134891,19360603,  124,    0
 24715,134891,19360604,  138,    0
 24715,134891,19360605,   95,    0
 24715,134891,19360606,   86,    0
 24715,134891,19360607,  130,    0
 24715,134891,19360608,  131,    0
 24715,134891,19360609,   93,    0
 24715,134891,19360610,   88,    0
 24715,134891,19360611,   99,    0
 24715,134891,19360612,  141,    0
 24715,134891,19360613,  148,    0
 24715,134891,19360614,  186,    0
 24715,134891,19360615,  162,    0
 24715,134891,19360616,  190,    0
 24715,134891,19360617,  216,    0
 24715,134891,19360618,  222,    0
 24715,134891,19360619,  220,    0
 24715,134891,19360620,  206,    0
 24715,134891,19360621,  195,    0
 24715,134891,19360622,  206,    0
 24715,134891,19360623,  213,    0
 24715,134891,19360624,  179,    0
 24715,134891,19360625,  188,    0
 24715,134891,19360626,  180,    0
 24715,134891,19360627,  151,    0
 24715,134891,19360628,  173,    0
 24715,134891,19360629,  207,    0
 24715,134891,19360630,  171,    0
 24715,134891,19360701,  206,    0
 24715,134891,19360702,  163,    0
 24715,134891,19360703,  163,    0
 24715,134891,19360704,  163,    0
 24715,134891,19360705,  191,    0
 24715,134891,19360706,  218,    0
 24715,134891,19360707,  244,    0
 24715,134891,19360708,  201,    0
 24715,134891,19360709,  173,    0
 24715,134891,19360710,  138,    0
 24715,134891,19360711,  140,    0
 24715,134891,19360712,  120,    0
 24715,134891,19360713,  151,    0
 24715,134891,19360714,  170,    0
 24715,134891,19360715,  193,    0
 24715,134891,19360716,  166,    0
 24715,134891,19360717,  210,    0
 24715,134891,19360718,  235,    0
 24715,134891,19360719,  186,    0
 24715,134891,19360720,  178,    0
 24715,134891,19360721,  155,    0
 24715,134891,19360722,  125,    0
 24715,134891,19360723,  157,    0
 24715,134891,19360724,  178,    0
 24715,134891,19360725,  204,    0
 24715,134891,19360726,  203,    0
 24715,134891,19360727,  218,    0
 24715,134891,19360728,  211,    0
 24715,134891,19360729,  141,    0
 24715,134891,19360730,  131,    0
 24715,134891,19360731,  111,    0
 24715,134891,19360801,  135,    0
 24715,134891,19360802,  136,    0
 24715,134891,19360803,  186,    0
 24715,134891,19360804,  146,    0
 24715,134891,19360805,  162,    0
 24715,134891,19360806,  176,    0
 24715,134891,19360807,  135,    0
 24715,134891,19360808,  151,    0
 24715,134891,19360809,  174,    0
 24715,134891,19360810,  190,    0
 24715,134891,19360811,  186,    0
 24715,134891,19360812,  140,    0
 24715,134891,19360813,  126,    0
 24715,134891,19360814,  166,    0
 24715,134891,19360815,  180,    0
 24715,134891,19360816,  199,    0
 24715,134891,19360817,  195,    0
 24715,134891,19360818,  193,    0
 24715,134891,19360819,  205,    0
 24715,134891,19360820,  171,    0
 24715,134891,19360821,  189,    0
 24715,134891,19360822,  179,    0
 24715,134891,19360823,  155,    0
 24715,134891,19360824,  170,    0
 24715,134891,19360825,  184,    0
 24715,134891,19360826,  186,    0
 24715,134891,19360827,  192,    0
 24715,134891,19360828,  161,    0
 24715,134891,19360829,  168,    0
 24715,134891,19360830,  180,    0
 24715,134891,19360831,  151,    0
 24715,134891,19360901,  165,    0
 24715,134891,19360902,  175,    0
 24715,134891,19360903,  202,    0
 24715,134891,19360904,  206,    0
 24715,134891,19360905,  174,    0
 24715,134891,19360906,  122,    0
 24715,134891,19360907,  136,    0
 24715,134891,19360908,  152,    0
 24715,134891,19360909,  108,    0
 24715,134891,19360910,  119,    0
 24715,134891,19360911,  123,    0
 24715,134891,19360912,  139,    0
 24715,134891,19360913,  135,    0
 24715,134891,19360914,  119,    0
 24715,134891,19360915,  163,    0
 24715,134891,19360916,  145,    0
 24715,134891,19360917,  156,    0
 24715,134891,19360918,  151,    0
 24715,134891,19360919,  190,    0
 24715,134891,19360920,  200,    0
 24715,134891,19360921,  198,    0
 24715,134891,19360922,  175,    0
 24715,134891,19360923,  191,    0
 24715,134891,19360924,  160,    0
 24715,134891,19360925,  166,    0
 24715,134891,19360926,  144,    0
 24715,134891,19360927,   89,    0
 24715,134891,19360928,   77,    0
 24715,134891,19360929,   48,    0
 24715,134891,19360930,   34,    0
 24715,134891,19361001,   51,    0
 24715,134891,19361002,   53,    0
 24715,134891,19361003,   36,    0
 24715,134891,19361004,   66,    0
 24715,134891,19361005,   65,    0
 24715,134891,19361006,   48,    0
 24715,134891,19361007,   17,    0
 24715,134891,19361008,    9,    0
 24715,134891,19361009,   38,    0
 24715,134891,19361010,   31,    0
 24715,134891,19361011,   26,    0
 24715,134891,19361012,   51,    0
 24715,134891,19361013,   52,    0
 24715,134891,19361014,   61,    0
 24715,134891,19361015,   73,    0
 24715,134891,19361016,  100,    0
 24715,134891,19361017,   96,    0
 24715,134891,19361018,   85,    0
 24715,134891,19361019,   93,    0
 24715,134891,19361020,   53,    0
 24715,134891,19361021,   33,    0
 24715,134891,19361022,   76,    0
 24715,134891,19361023,   92,    0
 24715,134891,19361024,   81,    0
 24715,134891,19361025,   57,    0
 24715,134891,19361026,   76,    0
 24715,134891,19361027,   70,    0
 24715,134891,19361028,   47,    0
 24715,134891,19361029,    9,    0
 24715,134891,19361030,   21,    0
 24715,134891,19361031,    9,    0
 24715,134891,19361101,    9,    0
 24715,134891,19361102,   25,    0
 24715,134891,19361103,   31,    0
 24715,134891,19361104,   18,    0
 24715,134891,19361105,   28,    0
 24715,134891,19361106,   44,    0
 24715,134891,19361107,  104,    0
 24715,134891,19361108,   72,    0
 24715,134891,19361109,   45,    0
 24715,134891,19361110,   40,    0
 24715,134891,19361111,   34,    0
 24715,134891,19361112,   76,    0
 24715,134891,19361113,  108,    0
 24715,134891,19361114,   65,    0
 24715,134891,19361115,   51,    0
 24715,134891,19361116,   30,    0
 24715,134891,19361117,   45,    0
 24715,134891,19361118,   50,    0
 24715,134891,19361119,   45,    0
 24715,134891,19361120,   20,    0
 24715,134891,19361121,   25,    0
 24715,134891,19361122,    5,    0
 24715,134891,19361123,   -3,    0
 24715,134891,19361124,   -3,    0
 24715,134891,19361125,   -5,    0
 24715,134891,19361126,  -15,    0
 24715,134891,19361127,  -25,    0
 24715,134891,19361128,  -23,    0
 24715,134891,19361129,  -30,    0
 24715,134891,19361130,  -23,    0
 24715,134891,19361201,   -8,    0
 24715,134891,19361202,   -8,    0
 24715,134891,19361203,    1,    0
 24715,134891,19361204,    3,    0
 24715,134891,19361205,   10,    0
 24715,134891,19361206,    5,    0
 24715,134891,19361207,  -21,    0
 24715,134891,19361208,  -42,    0
 24715,134891,19361209,  -65,    0
 24715,134891,19361210,  -26,    0
 24715,134891,19361211,   45,    0
 24715,134891,19361212,   -5,    0
 24715,134891,19361213,  -22,    0
 24715,134891,19361214,  -53,    0
 24715,134891,19361215,  -33,    0
 24715,134891,19361216,  -17,    0
 24715,134891,19361217,   -1,    0
 24715,134891,19361218,   12,    0
 24715,134891,19361219,   13,    0
 24715,134891,19361220,   -9,    0
 24715,134891,19361221,  -21,    0
 24715,134891,19361222,  -20,    0
 24715,134891,19361223,  -35,    0
 24715,134891,19361224,  -35,    0
 24715,134891,19361225,  -48,    0
 24715,134891,19361226,  -21,    0
 24715,134891,19361227,  -51,    0
 24715,134891,19361228,  -58,    0
 24715,134891,19361229,  -60,    0
 24715,134891,19361230,  -56,    0
 24715,134891,19361231,  -45,    0
 24715,134891,19370101,  -51,    0
 24715,134891,19370102,  -49,    0
 24715,134891,19370103,  -17,    0
 24715,134891,19370104,   -5,    0
 24715,134891,19370105,  -19,    0
 24715,134891,19370106,   -5,    0
 24715,134891,19370107,   25,    0
 24715,134891,19370108,    4,    0
 24715,134891,19370109,  -55,    0
 24715,134891,19370110, -119,    0
 24715,134891,19370111,  -97,    0
 24715,134891,19370112,  -70,    0
 24715,134891,19370113,  -90,    0
 24715,134891,19370114,  -74,    0
 24715,134891,19370115,  -22,    0
 24715,134891,19370116,    6,    0
 24715,134891,19370117,  -24,    0
 24715,134891,19370118,  -33,    0
 24715,134891,19370119,  -13,    0
 24715,134891,19370120,    3,    0
 24715,134891,19370121,  -40,    0
 24715,134891,19370122,  -19,    0
 24715,134891,19370123,   10,    0
 24715,134891,19370124,    5,    0
 24715,134891,19370125,  -11,    0
 24715,134891,19370126,   -5,    0
 24715,134891,19370127,  -10,    0
 24715,134891,19370128,   29,    0
 24715,134891,19370129,  -15,    0
 24715,134891,19370130,    5,    0
 24715,134891,19370131,    8,    0
 24715,134891,19370201,   33,    0
 24715,134891,19370202,   -2,    0
 24715,134891,19370203,   16,    0
 24715,134891,19370204,   12,    0
 24715,134891,19370205,   53,    0
 24715,134891,19370206,   27,    0
 24715,134891,19370207,    5,    0
 24715,134891,19370208,   20,    0
 24715,134891,19370209,   19,    0
 24715,134891,19370210,   14,    0
 24715,134891,19370211,    5,    0
 24715,134891,19370212,   -4,    0
 24715,134891,19370213,   -4,    0
 24715,134891,19370214,  -16,    0
 24715,134891,19370215,  -21,    0
 24715,134891,19370216,   23,    0
 24715,134891,19370217,    4,    0
 24715,134891,19370218,    0,    0
 24715,134891,19370219,  -26,    0
 24715,134891,19370220,   20,    0
 24715,134891,19370221,    5,    0
 24715,134891,19370222,   28,    0
 24715,134891,19370223,   10,    0
 24715,134891,19370224,    6,    0
 24715,134891,19370225,    9,    0
 24715,134891,19370226,   35,    0
 24715,134891,19370227,   53,    0
 24715,134891,19370228,   50,    0
 24715,134891,19370301,   14,    0
 24715,134891,19370302,   -4,    0
 24715,134891,19370303,   11,    0
 24715,134891,19370304,    5,    0
 24715,134891,19370305,   83,    0
 24715,134891,19370306,   30,    0
 24715,134891,19370307,   -5,    0
 24715,134891,19370308,   24,    0
 24715,134891,19370309,   60,    0
 24715,134891,19370310,   31,    0
 24715,134891,19370311,   25,    0
 24715,134891,19370312,   71,    0
 24715,134891,19370313,   66,    0
 24715,134891,19370314,   71,    0
 24715,134891,19370315,   23,    0
 24715,134891,19370316,   38,    0
 24715,134891,19370317,   55,    0
 24715,134891,19370318,   96,    0
 24715,134891,19370319,   92,    0
 24715,134891,19370320,   90,    0
 24715,134891,19370321,   34,    0
 24715,134891,19370322,   70,    0
 24715,134891,19370323,   56,    0
 24715,134891,19370324,   40,    0
 24715,134891,19370325,   45,    0
 24715,134891,19370326,   45,    0
 24715,134891,19370327,   12,    0
 24715,134891,19370328,    0,    0
 24715,134891,19370329,   13,    0
 24715,134891,19370330,   34,    0
 24715,134891,19370331,   65,    0
 24715,134891,19370401,   69,    0
 24715,134891,19370402,   94,    0
 24715,134891,19370403,  110,    0
 24715,134891,19370404,   64,    0
 24715,134891,19370405,   93,    0
 24715,134891,19370406,   87,    0
 24715,134891,19370407,   85,    0
 24715,134891,19370408,   96,    0
 24715,134891,19370409,  115,    0
 24715,134891,19370410,  124,    0
 24715,134891,19370411,   97,    0
 24715,134891,19370412,  111,    0
 24715,134891,19370413,  122,    0
 24715,134891,19370414,  120,    0
 24715,134891,19370415,   82,    0
 24715,134891,19370416,  106,    0
 24715,134891,19370417,   84,    0
 24715,134891,19370418,   82,    0
 24715,134891,19370419,   62,    0
 24715,134891,19370420,   93,    0
 24715,134891,19370421,   87,    0
 24715,134891,19370422,   55,    0
 24715,134891,19370423,   70,    0
 24715,134891,19370424,   62,    0
 24715,134891,19370425,   62,    0
 24715,134891,19370426,   38,    0
 24715,134891,19370427,   66,    0
 24715,134891,19370428,   53,    0
 24715,134891,19370429,   86,    0
 24715,134891,19370430,   76,    0
 24715,134891,19370501,   95,    0
 24715,134891,19370502,  120,    0
 24715,134891,19370503,  141,    0
 24715,134891,19370504,  124,    0
 24715,134891,19370505,   92,    0
 24715,134891,19370506,  115,    0
 24715,134891,19370507,  114,    0
 24715,134891,19370508,  131,    0
 24715,134891,19370509,  140,    0
 24715,134891,19370510,  161,    0
 24715,134891,19370511,  145,    0
 24715,134891,19370512,  163,    0
 24715,134891,19370513,  110,    0
 24715,134891,19370514,  138,    0
 24715,134891,19370515,  145,    0
 24715,134891,19370516,  152,    0
 24715,134891,19370517,  166,    0
 24715,134891,19370518,  180,    0
 24715,134891,19370519,  155,    0
