EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MOENICHKIRCHEN, AUSTRIA (STAID: 24717)
Blended and updated with sources:134917 911185 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24717,134917,19540801,  126,    0
 24717,134917,19540802,  147,    0
 24717,134917,19540803,  179,    0
 24717,134917,19540804,  181,    0
 24717,134917,19540805,  181,    0
 24717,134917,19540806,  192,    0
 24717,134917,19540807,  165,    0
 24717,134917,19540808,  135,    0
 24717,134917,19540809,  159,    0
 24717,134917,19540810,  129,    0
 24717,134917,19540811,  137,    0
 24717,134917,19540812,  119,    0
 24717,134917,19540813,  164,    0
 24717,134917,19540814,  177,    0
 24717,134917,19540815,  166,    0
 24717,134917,19540816,  115,    0
 24717,134917,19540817,  125,    0
 24717,134917,19540818,  138,    0
 24717,134917,19540819,  144,    0
 24717,134917,19540820,  164,    0
 24717,134917,19540821,  189,    0
 24717,134917,19540822,  161,    0
 24717,134917,19540823,  138,    0
 24717,134917,19540824,  115,    0
 24717,134917,19540825,  141,    0
 24717,134917,19540826,  127,    0
 24717,134917,19540827,  133,    0
 24717,134917,19540828,  141,    0
 24717,134917,19540829,  137,    0
 24717,134917,19540830,  138,    0
 24717,134917,19540831,  174,    0
 24717,134917,19540901,  185,    0
 24717,134917,19540902,  188,    0
 24717,134917,19540903,  192,    0
 24717,134917,19540904,  188,    0
 24717,134917,19540905,  187,    0
 24717,134917,19540906,  181,    0
 24717,134917,19540907,  175,    0
 24717,134917,19540908,  173,    0
 24717,134917,19540909,  152,    0
 24717,134917,19540910,  171,    0
 24717,134917,19540911,  186,    0
 24717,134917,19540912,  190,    0
 24717,134917,19540913,  130,    0
 24717,134917,19540914,  141,    0
 24717,134917,19540915,  143,    0
 24717,134917,19540916,  124,    0
 24717,134917,19540917,  145,    0
 24717,134917,19540918,  120,    0
 24717,134917,19540919,  145,    0
 24717,134917,19540920,  162,    0
 24717,134917,19540921,  110,    0
 24717,134917,19540922,   88,    0
 24717,134917,19540923,   68,    0
 24717,134917,19540924,   67,    0
 24717,134917,19540925,   80,    0
 24717,134917,19540926,   98,    0
 24717,134917,19540927,  100,    0
 24717,134917,19540928,   72,    0
 24717,134917,19540929,   72,    0
 24717,134917,19540930,   37,    0
 24717,134917,19541001,   53,    0
 24717,134917,19541002,   90,    0
 24717,134917,19541003,   46,    0
 24717,134917,19541004,   87,    0
 24717,134917,19541005,   84,    0
 24717,134917,19541006,   66,    0
 24717,134917,19541007,   68,    0
 24717,134917,19541008,   27,    0
 24717,134917,19541009,   18,    0
 24717,134917,19541010,   25,    0
 24717,134917,19541011,   29,    0
 24717,134917,19541012,   52,    0
