EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LEISER BERGE, AUSTRIA (STAID: 24721)
Blended and updated with sources:134969 911083 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24721,134969,19480101,  -39,    0
 24721,134969,19480102,   -5,    0
 24721,134969,19480103,   69,    0
 24721,134969,19480104,   94,    0
 24721,134969,19480105,   78,    0
 24721,134969,19480106,   42,    0
 24721,134969,19480107,   23,    0
 24721,134969,19480108,   38,    0
 24721,134969,19480109,   19,    0
 24721,134969,19480110,   21,    0
 24721,134969,19480111,   30,    0
 24721,134969,19480112,   29,    0
 24721,134969,19480113,   81,    0
 24721,134969,19480114,   68,    0
 24721,134969,19480115,   14,    0
 24721,134969,19480116,   -6,    0
 24721,134969,19480117,  -35,    0
 24721,134969,19480118,  -29,    0
 24721,134969,19480119,   -9,    0
 24721,134969,19480120,  -25,    0
 24721,134969,19480121,  -25,    0
 24721,134969,19480122,  -49,    0
 24721,134969,19480123,  -25,    0
 24721,134969,19480124,   -7,    0
 24721,134969,19480125,   32,    0
 24721,134969,19480126,   26,    0
 24721,134969,19480127,   55,    0
 24721,134969,19480128,   27,    0
 24721,134969,19480129,   22,    0
 24721,134969,19480130,   39,    0
 24721,134969,19480131,  100,    0
 24721,134969,19480201,   89,    0
