EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ST.POELTEN/LANDHAUS, AUSTRIA (STAID: 24747)
Blended and updated with sources:135307 911389 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24747,135307,19470101,  -66,    0
 24747,135307,19470102,  -30,    0
 24747,135307,19470103,  -36,    0
 24747,135307,19470104, -114,    0
 24747,135307,19470105, -180,    0
 24747,135307,19470106, -173,    0
 24747,135307,19470107, -154,    0
 24747,135307,19470108, -109,    0
 24747,135307,19470109,  -92,    0
 24747,135307,19470110,  -60,    0
 24747,135307,19470111,   -3,    0
 24747,135307,19470112,  -10,    0
 24747,135307,19470113,  -12,    0
 24747,135307,19470114,    7,    0
 24747,135307,19470115,   10,    0
 24747,135307,19470116,    7,    0
 24747,135307,19470117,  -19,    0
 24747,135307,19470118,   -6,    0
 24747,135307,19470119,   14,    0
 24747,135307,19470120,   -9,    0
 24747,135307,19470121,  -36,    0
 24747,135307,19470122,  -54,    0
 24747,135307,19470123,  -66,    0
 24747,135307,19470124,  -94,    0
 24747,135307,19470125, -145,    0
 24747,135307,19470126,  -99,    0
 24747,135307,19470127, -107,    0
 24747,135307,19470128, -124,    0
 24747,135307,19470129,  -74,    0
 24747,135307,19470130,  -95,    0
 24747,135307,19470131, -107,    0
 24747,135307,19470201, -101,    0
 24747,135307,19470202,  -88,    0
 24747,135307,19470203, -120,    0
 24747,135307,19470204,  -43,    0
 24747,135307,19470205,   -5,    0
 24747,135307,19470206,  -69,    0
 24747,135307,19470207, -119,    0
 24747,135307,19470208,  -93,    0
 24747,135307,19470209,  -17,    0
 24747,135307,19470210,  -52,    0
 24747,135307,19470211,  -46,    0
 24747,135307,19470212,  -47,    0
 24747,135307,19470213,  -23,    0
 24747,135307,19470214,  -39,    0
 24747,135307,19470215,  -49,    0
 24747,135307,19470216,  -65,    0
 24747,135307,19470217,  -88,    0
 24747,135307,19470218,  -49,    0
 24747,135307,19470219,  -53,    0
 24747,135307,19470220,  -50,    0
 24747,135307,19470221,  -55,    0
 24747,135307,19470222,  -17,    0
 24747,135307,19470223,   16,    0
 24747,135307,19470224,  -27,    0
 24747,135307,19470225,  -38,    0
 24747,135307,19470226,  -71,    0
 24747,135307,19470227,  -71,    0
 24747,135307,19470228,  -25,    0
 24747,135307,19470301,   -6,    0
 24747,135307,19470302,  -16,    0
 24747,135307,19470303,  -62,    0
 24747,135307,19470304,  -74,    0
 24747,135307,19470305,  -12,    0
 24747,135307,19470306,   48,    0
 24747,135307,19470307,   35,    0
 24747,135307,19470308,   11,    0
 24747,135307,19470309,   -2,    0
 24747,135307,19470310,    1,    0
 24747,135307,19470311,    3,    0
 24747,135307,19470312,   33,    0
 24747,135307,19470313,   -5,    0
 24747,135307,19470314,   30,    0
 24747,135307,19470315,   18,    0
 24747,135307,19470316,    2,    0
