EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WAIDHOFEN/YBBS, AUSTRIA (STAID: 24753)
Blended and updated with sources:132135 135385 911071 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24753,135385,19241201,    5,    0
 24753,135385,19241202,    5,    0
 24753,135385,19241203,   19,    0
 24753,135385,19241204,   43,    0
 24753,135385,19241205,   46,    0
 24753,135385,19241206,   63,    0
 24753,135385,19241207,   60,    0
 24753,135385,19241208,   45,    0
 24753,135385,19241209,   15,    0
 24753,135385,19241210,    5,    0
 24753,135385,19241211,  -11,    0
 24753,135385,19241212,  -35,    0
 24753,135385,19241213,  -44,    0
 24753,135385,19241214,  -53,    0
 24753,135385,19241215,  -47,    0
 24753,135385,19241216,  -41,    0
 24753,135385,19241217,  -36,    0
 24753,135385,19241218,  -53,    0
 24753,135385,19241219,  -35,    0
 24753,135385,19241220,  -42,    0
 24753,135385,19241221,  -31,    0
 24753,135385,19241222,  -38,    0
 24753,135385,19241223,  -42,    0
 24753,135385,19241224,  -55,    0
 24753,135385,19241225,  -70,    0
 24753,135385,19241226,  -73,    0
 24753,135385,19241227,  -70,    0
 24753,135385,19241228,  -78,    0
 24753,135385,19241229,  -10,    0
 24753,135385,19241230,   -5,    0
 24753,135385,19241231,    0,    0
 24753,135385,19250101,   32,    0
 24753,135385,19250102,    0,    0
 24753,135385,19250103,   28,    0
 24753,135385,19250104,   26,    0
 24753,135385,19250105,   23,    0
 24753,135385,19250106,   40,    0
 24753,135385,19250107,   23,    0
 24753,135385,19250108,    5,    0
 24753,135385,19250109,   -5,    0
 24753,135385,19250110,   35,    0
 24753,135385,19250111,    5,    0
 24753,135385,19250112,  -25,    0
 24753,135385,19250113,  -30,    0
 24753,135385,19250114,  -38,    0
 24753,135385,19250115,  -53,    0
 24753,135385,19250116,  -20,    0
 24753,135385,19250117,  -28,    0
 24753,135385,19250118,   -5,    0
 24753,135385,19250119,   -3,    0
 24753,135385,19250120,   15,    0
 24753,135385,19250121,   15,    0
 24753,135385,19250122,  -30,    0
 24753,135385,19250123,  -45,    0
 24753,135385,19250124,  -51,    0
 24753,135385,19250125,  -25,    0
 24753,135385,19250126,  -28,    0
 24753,135385,19250127,  -30,    0
 24753,135385,19250128,  -24,    0
 24753,135385,19250129,   33,    0
 24753,135385,19250130,   30,    0
 24753,135385,19250131,   40,    0
 24753,135385,19250201,   30,    0
 24753,135385,19250202,   15,    0
 24753,135385,19250203,   25,    0
 24753,135385,19250204,   38,    0
 24753,135385,19250205,   55,    0
 24753,135385,19250206,   35,    0
 24753,135385,19250207,   30,    0
 24753,135385,19250208,   20,    0
 24753,135385,19250209,   45,    0
 24753,135385,19250210,   70,    0
 24753,135385,19250211,   45,    0
 24753,135385,19250212,   65,    0
 24753,135385,19250213,   70,    0
 24753,135385,19250214,  105,    0
 24753,135385,19250215,   90,    0
 24753,135385,19250216,   80,    0
 24753,135385,19250217,   40,    0
 24753,135385,19250218,   20,    0
 24753,135385,19250219,   25,    0
 24753,135385,19250220,    5,    0
 24753,135385,19250221,    5,    0
 24753,135385,19250222,   10,    0
 24753,135385,19250223,    5,    0
 24753,135385,19250224,    1,    0
 24753,135385,19250225,   -5,    0
 24753,135385,19250226,    3,    0
 24753,135385,19250227,    5,    0
 24753,135385,19250228,   35,    0
 24753,135385,19250301,   29,    0
 24753,135385,19250302,   29,    0
 24753,135385,19250303,   65,    0
 24753,135385,19250304,   28,    0
 24753,135385,19250305,    4,    0
 24753,135385,19250306,   29,    0
 24753,135385,19250307,   59,    0
 24753,135385,19250308,   86,    0
 24753,135385,19250309,   47,    0
 24753,135385,19250310,   -4,    0
 24753,135385,19250311,  -34,    0
 24753,135385,19250312,  -57,    0
 24753,135385,19250313, -103,    0
 24753,135385,19250314,    2,    0
 24753,135385,19250315,    5,    0
 24753,135385,19250316,  -20,    0
 24753,135385,19250317,  -51,    0
 24753,135385,19250318,  -66,    0
 24753,135385,19250319,  -11,    0
 24753,135385,19250320,    1,    0
 24753,135385,19250321,   26,    0
 24753,135385,19250322,   23,    0
 24753,135385,19250323,   40,    0
 24753,135385,19250324,   32,    0
 24753,135385,19250325,   41,    0
 24753,135385,19250326,  104,    0
 24753,135385,19250327,  103,    0
 24753,135385,19250328,   79,    0
 24753,135385,19250329,   20,    0
 24753,135385,19250330,   30,    0
 24753,135385,19250331,   63,    0
 24753,135385,19250401,   65,    0
 24753,135385,19250402,   89,    0
 24753,135385,19250403,  105,    0
 24753,135385,19250404,   93,    0
 24753,135385,19250405,  100,    0
 24753,135385,19250406,   99,    0
 24753,135385,19250407,  105,    0
 24753,135385,19250408,  130,    0
 24753,135385,19250409,  126,    0
 24753,135385,19250410,  126,    0
 24753,135385,19250411,  124,    0
 24753,135385,19250412,  101,    0
 24753,135385,19250413,  107,    0
 24753,135385,19250414,  109,    0
 24753,135385,19250415,  103,    0
 24753,135385,19250416,   70,    0
 24753,135385,19250417,   47,    0
 24753,135385,19250418,   78,    0
 24753,135385,19250419,  117,    0
 24753,135385,19250420,  100,    0
 24753,135385,19250421,   87,    0
 24753,135385,19250422,   67,    0
 24753,135385,19250423,   87,    0
 24753,135385,19250424,  117,    0
 24753,135385,19250425,   91,    0
 24753,135385,19250426,   61,    0
 24753,135385,19250427,   71,    0
 24753,135385,19250428,   65,    0
 24753,135385,19250429,   74,    0
 24753,135385,19250430,  111,    0
 24753,135385,19250501,-9999,    9
 24753,135385,19250502,-9999,    9
 24753,135385,19250503,-9999,    9
 24753,135385,19250504,-9999,    9
 24753,135385,19250505,-9999,    9
 24753,135385,19250506,-9999,    9
 24753,135385,19250507,-9999,    9
 24753,135385,19250508,-9999,    9
 24753,135385,19250509,-9999,    9
 24753,135385,19250510,-9999,    9
 24753,135385,19250511,-9999,    9
 24753,135385,19250512,-9999,    9
 24753,135385,19250513,-9999,    9
 24753,135385,19250514,-9999,    9
 24753,135385,19250515,-9999,    9
 24753,135385,19250516,-9999,    9
 24753,135385,19250517,-9999,    9
 24753,135385,19250518,-9999,    9
 24753,135385,19250519,-9999,    9
 24753,135385,19250520,-9999,    9
 24753,135385,19250521,-9999,    9
 24753,135385,19250522,-9999,    9
 24753,135385,19250523,-9999,    9
 24753,135385,19250524,-9999,    9
 24753,135385,19250525,-9999,    9
 24753,135385,19250526,-9999,    9
 24753,135385,19250527,-9999,    9
 24753,135385,19250528,-9999,    9
 24753,135385,19250529,-9999,    9
 24753,135385,19250530,-9999,    9
 24753,135385,19250531,-9999,    9
 24753,135385,19250601,-9999,    9
 24753,135385,19250602,-9999,    9
 24753,135385,19250603,-9999,    9
 24753,135385,19250604,-9999,    9
 24753,135385,19250605,-9999,    9
 24753,135385,19250606,-9999,    9
 24753,135385,19250607,-9999,    9
 24753,135385,19250608,-9999,    9
 24753,135385,19250609,-9999,    9
 24753,135385,19250610,-9999,    9
 24753,135385,19250611,-9999,    9
 24753,135385,19250612,-9999,    9
 24753,135385,19250613,-9999,    9
 24753,135385,19250614,-9999,    9
 24753,135385,19250615,-9999,    9
 24753,135385,19250616,-9999,    9
 24753,135385,19250617,-9999,    9
 24753,135385,19250618,-9999,    9
 24753,135385,19250619,-9999,    9
 24753,135385,19250620,-9999,    9
 24753,135385,19250621,-9999,    9
 24753,135385,19250622,-9999,    9
 24753,135385,19250623,-9999,    9
 24753,135385,19250624,-9999,    9
 24753,135385,19250625,-9999,    9
 24753,135385,19250626,-9999,    9
 24753,135385,19250627,-9999,    9
 24753,135385,19250628,-9999,    9
 24753,135385,19250629,-9999,    9
 24753,135385,19250630,-9999,    9
 24753,135385,19250701,-9999,    9
 24753,135385,19250702,-9999,    9
 24753,135385,19250703,-9999,    9
 24753,135385,19250704,-9999,    9
 24753,135385,19250705,-9999,    9
 24753,135385,19250706,-9999,    9
 24753,135385,19250707,-9999,    9
 24753,135385,19250708,-9999,    9
 24753,135385,19250709,-9999,    9
