EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ST.ANTON AM ARLBERG, AUSTRIA (STAID: 24767)
Blended and updated with sources:135567 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24767,135567,19380201,  -31,    0
 24767,135567,19380202,  -20,    0
 24767,135567,19380203,  -29,    0
 24767,135567,19380204,   -4,    0
 24767,135567,19380205,  -35,    0
 24767,135567,19380206,  -34,    0
 24767,135567,19380207,  -34,    0
 24767,135567,19380208,  -38,    0
 24767,135567,19380209,  -39,    0
 24767,135567,19380210,    6,    0
 24767,135567,19380211,  -25,    0
 24767,135567,19380212,  -57,    0
 24767,135567,19380213,  -61,    0
 24767,135567,19380214,  -66,    0
 24767,135567,19380215,  -59,    0
 24767,135567,19380216,  -73,    0
 24767,135567,19380217,  -76,    0
 24767,135567,19380218,  -34,    0
 24767,135567,19380219,  -32,    0
 24767,135567,19380220,  -31,    0
 24767,135567,19380221,  -42,    0
 24767,135567,19380222,  -37,    0
 24767,135567,19380223,  -61,    0
 24767,135567,19380224,  -39,    0
 24767,135567,19380225,  -42,    0
 24767,135567,19380226,  -19,    0
 24767,135567,19380227,  -10,    0
 24767,135567,19380228,   15,    0
 24767,135567,19380301,   43,    0
 24767,135567,19380302,   18,    0
 24767,135567,19380303,   20,    0
