EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FERLACH, AUSTRIA (STAID: 24768)
Blended and updated with sources:135580 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24768,135580,19530501,-9999,    9
 24768,135580,19530502,-9999,    9
 24768,135580,19530503,-9999,    9
 24768,135580,19530504,-9999,    9
 24768,135580,19530505,-9999,    9
 24768,135580,19530506,-9999,    9
 24768,135580,19530507,    7,    0
 24768,135580,19530508,   25,    0
 24768,135580,19530509,   55,    0
 24768,135580,19530510,   55,    0
 24768,135580,19530511,   55,    0
 24768,135580,19530512,    2,    0
 24768,135580,19530513,   84,    0
 24768,135580,19530514,  104,    0
 24768,135580,19530515,  107,    0
 24768,135580,19530516,   83,    0
 24768,135580,19530517,  151,    0
 24768,135580,19530518,   22,    0
 24768,135580,19530519,  104,    0
 24768,135580,19530520,  107,    0
 24768,135580,19530521,   84,    0
 24768,135580,19530522,   68,    0
 24768,135580,19530523,  109,    0
 24768,135580,19530524,   87,    0
 24768,135580,19530525,  145,    0
 24768,135580,19530526,  139,    0
 24768,135580,19530527,  132,    0
 24768,135580,19530528,   81,    0
 24768,135580,19530529,   97,    0
 24768,135580,19530530,   11,    0
 24768,135580,19530531,   65,    0
 24768,135580,19530601,   88,    0
 24768,135580,19530602,   95,    0
 24768,135580,19530603,   97,    0
 24768,135580,19530604,  116,    0
 24768,135580,19530605,  109,    0
 24768,135580,19530606,  158,    0
 24768,135580,19530607,  150,    0
 24768,135580,19530608,  188,    0
 24768,135580,19530609,  180,    0
 24768,135580,19530610,  140,    0
 24768,135580,19530611,  158,    0
 24768,135580,19530612,  178,    0
 24768,135580,19530613,  163,    0
 24768,135580,19530614,  159,    0
 24768,135580,19530615,  153,    0
 24768,135580,19530616,  167,    0
 24768,135580,19530617,  161,    0
 24768,135580,19530618,  180,    0
 24768,135580,19530619,  175,    0
 24768,135580,19530620,  182,    0
 24768,135580,19530621,  175,    0
 24768,135580,19530622,  176,    0
 24768,135580,19530623,  182,    0
 24768,135580,19530624,  185,    0
 24768,135580,19530625,  187,    0
 24768,135580,19530626,  172,    0
 24768,135580,19530627,  178,    0
 24768,135580,19530628,  179,    0
 24768,135580,19530629,  192,    0
 24768,135580,19530630,  180,    0
 24768,135580,19530701,  189,    0
 24768,135580,19530702,  183,    0
 24768,135580,19530703,  175,    0
 24768,135580,19530704,  180,    0
 24768,135580,19530705,  203,    0
 24768,135580,19530706,  199,    0
 24768,135580,19530707,  210,    0
 24768,135580,19530708,  211,    0
 24768,135580,19530709,  201,    0
 24768,135580,19530710,  176,    0
 24768,135580,19530711,  119,    0
 24768,135580,19530712,  140,    0
 24768,135580,19530713,  147,    0
 24768,135580,19530714,  159,    0
 24768,135580,19530715,  168,    0
 24768,135580,19530716,  192,    0
 24768,135580,19530717,  199,    0
 24768,135580,19530718,  205,    0
 24768,135580,19530719,  160,    0
 24768,135580,19530720,  149,    0
 24768,135580,19530721,  173,    0
 24768,135580,19530722,  192,    0
 24768,135580,19530723,  205,    0
 24768,135580,19530724,  190,    0
 24768,135580,19530725,  190,    0
 24768,135580,19530726,  209,    0
 24768,135580,19530727,  208,    0
 24768,135580,19530728,  186,    0
 24768,135580,19530729,  200,    0
 24768,135580,19530730,  180,    0
 24768,135580,19530731,  165,    0
 24768,135580,19530801,  175,    0
 24768,135580,19530802,  164,    0
 24768,135580,19530803,  125,    0
 24768,135580,19530804,  150,    0
 24768,135580,19530805,  149,    0
 24768,135580,19530806,  135,    0
 24768,135580,19530807,  147,    0
 24768,135580,19530808,  160,    0
