EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOHENAU, AUSTRIA (STAID: 24799)
Blended and updated with sources:135983 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24799,135983,19480101,  -34,    0
 24799,135983,19480102,  -28,    0
 24799,135983,19480103,   45,    0
 24799,135983,19480104,   69,    0
 24799,135983,19480105,   22,    0
 24799,135983,19480106,   30,    0
 24799,135983,19480107,   24,    0
 24799,135983,19480108,   41,    0
 24799,135983,19480109,   22,    0
 24799,135983,19480110,   20,    0
 24799,135983,19480111,   36,    0
 24799,135983,19480112,   29,    0
 24799,135983,19480113,   70,    0
 24799,135983,19480114,   84,    0
 24799,135983,19480115,   30,    0
 24799,135983,19480116,   12,    0
 24799,135983,19480117,  -18,    0
 24799,135983,19480118,  -46,    0
 24799,135983,19480119,    2,    0
 24799,135983,19480120,  -37,    0
 24799,135983,19480121,  -18,    0
 24799,135983,19480122,  -63,    0
 24799,135983,19480123,  -55,    0
 24799,135983,19480124,  -38,    0
 24799,135983,19480125,   69,    0
 24799,135983,19480126,   61,    0
 24799,135983,19480127,   55,    0
 24799,135983,19480128,   53,    0
 24799,135983,19480129,   35,    0
 24799,135983,19480130,   54,    0
 24799,135983,19480131,   54,    0
 24799,135983,19480201,   70,    0
 24799,135983,19480202,   74,    0
 24799,135983,19480203,   93,    0
 24799,135983,19480204,   79,    0
 24799,135983,19480205,   39,    0
 24799,135983,19480206,   42,    0
 24799,135983,19480207,   40,    0
 24799,135983,19480208,   40,    0
 24799,135983,19480209,   51,    0
 24799,135983,19480210,   47,    0
 24799,135983,19480211,   18,    0
 24799,135983,19480212,   12,    0
 24799,135983,19480213,   39,    0
 24799,135983,19480214,   28,    0
 24799,135983,19480215,   -5,    0
 24799,135983,19480216,  -34,    0
 24799,135983,19480217,  -37,    0
 24799,135983,19480218,  -53,    0
 24799,135983,19480219,  -87,    0
 24799,135983,19480220,  -62,    0
 24799,135983,19480221,  -69,    0
