EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BERNDORF, AUSTRIA (STAID: 24804)
Blended and updated with sources:136048 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24804,136048,19921101,   68,    0
 24804,136048,19921102,   50,    0
 24804,136048,19921103,   65,    0
 24804,136048,19921104,   44,    0
 24804,136048,19921105,   89,    0
 24804,136048,19921106,  131,    0
 24804,136048,19921107,   86,    0
 24804,136048,19921108,  119,    0
 24804,136048,19921109,   20,    0
 24804,136048,19921110,   15,    0
 24804,136048,19921111,   60,    0
 24804,136048,19921112,   77,    0
 24804,136048,19921113,   55,    0
 24804,136048,19921114,   40,    0
 24804,136048,19921115,   12,    0
 24804,136048,19921116,   41,    0
 24804,136048,19921117,   53,    0
 24804,136048,19921118,   47,    0
 24804,136048,19921119,   29,    0
 24804,136048,19921120,   56,    0
 24804,136048,19921121,   22,    0
 24804,136048,19921122,   73,    0
 24804,136048,19921123,   41,    0
 24804,136048,19921124,   23,    0
 24804,136048,19921125,   58,    0
 24804,136048,19921126,  105,    0
 24804,136048,19921127,   82,    0
 24804,136048,19921128,   36,    0
 24804,136048,19921129,   63,    0
 24804,136048,19921130,   24,    0
 24804,136048,19921201,   12,    0
 24804,136048,19921202,   17,    0
 24804,136048,19921203,   58,    0
 24804,136048,19921204,   60,    0
 24804,136048,19921205,   64,    0
 24804,136048,19921206,   25,    0
 24804,136048,19921207,   19,    0
 24804,136048,19921208,    1,    0
 24804,136048,19921209,   18,    0
 24804,136048,19921210,   17,    0
 24804,136048,19921211,   14,    0
 24804,136048,19921212,   13,    0
 24804,136048,19921213,   36,    0
 24804,136048,19921214,   48,    0
 24804,136048,19921215,   20,    0
 24804,136048,19921216,   -9,    0
 24804,136048,19921217,   -7,    0
 24804,136048,19921218,  -12,    0
 24804,136048,19921219,  -25,    0
 24804,136048,19921220,  -11,    0
 24804,136048,19921221,   -6,    0
 24804,136048,19921222,   -2,    0
 24804,136048,19921223,  -13,    0
 24804,136048,19921224,  -47,    0
 24804,136048,19921225,  -61,    0
 24804,136048,19921226,  -83,    0
 24804,136048,19921227,  -74,    0
 24804,136048,19921228,  -62,    0
 24804,136048,19921229,  -91,    0
 24804,136048,19921230, -106,    0
 24804,136048,19921231,  -61,    0
 24804,136048,19930101,  -53,    0
 24804,136048,19930102,  -91,    0
 24804,136048,19930103, -125,    0
 24804,136048,19930104,  -85,    0
 24804,136048,19930105,  -62,    0
 24804,136048,19930106,  -87,    0
 24804,136048,19930107,   39,    0
 24804,136048,19930108,   54,    0
 24804,136048,19930109,   38,    0
 24804,136048,19930110,   47,    0
 24804,136048,19930111,   -6,    0
 24804,136048,19930112,   71,    0
 24804,136048,19930113,   47,    0
 24804,136048,19930114,   65,    0
 24804,136048,19930115,   44,    0
 24804,136048,19930116,   83,    0
 24804,136048,19930117,   62,    0
 24804,136048,19930118,   55,    0
 24804,136048,19930119,   42,    0
 24804,136048,19930120,   78,    0
 24804,136048,19930121,  111,    0
 24804,136048,19930122,   97,    0
 24804,136048,19930123,  115,    0
 24804,136048,19930124,  114,    0
 24804,136048,19930125,   87,    0
 24804,136048,19930126,   14,    0
 24804,136048,19930127,   15,    0
 24804,136048,19930128,   -5,    0
 24804,136048,19930129,  -11,    0
 24804,136048,19930130,  -97,    0
 24804,136048,19930131, -106,    0
 24804,136048,19930201, -112,    0
 24804,136048,19930202,  -74,    0
 24804,136048,19930203,  -18,    0
 24804,136048,19930204,  -80,    0
 24804,136048,19930205,  -37,    0
 24804,136048,19930206,   18,    0
 24804,136048,19930207,   56,    0
 24804,136048,19930208,    7,    0
 24804,136048,19930209,    5,    0
 24804,136048,19930210,  -21,    0
 24804,136048,19930211,  -32,    0
 24804,136048,19930212,  -32,    0
 24804,136048,19930213,   -3,    0
 24804,136048,19930214,   -7,    0
 24804,136048,19930215,   -1,    0
 24804,136048,19930216,  -28,    0
 24804,136048,19930217,  -36,    0
 24804,136048,19930218,   39,    0
 24804,136048,19930219,   13,    0
 24804,136048,19930220,   30,    0
 24804,136048,19930221,   25,    0
 24804,136048,19930222,  -23,    0
 24804,136048,19930223,  -50,    0
 24804,136048,19930224,  -42,    0
 24804,136048,19930225,  -27,    0
 24804,136048,19930226,   -1,    0
 24804,136048,19930227,  -51,    0
 24804,136048,19930228,  -41,    0
 24804,136048,19930301,  -13,    0
 24804,136048,19930302,   -7,    0
 24804,136048,19930303,  -12,    0
 24804,136048,19930304,  -39,    0
 24804,136048,19930305,  -50,    0
 24804,136048,19930306,  -16,    0
 24804,136048,19930307,   18,    0
 24804,136048,19930308,  -13,    0
 24804,136048,19930309,  -27,    0
 24804,136048,19930310,  -14,    0
 24804,136048,19930311,   13,    0
 24804,136048,19930312,   18,    0
 24804,136048,19930313,   38,    0
 24804,136048,19930314,   41,    0
 24804,136048,19930315,   62,    0
 24804,136048,19930316,   84,    0
 24804,136048,19930317,   76,    0
 24804,136048,19930318,  165,    0
 24804,136048,19930319,  141,    0
 24804,136048,19930320,  100,    0
 24804,136048,19930321,   94,    0
 24804,136048,19930322,  128,    0
 24804,136048,19930323,  130,    0
 24804,136048,19930324,   82,    0
 24804,136048,19930325,   37,    0
 24804,136048,19930326,   31,    0
 24804,136048,19930327,    3,    0
 24804,136048,19930328,   -5,    0
 24804,136048,19930329,    5,    0
 24804,136048,19930330,   11,    0
 24804,136048,19930331,   30,    0
 24804,136048,19930401,   60,    0
 24804,136048,19930402,   41,    0
 24804,136048,19930403,   38,    0
 24804,136048,19930404,   63,    0
 24804,136048,19930405,   74,    0
 24804,136048,19930406,   47,    0
 24804,136048,19930407,   84,    0
 24804,136048,19930408,   71,    0
 24804,136048,19930409,   72,    0
 24804,136048,19930410,   49,    0
 24804,136048,19930411,   24,    0
 24804,136048,19930412,   46,    0
 24804,136048,19930413,   72,    0
 24804,136048,19930414,  106,    0
 24804,136048,19930415,   77,    0
 24804,136048,19930416,   95,    0
 24804,136048,19930417,   66,    0
 24804,136048,19930418,   87,    0
 24804,136048,19930419,  130,    0
 24804,136048,19930420,   97,    0
 24804,136048,19930421,  113,    0
 24804,136048,19930422,  129,    0
 24804,136048,19930423,  129,    0
 24804,136048,19930424,  139,    0
 24804,136048,19930425,  160,    0
 24804,136048,19930426,  179,    0
 24804,136048,19930427,  155,    0
 24804,136048,19930428,  135,    0
 24804,136048,19930429,  141,    0
 24804,136048,19930430,  126,    0
 24804,136048,19930501,  128,    0
 24804,136048,19930502,  140,    0
 24804,136048,19930503,  173,    0
 24804,136048,19930504,  138,    0
 24804,136048,19930505,  110,    0
 24804,136048,19930506,  136,    0
 24804,136048,19930507,  143,    0
 24804,136048,19930508,  147,    0
 24804,136048,19930509,  138,    0
 24804,136048,19930510,  147,    0
 24804,136048,19930511,  140,    0
 24804,136048,19930512,  146,    0
 24804,136048,19930513,  148,    0
 24804,136048,19930514,  148,    0
 24804,136048,19930515,  145,    0
 24804,136048,19930516,  178,    0
 24804,136048,19930517,  143,    0
 24804,136048,19930518,  159,    0
 24804,136048,19930519,  170,    0
 24804,136048,19930520,  184,    0
 24804,136048,19930521,  183,    0
 24804,136048,19930522,  153,    0
 24804,136048,19930523,  131,    0
 24804,136048,19930524,  142,    0
 24804,136048,19930525,  169,    0
 24804,136048,19930526,  183,    0
 24804,136048,19930527,  216,    0
 24804,136048,19930528,  182,    0
 24804,136048,19930529,  183,    0
 24804,136048,19930530,  178,    0
 24804,136048,19930531,  197,    0
 24804,136048,19930601,  179,    0
 24804,136048,19930602,  190,    0
 24804,136048,19930603,  195,    0
 24804,136048,19930604,  180,    0
 24804,136048,19930605,  202,    0
 24804,136048,19930606,  205,    0
 24804,136048,19930607,  231,    0
 24804,136048,19930608,  216,    0
 24804,136048,19930609,  188,    0
 24804,136048,19930610,  240,    0
 24804,136048,19930611,  227,    0
 24804,136048,19930612,  188,    0
 24804,136048,19930613,  148,    0
 24804,136048,19930614,  173,    0
 24804,136048,19930615,  158,    0
 24804,136048,19930616,  160,    0
 24804,136048,19930617,  164,    0
 24804,136048,19930618,  172,    0
 24804,136048,19930619,  195,    0
 24804,136048,19930620,  209,    0
 24804,136048,19930621,  191,    0
 24804,136048,19930622,  177,    0
 24804,136048,19930623,  200,    0
 24804,136048,19930624,  160,    0
 24804,136048,19930625,  148,    0
 24804,136048,19930626,  135,    0
 24804,136048,19930627,  140,    0
 24804,136048,19930628,  137,    0
 24804,136048,19930629,  152,    0
 24804,136048,19930630,  156,    0
 24804,136048,19930701,  158,    0
 24804,136048,19930702,  171,    0
 24804,136048,19930703,  205,    0
 24804,136048,19930704,  236,    0
 24804,136048,19930705,  230,    0
 24804,136048,19930706,  197,    0
 24804,136048,19930707,  160,    0
 24804,136048,19930708,  190,    0
 24804,136048,19930709,  167,    0
 24804,136048,19930710,  202,    0
 24804,136048,19930711,  192,    0
 24804,136048,19930712,  143,    0
 24804,136048,19930713,  145,    0
 24804,136048,19930714,  148,    0
 24804,136048,19930715,  166,    0
 24804,136048,19930716,  224,    0
 24804,136048,19930717,  223,    0
 24804,136048,19930718,  217,    0
 24804,136048,19930719,  217,    0
 24804,136048,19930720,  157,    0
 24804,136048,19930721,  162,    0
 24804,136048,19930722,  177,    0
 24804,136048,19930723,  158,    0
 24804,136048,19930724,  212,    0
 24804,136048,19930725,  190,    0
 24804,136048,19930726,  157,    0
 24804,136048,19930727,  156,    0
 24804,136048,19930728,  178,    0
 24804,136048,19930729,  201,    0
 24804,136048,19930730,  210,    0
 24804,136048,19930731,  217,    0
 24804,136048,19930801,  197,    0
 24804,136048,19930802,  183,    0
 24804,136048,19930803,  220,    0
 24804,136048,19930804,  233,    0
 24804,136048,19930805,  224,    0
 24804,136048,19930806,  200,    0
 24804,136048,19930807,  167,    0
 24804,136048,19930808,  183,    0
 24804,136048,19930809,  179,    0
 24804,136048,19930810,  185,    0
 24804,136048,19930811,  173,    0
 24804,136048,19930812,  175,    0
 24804,136048,19930813,  201,    0
 24804,136048,19930814,  215,    0
 24804,136048,19930815,  223,    0
 24804,136048,19930816,  223,    0
 24804,136048,19930817,  216,    0
 24804,136048,19930818,  205,    0
