EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ASPANG, AUSTRIA (STAID: 24809)
Blended and updated with sources:136113 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24809,136113,19480401,-9999,    9
 24809,136113,19480402,-9999,    9
 24809,136113,19480403,-9999,    9
 24809,136113,19480404,-9999,    9
 24809,136113,19480405,-9999,    9
 24809,136113,19480406,-9999,    9
 24809,136113,19480407,-9999,    9
 24809,136113,19480408,-9999,    9
 24809,136113,19480409,-9999,    9
 24809,136113,19480410,-9999,    9
 24809,136113,19480411,-9999,    9
 24809,136113,19480412,-9999,    9
 24809,136113,19480413,-9999,    9
 24809,136113,19480414,-9999,    9
 24809,136113,19480415,-9999,    9
 24809,136113,19480416,-9999,    9
 24809,136113,19480417,-9999,    9
 24809,136113,19480418,-9999,    9
 24809,136113,19480419,-9999,    9
 24809,136113,19480420,-9999,    9
 24809,136113,19480421,-9999,    9
 24809,136113,19480422,-9999,    9
 24809,136113,19480423,  168,    0
 24809,136113,19480424,  125,    0
 24809,136113,19480425,  126,    0
 24809,136113,19480426,   60,    0
 24809,136113,19480427,   86,    0
 24809,136113,19480428,  109,    0
 24809,136113,19480429,  125,    0
 24809,136113,19480430,  144,    0
 24809,136113,19480501,  105,    0
 24809,136113,19480502,   90,    0
 24809,136113,19480503,  130,    0
 24809,136113,19480504,  128,    0
 24809,136113,19480505,  138,    0
 24809,136113,19480506,  148,    0
 24809,136113,19480507,  154,    0
 24809,136113,19480508,  163,    0
 24809,136113,19480509,  161,    0
 24809,136113,19480510,  159,    0
 24809,136113,19480511,  192,    0
 24809,136113,19480512,  172,    0
 24809,136113,19480513,  196,    0
 24809,136113,19480514,  192,    0
 24809,136113,19480515,  171,    0
 24809,136113,19480516,  166,    0
 24809,136113,19480517,  149,    0
 24809,136113,19480518,  125,    0
 24809,136113,19480519,   93,    0
 24809,136113,19480520,   88,    0
 24809,136113,19480521,   98,    0
 24809,136113,19480522,  103,    0
 24809,136113,19480523,  127,    0
 24809,136113,19480524,  134,    0
 24809,136113,19480525,  154,    0
 24809,136113,19480526,  150,    0
 24809,136113,19480527,  147,    0
 24809,136113,19480528,  172,    0
 24809,136113,19480529,  170,    0
 24809,136113,19480530,  128,    0
 24809,136113,19480531,  113,    0
 24809,136113,19480601,  115,    0
 24809,136113,19480602,  115,    0
 24809,136113,19480603,  115,    0
 24809,136113,19480604,   83,    0
 24809,136113,19480605,  127,    0
 24809,136113,19480606,  172,    0
 24809,136113,19480607,  193,    0
 24809,136113,19480608,  176,    0
 24809,136113,19480609,  184,    0
 24809,136113,19480610,  181,    0
 24809,136113,19480611,  189,    0
 24809,136113,19480612,  189,    0
 24809,136113,19480613,  162,    0
 24809,136113,19480614,  155,    0
 24809,136113,19480615,  161,    0
 24809,136113,19480616,  186,    0
 24809,136113,19480617,  191,    0
 24809,136113,19480618,  199,    0
 24809,136113,19480619,  181,    0
 24809,136113,19480620,  157,    0
 24809,136113,19480621,  122,    0
 24809,136113,19480622,  126,    0
 24809,136113,19480623,  124,    0
 24809,136113,19480624,  138,    0
 24809,136113,19480625,  133,    0
 24809,136113,19480626,  138,    0
 24809,136113,19480627,  127,    0
 24809,136113,19480628,  147,    0
 24809,136113,19480629,  110,    0
 24809,136113,19480630,  111,    0
 24809,136113,19480701,  101,    0
 24809,136113,19480702,   99,    0
 24809,136113,19480703,  124,    0
 24809,136113,19480704,  106,    0
 24809,136113,19480705,  153,    0
 24809,136113,19480706,  120,    0
 24809,136113,19480707,  165,    0
 24809,136113,19480708,  151,    0
 24809,136113,19480709,  145,    0
 24809,136113,19480710,  133,    0
 24809,136113,19480711,  108,    0
 24809,136113,19480712,  130,    0
 24809,136113,19480713,  148,    0
 24809,136113,19480714,  169,    0
 24809,136113,19480715,  157,    0
 24809,136113,19480716,  139,    0
 24809,136113,19480717,  132,    0
 24809,136113,19480718,  136,    0
 24809,136113,19480719,  155,    0
 24809,136113,19480720,  172,    0
 24809,136113,19480721,  193,    0
 24809,136113,19480722,  204,    0
 24809,136113,19480723,  203,    0
 24809,136113,19480724,  198,    0
 24809,136113,19480725,  200,    0
 24809,136113,19480726,  207,    0
 24809,136113,19480727,  214,    0
 24809,136113,19480728,  201,    0
 24809,136113,19480729,  180,    0
 24809,136113,19480730,  176,    0
 24809,136113,19480731,  188,    0
