EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station INNSBRUCK-FLUGPLATZ, AUSTRIA (STAID: 24814)
Blended and updated with sources:36 127845 127858 136178 911121 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24814,127858,18770101,   40,    0
 24814,127858,18770102,   35,    0
 24814,127858,18770103,   45,    0
 24814,127858,18770104,   65,    0
 24814,127858,18770105,   70,    0
 24814,127858,18770106,   65,    0
 24814,127858,18770107,   55,    0
 24814,127858,18770108,   35,    0
 24814,127858,18770109,   60,    0
 24814,127858,18770110,   55,    0
 24814,127858,18770111,   40,    0
 24814,127858,18770112,   35,    0
 24814,127858,18770113,   28,    0
 24814,127858,18770114,   23,    0
 24814,127858,18770115,   -9,    0
 24814,127858,18770116,    8,    0
 24814,127858,18770117,   -5,    0
 24814,127858,18770118,  -30,    0
 24814,127858,18770119,  -30,    0
 24814,127858,18770120,   15,    0
 24814,127858,18770121,   18,    0
 24814,127858,18770122,   -2,    0
 24814,127858,18770123,  -15,    0
 24814,127858,18770124,  -40,    0
 24814,127858,18770125,  -40,    0
 24814,127858,18770126,    0,    0
 24814,127858,18770127,  -15,    0
 24814,127858,18770128,  -48,    0
 24814,127858,18770129,  -30,    0
 24814,127858,18770130,  -10,    0
 24814,127858,18770131,  -10,    0
 24814,127858,18770201,  -26,    0
 24814,127858,18770202,  -25,    0
 24814,127858,18770203,  -58,    0
 24814,127858,18770204,    5,    0
 24814,127858,18770205,   15,    0
 24814,127858,18770206,  -43,    0
 24814,127858,18770207,  -25,    0
 24814,127858,18770208,   38,    0
 24814,127858,18770209,   30,    0
 24814,127858,18770210,   50,    0
 24814,127858,18770211,   65,    0
 24814,127858,18770212,   85,    0
 24814,127858,18770213,   63,    0
 24814,127858,18770214,   25,    0
 24814,127858,18770215,   28,    0
 24814,127858,18770216,   45,    0
 24814,127858,18770217,   30,    0
 24814,127858,18770218,   18,    0
 24814,127858,18770219,  -10,    0
 24814,127858,18770220,   23,    0
 24814,127858,18770221,   17,    0
 24814,127858,18770222,   13,    0
 24814,127858,18770223,   -3,    0
 24814,127858,18770224,    0,    0
 24814,127858,18770225,   43,    0
 24814,127858,18770226,   86,    0
 24814,127858,18770227,   38,    0
 24814,127858,18770228,   13,    0
 24814,127858,18770301,  -35,    0
 24814,127858,18770302,  -50,    0
 24814,127858,18770303,  -63,    0
