EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OBERWOELZ, AUSTRIA (STAID: 24819)
Blended and updated with sources:136243 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24819,136243,19360101,   36,    0
 24819,136243,19360102,   15,    0
 24819,136243,19360103,   43,    0
 24819,136243,19360104,   38,    0
 24819,136243,19360105,   -3,    0
 24819,136243,19360106,  -23,    0
 24819,136243,19360107,  -17,    0
 24819,136243,19360108,    6,    0
 24819,136243,19360109,   11,    0
 24819,136243,19360110,   -1,    0
 24819,136243,19360111,   34,    0
 24819,136243,19360112,   17,    0
 24819,136243,19360113,   -4,    0
 24819,136243,19360114,  -11,    0
 24819,136243,19360115,  -73,    0
 24819,136243,19360116,  -65,    0
 24819,136243,19360117,  -32,    0
 24819,136243,19360118,  -28,    0
 24819,136243,19360119,  -46,    0
 24819,136243,19360120,   -6,    0
 24819,136243,19360121,    7,    0
 24819,136243,19360122,  -12,    0
 24819,136243,19360123,   -7,    0
 24819,136243,19360124,  -48,    0
 24819,136243,19360125,  -34,    0
 24819,136243,19360126,   -6,    0
 24819,136243,19360127,   26,    0
 24819,136243,19360128,   13,    0
 24819,136243,19360129,  -13,    0
 24819,136243,19360130,    5,    0
 24819,136243,19360131,    1,    0
 24819,136243,19360201,   17,    0
 24819,136243,19360202,   20,    0
 24819,136243,19360203,    5,    0
 24819,136243,19360204,   -8,    0
 24819,136243,19360205,  -17,    0
 24819,136243,19360206,  -42,    0
 24819,136243,19360207,  -40,    0
 24819,136243,19360208,  -37,    0
 24819,136243,19360209,  -27,    0
 24819,136243,19360210,  -83,    0
 24819,136243,19360211,  -94,    0
 24819,136243,19360212,  -60,    0
 24819,136243,19360213,  -16,    0
 24819,136243,19360214,   -2,    0
 24819,136243,19360215,  -25,    0
 24819,136243,19360216,  -15,    0
 24819,136243,19360217,  -19,    0
 24819,136243,19360218,   30,    0
 24819,136243,19360219,   43,    0
 24819,136243,19360220,   48,    0
 24819,136243,19360221,   22,    0
 24819,136243,19360222,   40,    0
 24819,136243,19360223,   48,    0
 24819,136243,19360224,   40,    0
 24819,136243,19360225,   31,    0
 24819,136243,19360226,    7,    0
 24819,136243,19360227,   22,    0
 24819,136243,19360228,    6,    0
 24819,136243,19360229,   20,    0
 24819,136243,19360301,   20,    0
 24819,136243,19360302,    5,    0
 24819,136243,19360303,   15,    0
 24819,136243,19360304,   48,    0
 24819,136243,19360305,   50,    0
 24819,136243,19360306,   41,    0
 24819,136243,19360307,   20,    0
 24819,136243,19360308,   25,    0
 24819,136243,19360309,   49,    0
 24819,136243,19360310,   39,    0
 24819,136243,19360311,   47,    0
 24819,136243,19360312,   51,    0
 24819,136243,19360313,   42,    0
 24819,136243,19360314,   13,    0
 24819,136243,19360315,   16,    0
