EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VOELKERMARKT-GOLDBRUNNHOF, AUSTRIA (STAID: 24825)
Blended and updated with sources:136321 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24825,136321,19501201,    5,    0
 24825,136321,19501202,  -17,    0
 24825,136321,19501203,   32,    0
 24825,136321,19501204,   31,    0
 24825,136321,19501205,    2,    0
 24825,136321,19501206,   -6,    0
 24825,136321,19501207,  -11,    0
 24825,136321,19501208,    8,    0
 24825,136321,19501209,    9,    0
 24825,136321,19501210,    6,    0
 24825,136321,19501211,    4,    0
 24825,136321,19501212,    7,    0
 24825,136321,19501213,    9,    0
 24825,136321,19501214,  -17,    0
 24825,136321,19501215,   -4,    0
 24825,136321,19501216,   17,    0
 24825,136321,19501217,  -13,    0
 24825,136321,19501218,  -30,    0
 24825,136321,19501219,  -57,    0
 24825,136321,19501220,  -47,    0
 24825,136321,19501221,  -63,    0
 24825,136321,19501222,  -82,    0
 24825,136321,19501223,  -46,    0
 24825,136321,19501224,  -18,    0
 24825,136321,19501225,    4,    0
 24825,136321,19501226,   10,    0
 24825,136321,19501227,    8,    0
 24825,136321,19501228,    0,    0
 24825,136321,19501229,   -7,    0
 24825,136321,19501230,  -17,    0
 24825,136321,19501231,  -61,    0
 24825,136321,19510101,  -96,    0
 24825,136321,19510102,  -74,    0
 24825,136321,19510103,  -24,    0
 24825,136321,19510104,   15,    0
 24825,136321,19510105,    7,    0
 24825,136321,19510106,   -4,    0
 24825,136321,19510107,  -13,    0
 24825,136321,19510108,  -34,    0
 24825,136321,19510109,  -55,    0
 24825,136321,19510110,  -64,    0
 24825,136321,19510111,  -63,    0
 24825,136321,19510112,  -52,    0
 24825,136321,19510113,   23,    0
 24825,136321,19510114,   10,    0
 24825,136321,19510115,  -54,    0
 24825,136321,19510116,  -28,    0
 24825,136321,19510117,  -21,    0
 24825,136321,19510118,  -20,    0
 24825,136321,19510119,  -13,    0
 24825,136321,19510120,   -2,    0
 24825,136321,19510121,  -16,    0
 24825,136321,19510122,  -59,    0
 24825,136321,19510123,  -48,    0
 24825,136321,19510124,  -12,    0
 24825,136321,19510125,   -1,    0
 24825,136321,19510126,    7,    0
 24825,136321,19510127,   12,    0
 24825,136321,19510128,   15,    0
 24825,136321,19510129,   -5,    0
 24825,136321,19510130,    0,    0
 24825,136321,19510131,   -1,    0
 24825,136321,19510201,    1,    0
 24825,136321,19510202,   10,    0
 24825,136321,19510203,    5,    0
 24825,136321,19510204,   -7,    0
 24825,136321,19510205,    3,    0
 24825,136321,19510206,   45,    0
 24825,136321,19510207,   40,    0
 24825,136321,19510208,   19,    0
 24825,136321,19510209,   15,    0
 24825,136321,19510210,   -2,    0
 24825,136321,19510211,    3,    0
 24825,136321,19510212,   33,    0
 24825,136321,19510213,   64,    0
 24825,136321,19510214,   52,    0
 24825,136321,19510215,    4,    0
 24825,136321,19510216,    9,    0
 24825,136321,19510217,   23,    0
 24825,136321,19510218,    4,    0
 24825,136321,19510219,    8,    0
 24825,136321,19510220,   18,    0
 24825,136321,19510221,   -2,    0
 24825,136321,19510222,   20,    0
 24825,136321,19510223,   21,    0
 24825,136321,19510224,  -18,    0
 24825,136321,19510225,   15,    0
 24825,136321,19510226,   15,    0
 24825,136321,19510227,    5,    0
 24825,136321,19510228,  -13,    0
 24825,136321,19510301,  -21,    0
 24825,136321,19510302,  -26,    0
 24825,136321,19510303,  -14,    0
 24825,136321,19510304,    4,    0
 24825,136321,19510305,    5,    0
 24825,136321,19510306,  -35,    0
 24825,136321,19510307,    2,    0
 24825,136321,19510308,   24,    0
 24825,136321,19510309,   43,    0
 24825,136321,19510310,   26,    0
 24825,136321,19510311,   44,    0
 24825,136321,19510312,   50,    0
 24825,136321,19510313,   65,    0
 24825,136321,19510314,   74,    0
 24825,136321,19510315,   56,    0
 24825,136321,19510316,   68,    0
 24825,136321,19510317,   54,    0
 24825,136321,19510318,   85,    0
 24825,136321,19510319,   97,    0
 24825,136321,19510320,   81,    0
 24825,136321,19510321,   26,    0
 24825,136321,19510322,   12,    0
 24825,136321,19510323,   49,    0
 24825,136321,19510324,   39,    0
 24825,136321,19510325,   39,    0
 24825,136321,19510326,   45,    0
 24825,136321,19510327,   28,    0
 24825,136321,19510328,   19,    0
 24825,136321,19510329,   11,    0
 24825,136321,19510330,   23,    0
 24825,136321,19510331,   19,    0
 24825,136321,19510401,   52,    0
 24825,136321,19510402,   63,    0
 24825,136321,19510403,   71,    0
 24825,136321,19510404,   91,    0
 24825,136321,19510405,   74,    0
 24825,136321,19510406,   83,    0
 24825,136321,19510407,   82,    0
 24825,136321,19510408,   66,    0
 24825,136321,19510409,   70,    0
 24825,136321,19510410,   71,    0
 24825,136321,19510411,   46,    0
 24825,136321,19510412,   51,    0
 24825,136321,19510413,   73,    0
 24825,136321,19510414,   71,    0
 24825,136321,19510415,   59,    0
 24825,136321,19510416,   64,    0
 24825,136321,19510417,   87,    0
 24825,136321,19510418,   93,    0
 24825,136321,19510419,  106,    0
 24825,136321,19510420,   84,    0
 24825,136321,19510421,  132,    0
 24825,136321,19510422,   77,    0
 24825,136321,19510423,   53,    0
 24825,136321,19510424,   77,    0
 24825,136321,19510425,  119,    0
 24825,136321,19510426,  125,    0
 24825,136321,19510427,  129,    0
 24825,136321,19510428,  115,    0
 24825,136321,19510429,   87,    0
 24825,136321,19510430,   93,    0
 24825,136321,19510501,   70,    0
 24825,136321,19510502,  102,    0
 24825,136321,19510503,  138,    0
 24825,136321,19510504,  135,    0
 24825,136321,19510505,  125,    0
 24825,136321,19510506,  112,    0
 24825,136321,19510507,  113,    0
 24825,136321,19510508,  110,    0
 24825,136321,19510509,  101,    0
 24825,136321,19510510,   85,    0
 24825,136321,19510511,   92,    0
 24825,136321,19510512,   83,    0
 24825,136321,19510513,   85,    0
 24825,136321,19510514,  101,    0
 24825,136321,19510515,   85,    0
 24825,136321,19510516,   75,    0
 24825,136321,19510517,   98,    0
 24825,136321,19510518,  104,    0
 24825,136321,19510519,  113,    0
 24825,136321,19510520,  138,    0
 24825,136321,19510521,  144,    0
 24825,136321,19510522,  158,    0
 24825,136321,19510523,  175,    0
 24825,136321,19510524,  178,    0
 24825,136321,19510525,  171,    0
 24825,136321,19510526,  184,    0
 24825,136321,19510527,  187,    0
 24825,136321,19510528,  181,    0
 24825,136321,19510529,  150,    0
 24825,136321,19510530,  152,    0
 24825,136321,19510531,  153,    0
 24825,136321,19510601,  167,    0
 24825,136321,19510602,  134,    0
 24825,136321,19510603,  128,    0
 24825,136321,19510604,  144,    0
 24825,136321,19510605,  152,    0
 24825,136321,19510606,  147,    0
 24825,136321,19510607,  131,    0
 24825,136321,19510608,  178,    0
 24825,136321,19510609,  140,    0
 24825,136321,19510610,  172,    0
 24825,136321,19510611,  161,    0
