EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station JAPONS, AUSTRIA (STAID: 24827)
Blended and updated with sources:136347 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24827,136347,19530901,-9999,    9
 24827,136347,19530902,-9999,    9
 24827,136347,19530903,-9999,    9
 24827,136347,19530904,-9999,    9
 24827,136347,19530905,-9999,    9
 24827,136347,19530906,-9999,    9
 24827,136347,19530907,-9999,    9
 24827,136347,19530908,-9999,    9
 24827,136347,19530909,-9999,    9
 24827,136347,19530910,-9999,    9
 24827,136347,19530911,-9999,    9
 24827,136347,19530912,-9999,    9
 24827,136347,19530913,-9999,    9
 24827,136347,19530914,-9999,    9
 24827,136347,19530915,-9999,    9
 24827,136347,19530916,  120,    0
 24827,136347,19530917,  135,    0
 24827,136347,19530918,  143,    0
 24827,136347,19530919,  163,    0
 24827,136347,19530920,  166,    0
 24827,136347,19530921,  148,    0
 24827,136347,19530922,  123,    0
 24827,136347,19530923,  123,    0
 24827,136347,19530924,  148,    0
 24827,136347,19530925,  135,    0
 24827,136347,19530926,  163,    0
 24827,136347,19530927,  156,    0
 24827,136347,19530928,  183,    0
 24827,136347,19530929,  144,    0
 24827,136347,19530930,  133,    0
 24827,136347,19531001,  137,    0
 24827,136347,19531002,  124,    0
 24827,136347,19531003,  121,    0
 24827,136347,19531004,  135,    0
 24827,136347,19531005,   98,    0
 24827,136347,19531006,   73,    0
 24827,136347,19531007,   81,    0
 24827,136347,19531008,   48,    0
 24827,136347,19531009,   48,    0
 24827,136347,19531010,   36,    0
 24827,136347,19531011,   43,    0
 24827,136347,19531012,   87,    0
 24827,136347,19531013,   84,    0
 24827,136347,19531014,  104,    0
 24827,136347,19531015,  119,    0
 24827,136347,19531016,  139,    0
 24827,136347,19531017,  146,    0
 24827,136347,19531018,  150,    0
 24827,136347,19531019,  131,    0
 24827,136347,19531020,  123,    0
 24827,136347,19531021,   79,    0
 24827,136347,19531022,  104,    0
 24827,136347,19531023,   83,    0
 24827,136347,19531024,   83,    0
 24827,136347,19531025,  116,    0
 24827,136347,19531026,  126,    0
 24827,136347,19531027,  116,    0
 24827,136347,19531028,   96,    0
 24827,136347,19531029,   77,    0
 24827,136347,19531030,   72,    0
 24827,136347,19531031,   50,    0
 24827,136347,19531101,   52,    0
 24827,136347,19531102,   29,    0
 24827,136347,19531103,   20,    0
 24827,136347,19531104,   22,    0
 24827,136347,19531105,   60,    0
 24827,136347,19531106,   50,    0
 24827,136347,19531107,   40,    0
 24827,136347,19531108,   42,    0
 24827,136347,19531109,   22,    0
 24827,136347,19531110,   41,    0
 24827,136347,19531111,   19,    0
 24827,136347,19531112,   15,    0
 24827,136347,19531113,   29,    0
 24827,136347,19531114,   63,    0
 24827,136347,19531115,   45,    0
 24827,136347,19531116,   29,    0
 24827,136347,19531117,  -20,    0
 24827,136347,19531118,   -8,    0
 24827,136347,19531119,   15,    0
 24827,136347,19531120,   44,    0
 24827,136347,19531121,   71,    0
 24827,136347,19531122,   28,    0
 24827,136347,19531123,   42,    0
 24827,136347,19531124,    1,    0
 24827,136347,19531125,  -38,    0
 24827,136347,19531126,  -54,    0
 24827,136347,19531127,  -69,    0
 24827,136347,19531128,  -56,    0
 24827,136347,19531129,   23,    0
 24827,136347,19531130,  104,    0
 24827,136347,19531201,   99,    0
 24827,136347,19531202,   71,    0
 24827,136347,19531203,   11,    0
 24827,136347,19531204,    2,    0
 24827,136347,19531205,    5,    0
 24827,136347,19531206,   -3,    0
 24827,136347,19531207,   15,    0
 24827,136347,19531208,   11,    0
 24827,136347,19531209,   14,    0
 24827,136347,19531210,    9,    0
 24827,136347,19531211,   16,    0
 24827,136347,19531212,   20,    0
 24827,136347,19531213,    3,    0
 24827,136347,19531214,  -28,    0
 24827,136347,19531215,  -26,    0
 24827,136347,19531216,  -22,    0
 24827,136347,19531217,  -47,    0
 24827,136347,19531218,  -63,    0
 24827,136347,19531219,  -62,    0
 24827,136347,19531220,  -51,    0
 24827,136347,19531221,  -59,    0
 24827,136347,19531222,  -31,    0
 24827,136347,19531223,  -23,    0
 24827,136347,19531224,   -2,    0
 24827,136347,19531225,    9,    0
 24827,136347,19531226,  -15,    0
 24827,136347,19531227,  -10,    0
 24827,136347,19531228,   -7,    0
 24827,136347,19531229,    4,    0
 24827,136347,19531230,  -10,    0
 24827,136347,19531231,  -43,    0
 24827,136347,19540101,  -75,    0
 24827,136347,19540102, -133,    0
 24827,136347,19540103, -112,    0
 24827,136347,19540104,  -93,    0
 24827,136347,19540105, -120,    0
 24827,136347,19540106,  -93,    0
 24827,136347,19540107,  -80,    0
 24827,136347,19540108,  -67,    0
 24827,136347,19540109,  -70,    0
 24827,136347,19540110,  -56,    0
 24827,136347,19540111,  -74,    0
 24827,136347,19540112,  -41,    0
 24827,136347,19540113,    1,    0
 24827,136347,19540114,  -37,    0
 24827,136347,19540115,  -82,    0
 24827,136347,19540116,   24,    0
 24827,136347,19540117,   19,    0
 24827,136347,19540118,   -1,    0
 24827,136347,19540119,   -1,    0
 24827,136347,19540120,   19,    0
 24827,136347,19540121,   19,    0
 24827,136347,19540122,  -19,    0
 24827,136347,19540123,  -67,    0
 24827,136347,19540124, -110,    0
 24827,136347,19540125, -133,    0
 24827,136347,19540126, -149,    0
 24827,136347,19540127, -199,    0
 24827,136347,19540128, -158,    0
 24827,136347,19540129, -139,    0
 24827,136347,19540130, -113,    0
 24827,136347,19540131, -150,    0
 24827,136347,19540201, -181,    0
 24827,136347,19540202, -152,    0
 24827,136347,19540203, -138,    0
 24827,136347,19540204, -106,    0
 24827,136347,19540205, -108,    0
 24827,136347,19540206, -117,    0
 24827,136347,19540207, -119,    0
 24827,136347,19540208, -112,    0
 24827,136347,19540209,  -97,    0
 24827,136347,19540210,  -83,    0
 24827,136347,19540211,  -73,    0
 24827,136347,19540212,  -45,    0
 24827,136347,19540213,  -28,    0
 24827,136347,19540214,  -30,    0
 24827,136347,19540215,  -31,    0
 24827,136347,19540216,  -25,    0
 24827,136347,19540217,  -55,    0
 24827,136347,19540218, -111,    0
 24827,136347,19540219,  -93,    0
 24827,136347,19540220, -117,    0
 24827,136347,19540221, -133,    0
 24827,136347,19540222, -125,    0
 24827,136347,19540223, -125,    0
 24827,136347,19540224, -115,    0
 24827,136347,19540225,  -91,    0
 24827,136347,19540226,  -28,    0
 24827,136347,19540227,    1,    0
 24827,136347,19540228,   16,    0
 24827,136347,19540301,   11,    0
 24827,136347,19540302,   27,    0
 24827,136347,19540303,    3,    0
 24827,136347,19540304,    5,    0
 24827,136347,19540305,   10,    0
 24827,136347,19540306,   10,    0
 24827,136347,19540307,   15,    0
 24827,136347,19540308,    6,    0
 24827,136347,19540309,   15,    0
 24827,136347,19540310,   19,    0
 24827,136347,19540311,   27,    0
 24827,136347,19540312,   14,    0
 24827,136347,19540313,   31,    0
 24827,136347,19540314,   45,    0
 24827,136347,19540315,   28,    0
 24827,136347,19540316,   21,    0
 24827,136347,19540317,   50,    0
 24827,136347,19540318,   36,    0
 24827,136347,19540319,   65,    0
 24827,136347,19540320,   34,    0
 24827,136347,19540321,   30,    0
 24827,136347,19540322,   30,    0
 24827,136347,19540323,   50,    0
 24827,136347,19540324,   35,    0
 24827,136347,19540325,   63,    0
 24827,136347,19540326,   73,    0
 24827,136347,19540327,   43,    0
 24827,136347,19540328,   42,    0
 24827,136347,19540329,   50,    0
 24827,136347,19540330,   76,    0
 24827,136347,19540331,  118,    0
 24827,136347,19540401,   72,    0
 24827,136347,19540402,   57,    0
 24827,136347,19540403,   68,    0
 24827,136347,19540404,   88,    0
 24827,136347,19540405,   91,    0
 24827,136347,19540406,   76,    0
 24827,136347,19540407,   41,    0
 24827,136347,19540408,   45,    0
 24827,136347,19540409,   26,    0
 24827,136347,19540410,   10,    0
 24827,136347,19540411,   15,    0
 24827,136347,19540412,   31,    0
 24827,136347,19540413,   52,    0
 24827,136347,19540414,   57,    0
 24827,136347,19540415,   42,    0
 24827,136347,19540416,   15,    0
 24827,136347,19540417,    1,    0
 24827,136347,19540418,   21,    0
 24827,136347,19540419,   33,    0
 24827,136347,19540420,   12,    0
 24827,136347,19540421,   35,    0
 24827,136347,19540422,   81,    0
 24827,136347,19540423,   65,    0
 24827,136347,19540424,   55,    0
 24827,136347,19540425,   93,    0
 24827,136347,19540426,   62,    0
 24827,136347,19540427,   49,    0
 24827,136347,19540428,   50,    0
 24827,136347,19540429,   59,    0
 24827,136347,19540430,   70,    0
 24827,136347,19540501,  105,    0
 24827,136347,19540502,  109,    0
 24827,136347,19540503,  117,    0
 24827,136347,19540504,   89,    0
 24827,136347,19540505,   70,    0
 24827,136347,19540506,  109,    0
 24827,136347,19540507,   85,    0
 24827,136347,19540508,   66,    0
 24827,136347,19540509,  130,    0
 24827,136347,19540510,  150,    0
 24827,136347,19540511,  144,    0
 24827,136347,19540512,  127,    0
 24827,136347,19540513,   95,    0
 24827,136347,19540514,   73,    0
 24827,136347,19540515,   87,    0
 24827,136347,19540516,  111,    0
 24827,136347,19540517,  102,    0
 24827,136347,19540518,  122,    0
 24827,136347,19540519,  107,    0
 24827,136347,19540520,   87,    0
 24827,136347,19540521,   95,    0
 24827,136347,19540522,  110,    0
 24827,136347,19540523,  107,    0
 24827,136347,19540524,  126,    0
 24827,136347,19540525,  140,    0
 24827,136347,19540526,  155,    0
 24827,136347,19540527,  157,    0
 24827,136347,19540528,  161,    0
 24827,136347,19540529,  150,    0
 24827,136347,19540530,  115,    0
 24827,136347,19540531,  117,    0
 24827,136347,19540601,  145,    0
 24827,136347,19540602,  147,    0
 24827,136347,19540603,  130,    0
 24827,136347,19540604,  127,    0
 24827,136347,19540605,  166,    0
 24827,136347,19540606,  145,    0
 24827,136347,19540607,  101,    0
 24827,136347,19540608,  147,    0
 24827,136347,19540609,  160,    0
 24827,136347,19540610,  172,    0
 24827,136347,19540611,  150,    0
 24827,136347,19540612,  159,    0
 24827,136347,19540613,  180,    0
 24827,136347,19540614,  165,    0
 24827,136347,19540615,  146,    0
 24827,136347,19540616,  134,    0
 24827,136347,19540617,  153,    0
 24827,136347,19540618,  182,    0
 24827,136347,19540619,  189,    0
 24827,136347,19540620,  203,    0
 24827,136347,19540621,  214,    0
 24827,136347,19540622,  196,    0
 24827,136347,19540623,  200,    0
 24827,136347,19540624,  173,    0
 24827,136347,19540625,  181,    0
 24827,136347,19540626,  198,    0
 24827,136347,19540627,  218,    0
 24827,136347,19540628,  140,    0
 24827,136347,19540629,  133,    0
 24827,136347,19540630,  152,    0
 24827,136347,19540701,  192,    0
 24827,136347,19540702,  125,    0
 24827,136347,19540703,  139,    0
 24827,136347,19540704,  151,    0
 24827,136347,19540705,  134,    0
 24827,136347,19540706,  121,    0
 24827,136347,19540707,  151,    0
 24827,136347,19540708,  116,    0
 24827,136347,19540709,  126,    0
 24827,136347,19540710,  113,    0
 24827,136347,19540711,  117,    0
 24827,136347,19540712,  175,    0
 24827,136347,19540713,  139,    0
 24827,136347,19540714,  157,    0
 24827,136347,19540715,  168,    0
 24827,136347,19540716,  139,    0
 24827,136347,19540717,  139,    0
 24827,136347,19540718,  177,    0
 24827,136347,19540719,  142,    0
 24827,136347,19540720,  127,    0
 24827,136347,19540721,  131,    0
 24827,136347,19540722,  164,    0
 24827,136347,19540723,  172,    0
 24827,136347,19540724,  154,    0
 24827,136347,19540725,  193,    0
 24827,136347,19540726,  192,    0
 24827,136347,19540727,  205,    0
 24827,136347,19540728,  186,    0
 24827,136347,19540729,  156,    0
 24827,136347,19540730,  138,    0
