EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SEIBERSDORF, AUSTRIA (STAID: 24832)
Blended and updated with sources:126142 136412 911387 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24832,136412,19610601,  175,    0
 24832,136412,19610602,  175,    0
 24832,136412,19610603,  140,    0
 24832,136412,19610604,  163,    0
 24832,136412,19610605,  173,    0
 24832,136412,19610606,  175,    0
 24832,136412,19610607,  165,    0
 24832,136412,19610608,  170,    0
 24832,136412,19610609,  193,    0
 24832,136412,19610610,  185,    0
 24832,136412,19610611,  165,    0
 24832,136412,19610612,  178,    0
 24832,136412,19610613,  168,    0
 24832,136412,19610614,  173,    0
 24832,136412,19610615,  148,    0
 24832,136412,19610616,  170,    0
 24832,136412,19610617,  175,    0
 24832,136412,19610618,  195,    0
 24832,136412,19610619,  235,    0
 24832,136412,19610620,  215,    0
 24832,136412,19610621,  195,    0
 24832,136412,19610622,  208,    0
 24832,136412,19610623,  220,    0
 24832,136412,19610624,  233,    0
 24832,136412,19610625,  220,    0
 24832,136412,19610626,  228,    0
 24832,136412,19610627,  245,    0
 24832,136412,19610628,  183,    0
 24832,136412,19610629,  173,    0
 24832,136412,19610630,  190,    0
 24832,136412,19610701,  203,    0
 24832,136412,19610702,  220,    0
 24832,136412,19610703,  223,    0
 24832,136412,19610704,  250,    0
 24832,136412,19610705,  173,    0
 24832,136412,19610706,  153,    0
 24832,136412,19610707,  155,    0
 24832,136412,19610708,  158,    0
 24832,136412,19610709,  163,    0
 24832,136412,19610710,  183,    0
 24832,136412,19610711,  210,    0
 24832,136412,19610712,  215,    0
 24832,136412,19610713,  200,    0
 24832,136412,19610714,  190,    0
 24832,136412,19610715,  185,    0
 24832,136412,19610716,  180,    0
 24832,136412,19610717,  165,    0
 24832,136412,19610718,  165,    0
 24832,136412,19610719,  175,    0
 24832,136412,19610720,  190,    0
 24832,136412,19610721,  183,    0
 24832,136412,19610722,  188,    0
 24832,136412,19610723,  160,    0
 24832,136412,19610724,  175,    0
 24832,136412,19610725,  170,    0
 24832,136412,19610726,  193,    0
 24832,136412,19610727,  225,    0
 24832,136412,19610728,  230,    0
 24832,136412,19610729,  175,    0
 24832,136412,19610730,  160,    0
 24832,136412,19610731,  163,    0
 24832,136412,19610801,  175,    0
 24832,136412,19610802,  193,    0
 24832,136412,19610803,  193,    0
 24832,136412,19610804,  185,    0
 24832,136412,19610805,  228,    0
 24832,136412,19610806,  230,    0
 24832,136412,19610807,  243,    0
 24832,136412,19610808,  235,    0
 24832,136412,19610809,  250,    0
 24832,136412,19610810,  263,    0
 24832,136412,19610811,  245,    0
 24832,136412,19610812,  211,    0
 24832,136412,19610813,  175,    0
 24832,136412,19610814,  170,    0
 24832,136412,19610815,  178,    0
 24832,136412,19610816,  163,    0
 24832,136412,19610817,  130,    0
 24832,136412,19610818,  160,    0
 24832,136412,19610819,  185,    0
 24832,136412,19610820,  165,    0
 24832,136412,19610821,  191,    0
 24832,136412,19610822,  193,    0
 24832,136412,19610823,  170,    0
 24832,136412,19610824,  190,    0
 24832,136412,19610825,  198,    0
 24832,136412,19610826,  185,    0
 24832,136412,19610827,  210,    0
 24832,136412,19610828,  233,    0
 24832,136412,19610829,  185,    0
 24832,136412,19610830,  198,    0
 24832,136412,19610831,  198,    0
