EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GLEISDORF, AUSTRIA (STAID: 24835)
Blended and updated with sources:136451 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24835,136451,19610101,  -36,    0
 24835,136451,19610102,   -1,    0
 24835,136451,19610103,  -11,    0
 24835,136451,19610104,   11,    0
 24835,136451,19610105,    5,    0
 24835,136451,19610106,  -33,    0
 24835,136451,19610107,  -30,    0
 24835,136451,19610108,  -27,    0
 24835,136451,19610109,   -4,    0
 24835,136451,19610110,  -28,    0
 24835,136451,19610111,    2,    0
 24835,136451,19610112,   -5,    0
 24835,136451,19610113,  -41,    0
 24835,136451,19610114,  -64,    0
 24835,136451,19610115,  -51,    0
 24835,136451,19610116,  -22,    0
 24835,136451,19610117,  -54,    0
 24835,136451,19610118,  -90,    0
 24835,136451,19610119, -114,    0
 24835,136451,19610120, -100,    0
 24835,136451,19610121,  -74,    0
 24835,136451,19610122,  -77,    0
 24835,136451,19610123,  -66,    0
 24835,136451,19610124,  -34,    0
 24835,136451,19610125,  -20,    0
 24835,136451,19610126,  -35,    0
 24835,136451,19610127,  -83,    0
 24835,136451,19610128, -110,    0
 24835,136451,19610129,  -98,    0
 24835,136451,19610130,  -64,    0
 24835,136451,19610131,   10,    0
 24835,136451,19610201,    4,    0
 24835,136451,19610202,   -6,    0
 24835,136451,19610203,   -5,    0
 24835,136451,19610204,   -5,    0
 24835,136451,19610205,    1,    0
 24835,136451,19610206,  -38,    0
 24835,136451,19610207,  -36,    0
 24835,136451,19610208,    7,    0
 24835,136451,19610209,   16,    0
 24835,136451,19610210,   34,    0
 24835,136451,19610211,   31,    0
 24835,136451,19610212,   27,    0
 24835,136451,19610213,   55,    0
 24835,136451,19610214,   42,    0
 24835,136451,19610215,   34,    0
 24835,136451,19610216,   50,    0
 24835,136451,19610217,   42,    0
 24835,136451,19610218,   45,    0
 24835,136451,19610219,   52,    0
 24835,136451,19610220,   44,    0
 24835,136451,19610221,   35,    0
 24835,136451,19610222,   21,    0
 24835,136451,19610223,   36,    0
 24835,136451,19610224,   52,    0
 24835,136451,19610225,   22,    0
 24835,136451,19610226,   23,    0
 24835,136451,19610227,   17,    0
 24835,136451,19610228,   26,    0
 24835,136451,19610301,   35,    0
 24835,136451,19610302,   29,    0
 24835,136451,19610303,   20,    0
 24835,136451,19610304,   51,    0
 24835,136451,19610305,   53,    0
 24835,136451,19610306,   64,    0
 24835,136451,19610307,   71,    0
 24835,136451,19610308,   81,    0
 24835,136451,19610309,   87,    0
 24835,136451,19610310,  111,    0
 24835,136451,19610311,   93,    0
 24835,136451,19610312,   89,    0
 24835,136451,19610313,   96,    0
 24835,136451,19610314,  107,    0
 24835,136451,19610315,   87,    0
 24835,136451,19610316,   96,    0
 24835,136451,19610317,  100,    0
 24835,136451,19610318,  102,    0
 24835,136451,19610319,   81,    0
 24835,136451,19610320,   27,    0
 24835,136451,19610321,   29,    0
 24835,136451,19610322,   19,    0
 24835,136451,19610323,   27,    0
 24835,136451,19610324,   71,    0
 24835,136451,19610325,   70,    0
 24835,136451,19610326,   73,    0
 24835,136451,19610327,   82,    0
 24835,136451,19610328,   56,    0
 24835,136451,19610329,   57,    0
 24835,136451,19610330,   81,    0
 24835,136451,19610331,  109,    0
 24835,136451,19610401,   88,    0
 24835,136451,19610402,  109,    0
 24835,136451,19610403,   87,    0
 24835,136451,19610404,  105,    0
 24835,136451,19610405,  115,    0
 24835,136451,19610406,  131,    0
 24835,136451,19610407,  147,    0
 24835,136451,19610408,  168,    0
 24835,136451,19610409,  112,    0
 24835,136451,19610410,  114,    0
 24835,136451,19610411,   91,    0
 24835,136451,19610412,  120,    0
 24835,136451,19610413,  112,    0
 24835,136451,19610414,  124,    0
 24835,136451,19610415,  120,    0
 24835,136451,19610416,  132,    0
 24835,136451,19610417,  111,    0
 24835,136451,19610418,  132,    0
 24835,136451,19610419,  106,    0
 24835,136451,19610420,  129,    0
 24835,136451,19610421,  105,    0
 24835,136451,19610422,  132,    0
 24835,136451,19610423,  101,    0
 24835,136451,19610424,  103,    0
 24835,136451,19610425,  139,    0
 24835,136451,19610426,  132,    0
 24835,136451,19610427,  140,    0
 24835,136451,19610428,  104,    0
 24835,136451,19610429,  119,    0
 24835,136451,19610430,   96,    0
 24835,136451,19610501,  128,    0
 24835,136451,19610502,  109,    0
 24835,136451,19610503,  133,    0
 24835,136451,19610504,  127,    0
 24835,136451,19610505,  141,    0
 24835,136451,19610506,  166,    0
 24835,136451,19610507,  158,    0
 24835,136451,19610508,  131,    0
 24835,136451,19610509,  105,    0
 24835,136451,19610510,  111,    0
 24835,136451,19610511,   77,    0
 24835,136451,19610512,   68,    0
 24835,136451,19610513,   92,    0
 24835,136451,19610514,  109,    0
 24835,136451,19610515,  112,    0
 24835,136451,19610516,   92,    0
