EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BRENNA, POLAND (STAID: 24862)
Blended and updated with sources:136794 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24862,136794,19850101,  -68,    0
 24862,136794,19850102,  -56,    0
 24862,136794,19850103,  -78,    0
 24862,136794,19850104,  -96,    0
 24862,136794,19850105, -128,    0
 24862,136794,19850106, -162,    0
 24862,136794,19850107, -225,    0
 24862,136794,19850108, -208,    0
 24862,136794,19850109, -204,    0
 24862,136794,19850110, -182,    0
 24862,136794,19850111, -102,    0
 24862,136794,19850112,  -85,    0
 24862,136794,19850113,  -87,    0
 24862,136794,19850114, -123,    0
 24862,136794,19850115, -120,    0
 24862,136794,19850116, -147,    0
 24862,136794,19850117, -105,    0
 24862,136794,19850118,  -72,    0
 24862,136794,19850119,  -91,    0
 24862,136794,19850120, -110,    0
 24862,136794,19850121,  -20,    0
 24862,136794,19850122,   32,    0
 24862,136794,19850123,   60,    0
 24862,136794,19850124,    9,    0
 24862,136794,19850125,  -10,    0
 24862,136794,19850126,   21,    0
 24862,136794,19850127,   29,    0
 24862,136794,19850128,  -37,    0
 24862,136794,19850129,  -39,    0
 24862,136794,19850130,   -6,    0
 24862,136794,19850131,   22,    0
 24862,136794,19850201,   40,    0
 24862,136794,19850202,   40,    0
 24862,136794,19850203,  -24,    0
 24862,136794,19850204,  -78,    0
 24862,136794,19850205,  -49,    0
 24862,136794,19850206,    6,    0
 24862,136794,19850207,  -38,    0
 24862,136794,19850208, -100,    0
 24862,136794,19850209,  -70,    0
 24862,136794,19850210, -109,    0
 24862,136794,19850211, -178,    0
 24862,136794,19850212, -220,    0
 24862,136794,19850213, -193,    0
 24862,136794,19850214,  -82,    0
 24862,136794,19850215,  -79,    0
 24862,136794,19850216, -122,    0
 24862,136794,19850217,  -99,    0
 24862,136794,19850218, -120,    0
 24862,136794,19850219,  -82,    0
 24862,136794,19850220,  -80,    0
 24862,136794,19850221,  -88,    0
 24862,136794,19850222,  -62,    0
 24862,136794,19850223,  -85,    0
 24862,136794,19850224,  -56,    0
 24862,136794,19850225,   -1,    0
 24862,136794,19850226,  -16,    0
 24862,136794,19850227,  -34,    0
 24862,136794,19850228,   -6,    0
 24862,136794,19850301,   -3,    0
 24862,136794,19850302,   32,    0
 24862,136794,19850303,   14,    0
 24862,136794,19850304,   15,    0
 24862,136794,19850305,   26,    0
 24862,136794,19850306,   55,    0
