EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ISTEBNA-KUBALONKA, POLAND (STAID: 24864)
Blended and updated with sources:136818 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24864,136818,19810101,  -20,    0
 24864,136818,19810102,  -39,    0
 24864,136818,19810103,  -12,    0
 24864,136818,19810104,    2,    0
 24864,136818,19810105,  -45,    0
 24864,136818,19810106,  -85,    0
 24864,136818,19810107,  -99,    0
 24864,136818,19810108, -134,    0
 24864,136818,19810109, -129,    0
 24864,136818,19810110, -108,    0
 24864,136818,19810111,  -65,    0
 24864,136818,19810112,  -66,    0
 24864,136818,19810113,  -64,    0
 24864,136818,19810114,  -70,    0
 24864,136818,19810115,  -73,    0
 24864,136818,19810116,  -69,    0
 24864,136818,19810117,  -70,    0
 24864,136818,19810118,  -46,    0
 24864,136818,19810119,  -46,    0
 24864,136818,19810120,  -34,    0
 24864,136818,19810121,  -51,    0
 24864,136818,19810122,  -68,    0
 24864,136818,19810123,  -64,    0
 24864,136818,19810124,  -49,    0
 24864,136818,19810125,  -55,    0
 24864,136818,19810126,  -60,    0
 24864,136818,19810127,  -74,    0
 24864,136818,19810128,  -88,    0
 24864,136818,19810129,  -64,    0
 24864,136818,19810130,  -40,    0
 24864,136818,19810131,   -6,    0
 24864,136818,19810201,   -9,    0
 24864,136818,19810202,  -16,    0
 24864,136818,19810203,   -9,    0
 24864,136818,19810204,   -4,    0
 24864,136818,19810205,  -24,    0
 24864,136818,19810206,  -49,    0
 24864,136818,19810207,  -20,    0
 24864,136818,19810208,   19,    0
 24864,136818,19810209,   16,    0
 24864,136818,19810210,    6,    0
 24864,136818,19810211,  -19,    0
 24864,136818,19810212,  -58,    0
 24864,136818,19810213,  -61,    0
 24864,136818,19810214,  -84,    0
 24864,136818,19810215,  -70,    0
 24864,136818,19810216,  -48,    0
 24864,136818,19810217,  -61,    0
 24864,136818,19810218,  -92,    0
 24864,136818,19810219,  -91,    0
 24864,136818,19810220,  -74,    0
 24864,136818,19810221,  -61,    0
 24864,136818,19810222,  -26,    0
 24864,136818,19810223,   12,    0
 24864,136818,19810224,   -3,    0
 24864,136818,19810225,  -11,    0
 24864,136818,19810226,  -40,    0
 24864,136818,19810227,  -68,    0
 24864,136818,19810228,  -46,    0
 24864,136818,19810301,  -43,    0
 24864,136818,19810302,  -26,    0
 24864,136818,19810303,  -11,    0
 24864,136818,19810304,  -12,    0
 24864,136818,19810305,  -41,    0
 24864,136818,19810306,  -30,    0
 24864,136818,19810307,   11,    0
 24864,136818,19810308,   30,    0
 24864,136818,19810309,   44,    0
 24864,136818,19810310,   32,    0
 24864,136818,19810311,   38,    0
 24864,136818,19810312,   50,    0
 24864,136818,19810313,   15,    0
 24864,136818,19810314,   20,    0
 24864,136818,19810315,   23,    0
 24864,136818,19810316,   20,    0
 24864,136818,19810317,    0,    0
 24864,136818,19810318,    7,    0
 24864,136818,19810319,  -13,    0
 24864,136818,19810320,   24,    0
 24864,136818,19810321,   54,    0
 24864,136818,19810322,   67,    0
 24864,136818,19810323,   64,    0
 24864,136818,19810324,   47,    0
 24864,136818,19810325,   65,    0
 24864,136818,19810326,  108,    0
 24864,136818,19810327,   38,    0
 24864,136818,19810328,   10,    0
 24864,136818,19810329,   63,    0
 24864,136818,19810330,   99,    0
 24864,136818,19810331,  101,    0
 24864,136818,19810401,  115,    0
 24864,136818,19810402,   66,    0
 24864,136818,19810403,   27,    0
 24864,136818,19810404,   43,    0
 24864,136818,19810405,   40,    0
 24864,136818,19810406,   52,    0
 24864,136818,19810407,   55,    0
 24864,136818,19810408,   78,    0
 24864,136818,19810409,   66,    0
 24864,136818,19810410,   35,    0
 24864,136818,19810411,   61,    0
 24864,136818,19810412,  100,    0
 24864,136818,19810413,  114,    0
 24864,136818,19810414,   54,    0
 24864,136818,19810415,   51,    0
 24864,136818,19810416,    0,    0
 24864,136818,19810417,  -18,    0
 24864,136818,19810418,  -13,    0
 24864,136818,19810419,  -20,    0
 24864,136818,19810420,   -5,    0
 24864,136818,19810421,   26,    0
 24864,136818,19810422,   16,    0
 24864,136818,19810423,    4,    0
 24864,136818,19810424,   12,    0
 24864,136818,19810425,   42,    0
 24864,136818,19810426,   74,    0
 24864,136818,19810427,   86,    0
 24864,136818,19810428,   13,    0
 24864,136818,19810429,    1,    0
 24864,136818,19810430,   24,    0
 24864,136818,19810501,   38,    0
 24864,136818,19810502,   24,    0
 24864,136818,19810503,   31,    0
 24864,136818,19810504,   54,    0
 24864,136818,19810505,   41,    0
 24864,136818,19810506,   40,    0
 24864,136818,19810507,   71,    0
 24864,136818,19810508,  115,    0
 24864,136818,19810509,  130,    0
 24864,136818,19810510,  150,    0
 24864,136818,19810511,  147,    0
 24864,136818,19810512,  155,    0
 24864,136818,19810513,  135,    0
 24864,136818,19810514,  134,    0
 24864,136818,19810515,  128,    0
 24864,136818,19810516,  126,    0
 24864,136818,19810517,  132,    0
 24864,136818,19810518,   94,    0
 24864,136818,19810519,  118,    0
 24864,136818,19810520,  132,    0
 24864,136818,19810521,  134,    0
 24864,136818,19810522,  148,    0
 24864,136818,19810523,  131,    0
 24864,136818,19810524,  130,    0
 24864,136818,19810525,  131,    0
 24864,136818,19810526,  172,    0
 24864,136818,19810527,  189,    0
 24864,136818,19810528,  106,    0
 24864,136818,19810529,   88,    0
 24864,136818,19810530,  126,    0
 24864,136818,19810531,  150,    0
 24864,136818,19810601,  184,    0
 24864,136818,19810602,  199,    0
 24864,136818,19810603,  211,    0
 24864,136818,19810604,  203,    0
 24864,136818,19810605,  134,    0
 24864,136818,19810606,  150,    0
 24864,136818,19810607,  158,    0
 24864,136818,19810608,  163,    0
 24864,136818,19810609,  169,    0
 24864,136818,19810610,  158,    0
 24864,136818,19810611,  157,    0
 24864,136818,19810612,  171,    0
 24864,136818,19810613,   99,    0
 24864,136818,19810614,   80,    0
 24864,136818,19810615,  142,    0
 24864,136818,19810616,  129,    0
 24864,136818,19810617,   96,    0
 24864,136818,19810618,   96,    0
 24864,136818,19810619,   72,    0
 24864,136818,19810620,   81,    0
 24864,136818,19810621,  106,    0
 24864,136818,19810622,   97,    0
 24864,136818,19810623,  105,    0
