EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MAKOW PODHALANSKI, POLAND (STAID: 24870)
Blended and updated with sources:136890 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24870,136890,19560101,   -1,    0
 24870,136890,19560102,   25,    0
 24870,136890,19560103,  -38,    0
 24870,136890,19560104,  -21,    0
 24870,136890,19560105,   24,    0
 24870,136890,19560106,  -11,    0
 24870,136890,19560107,  -44,    0
 24870,136890,19560108,  -54,    0
 24870,136890,19560109,  -66,    0
 24870,136890,19560110,   14,    0
 24870,136890,19560111,   19,    0
 24870,136890,19560112,   10,    0
 24870,136890,19560113,   20,    0
 24870,136890,19560114,    8,    0
 24870,136890,19560115,   59,    0
 24870,136890,19560116,   34,    0
 24870,136890,19560117,   -6,    0
 24870,136890,19560118,   56,    0
 24870,136890,19560119,   16,    0
 24870,136890,19560120,    7,    0
 24870,136890,19560121,   51,    0
 24870,136890,19560122,   77,    0
 24870,136890,19560123,   55,    0
 24870,136890,19560124,   47,    0
 24870,136890,19560125,  -37,    0
 24870,136890,19560126,  -45,    0
 24870,136890,19560127,  -72,    0
 24870,136890,19560128,  -50,    0
 24870,136890,19560129,  -90,    0
 24870,136890,19560130, -126,    0
 24870,136890,19560131, -252,    0
 24870,136890,19560201, -247,    0
 24870,136890,19560202, -201,    0
 24870,136890,19560203, -150,    0
 24870,136890,19560204, -145,    0
 24870,136890,19560205,  -92,    0
 24870,136890,19560206,  -93,    0
 24870,136890,19560207, -160,    0
 24870,136890,19560208, -162,    0
 24870,136890,19560209, -268,    0
 24870,136890,19560210, -233,    0
 24870,136890,19560211, -202,    0
 24870,136890,19560212, -149,    0
 24870,136890,19560213, -169,    0
 24870,136890,19560214, -149,    0
 24870,136890,19560215, -133,    0
 24870,136890,19560216, -164,    0
 24870,136890,19560217, -188,    0
 24870,136890,19560218, -124,    0
 24870,136890,19560219,  -39,    0
 24870,136890,19560220,  -52,    0
 24870,136890,19560221, -102,    0
 24870,136890,19560222, -132,    0
 24870,136890,19560223, -108,    0
 24870,136890,19560224, -116,    0
 24870,136890,19560225, -209,    0
 24870,136890,19560226, -203,    0
 24870,136890,19560227, -163,    0
 24870,136890,19560228,  -32,    0
