EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LALIKI, POLAND (STAID: 24874)
Blended and updated with sources:136938 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24874,136938,19860101,  -91,    0
 24874,136938,19860102,  -75,    0
 24874,136938,19860103,  -39,    0
 24874,136938,19860104,  -23,    0
 24874,136938,19860105,  -69,    0
 24874,136938,19860106,  -56,    0
 24874,136938,19860107,  -54,    0
 24874,136938,19860108,  -64,    0
 24874,136938,19860109,  -94,    0
 24874,136938,19860110, -130,    0
 24874,136938,19860111, -107,    0
 24874,136938,19860112,  -58,    0
 24874,136938,19860113,  -34,    0
 24874,136938,19860114,  -10,    0
 24874,136938,19860115,  -11,    0
 24874,136938,19860116,  -48,    0
 24874,136938,19860117,  -71,    0
 24874,136938,19860118,  -95,    0
 24874,136938,19860119,  -32,    0
 24874,136938,19860120,   12,    0
 24874,136938,19860121,   -7,    0
 24874,136938,19860122,    0,    0
 24874,136938,19860123,   -3,    0
 24874,136938,19860124,   27,    0
 24874,136938,19860125,  -26,    0
 24874,136938,19860126,  -56,    0
 24874,136938,19860127,  -81,    0
 24874,136938,19860128,  -63,    0
 24874,136938,19860129,  -40,    0
 24874,136938,19860130,  -11,    0
 24874,136938,19860131,  -24,    0
 24874,136938,19860201,   29,    0
 24874,136938,19860202,  -41,    0
 24874,136938,19860203,  -73,    0
 24874,136938,19860204,  -97,    0
 24874,136938,19860205, -108,    0
 24874,136938,19860206, -120,    0
 24874,136938,19860207, -149,    0
 24874,136938,19860208, -165,    0
 24874,136938,19860209, -152,    0
 24874,136938,19860210, -100,    0
 24874,136938,19860211, -123,    0
 24874,136938,19860212, -116,    0
 24874,136938,19860213,  -96,    0
 24874,136938,19860214,  -72,    0
 24874,136938,19860215,  -60,    0
 24874,136938,19860216,  -76,    0
 24874,136938,19860217,  -90,    0
 24874,136938,19860218,  -45,    0
 24874,136938,19860219,  -42,    0
 24874,136938,19860220,  -63,    0
 24874,136938,19860221, -117,    0
 24874,136938,19860222,  -85,    0
 24874,136938,19860223,  -94,    0
 24874,136938,19860224, -135,    0
 24874,136938,19860225, -114,    0
 24874,136938,19860226, -147,    0
 24874,136938,19860227, -146,    0
 24874,136938,19860228, -135,    0
 24874,136938,19860301,  -98,    0
 24874,136938,19860302,  -51,    0
 24874,136938,19860303,  -78,    0
 24874,136938,19860304,  -32,    0
 24874,136938,19860305,  -24,    0
 24874,136938,19860306,   34,    0
 24874,136938,19860307,   30,    0
 24874,136938,19860308,   -1,    0
 24874,136938,19860309,    1,    0
 24874,136938,19860310,   33,    0
 24874,136938,19860311,    0,    0
 24874,136938,19860312,   17,    0
 24874,136938,19860313,   49,    0
 24874,136938,19860314,   36,    0
 24874,136938,19860315,   26,    0
 24874,136938,19860316,   14,    0
 24874,136938,19860317,   -1,    0
 24874,136938,19860318,   14,    0
 24874,136938,19860319,    6,    0
 24874,136938,19860320,   -1,    0
 24874,136938,19860321,  -10,    0
 24874,136938,19860322,    6,    0
 24874,136938,19860323,   -3,    0
 24874,136938,19860324,    6,    0
 24874,136938,19860325,   28,    0
 24874,136938,19860326,   25,    0
 24874,136938,19860327,   38,    0
 24874,136938,19860328,   73,    0
 24874,136938,19860329,   66,    0
 24874,136938,19860330,   34,    0
 24874,136938,19860331,   37,    0
 24874,136938,19860401,   63,    0
 24874,136938,19860402,   48,    0
 24874,136938,19860403,   90,    0
 24874,136938,19860404,   73,    0
 24874,136938,19860405,   37,    0
 24874,136938,19860406,   52,    0
 24874,136938,19860407,  139,    0
 24874,136938,19860408,  172,    0
 24874,136938,19860409,  166,    0
 24874,136938,19860410,   87,    0
 24874,136938,19860411,  -23,    0
 24874,136938,19860412,  -52,    0
 24874,136938,19860413,  -47,    0
 24874,136938,19860414,  -27,    0
 24874,136938,19860415,   12,    0
 24874,136938,19860416,   50,    0
 24874,136938,19860417,   92,    0
 24874,136938,19860418,   89,    0
 24874,136938,19860419,   43,    0
 24874,136938,19860420,   20,    0
 24874,136938,19860421,   47,    0
 24874,136938,19860422,  103,    0
 24874,136938,19860423,  128,    0
 24874,136938,19860424,  155,    0
 24874,136938,19860425,  167,    0
 24874,136938,19860426,  155,    0
 24874,136938,19860427,  179,    0
 24874,136938,19860428,  142,    0
 24874,136938,19860429,  137,    0
 24874,136938,19860430,  142,    0
 24874,136938,19860501,  122,    0
 24874,136938,19860502,  117,    0
 24874,136938,19860503,  145,    0
 24874,136938,19860504,  161,    0
 24874,136938,19860505,  152,    0
 24874,136938,19860506,  160,    0
 24874,136938,19860507,  163,    0
 24874,136938,19860508,  158,    0
 24874,136938,19860509,   74,    0
 24874,136938,19860510,   85,    0
 24874,136938,19860511,   85,    0
 24874,136938,19860512,  119,    0
 24874,136938,19860513,  141,    0
 24874,136938,19860514,  179,    0
 24874,136938,19860515,  181,    0
 24874,136938,19860516,  130,    0
 24874,136938,19860517,  123,    0
 24874,136938,19860518,  139,    0
 24874,136938,19860519,  137,    0
 24874,136938,19860520,  142,    0
 24874,136938,19860521,  162,    0
 24874,136938,19860522,  156,    0
 24874,136938,19860523,  152,    0
 24874,136938,19860524,  183,    0
 24874,136938,19860525,  119,    0
 24874,136938,19860526,  153,    0
 24874,136938,19860527,  178,    0
 24874,136938,19860528,  178,    0
 24874,136938,19860529,  106,    0
 24874,136938,19860530,   92,    0
 24874,136938,19860531,   67,    0
 24874,136938,19860601,   61,    0
 24874,136938,19860602,   59,    0
 24874,136938,19860603,   71,    0
 24874,136938,19860604,  103,    0
 24874,136938,19860605,   75,    0
 24874,136938,19860606,   59,    0
 24874,136938,19860607,   95,    0
 24874,136938,19860608,   94,    0
 24874,136938,19860609,  120,    0
 24874,136938,19860610,  138,    0
 24874,136938,19860611,  177,    0
 24874,136938,19860612,  145,    0
 24874,136938,19860613,  150,    0
 24874,136938,19860614,  163,    0
 24874,136938,19860615,  202,    0
 24874,136938,19860616,  203,    0
 24874,136938,19860617,  202,    0
 24874,136938,19860618,  217,    0
 24874,136938,19860619,  198,    0
 24874,136938,19860620,  194,    0
 24874,136938,19860621,  170,    0
 24874,136938,19860622,  132,    0
 24874,136938,19860623,  109,    0
 24874,136938,19860624,  115,    0
 24874,136938,19860625,  130,    0
 24874,136938,19860626,  143,    0
 24874,136938,19860627,  165,    0
 24874,136938,19860628,  177,    0
 24874,136938,19860629,  149,    0
 24874,136938,19860630,  129,    0
 24874,136938,19860701,  151,    0
 24874,136938,19860702,  173,    0
 24874,136938,19860703,  190,    0
 24874,136938,19860704,  202,    0
 24874,136938,19860705,  207,    0
 24874,136938,19860706,  221,    0
 24874,136938,19860707,  166,    0
 24874,136938,19860708,  118,    0
 24874,136938,19860709,  110,    0
 24874,136938,19860710,  103,    0
 24874,136938,19860711,   97,    0
 24874,136938,19860712,   96,    0
 24874,136938,19860713,  107,    0
 24874,136938,19860714,  109,    0
 24874,136938,19860715,  115,    0
 24874,136938,19860716,  148,    0
 24874,136938,19860717,  177,    0
 24874,136938,19860718,  180,    0
 24874,136938,19860719,  125,    0
 24874,136938,19860720,  111,    0
 24874,136938,19860721,  111,    0
 24874,136938,19860722,  145,    0
 24874,136938,19860723,  166,    0
 24874,136938,19860724,  153,    0
 24874,136938,19860725,   91,    0
 24874,136938,19860726,  100,    0
 24874,136938,19860727,  118,    0
 24874,136938,19860728,  155,    0
 24874,136938,19860729,  165,    0
 24874,136938,19860730,  178,    0
 24874,136938,19860731,  204,    0
 24874,136938,19860801,  185,    0
 24874,136938,19860802,  182,    0
 24874,136938,19860803,  199,    0
 24874,136938,19860804,  210,    0
 24874,136938,19860805,  197,    0
 24874,136938,19860806,  163,    0
 24874,136938,19860807,  184,    0
 24874,136938,19860808,  198,    0
 24874,136938,19860809,  169,    0
 24874,136938,19860810,  168,    0
 24874,136938,19860811,  182,    0
 24874,136938,19860812,  185,    0
 24874,136938,19860813,  141,    0
 24874,136938,19860814,  138,    0
 24874,136938,19860815,  156,    0
 24874,136938,19860816,  181,    0
 24874,136938,19860817,  175,    0
 24874,136938,19860818,  147,    0
 24874,136938,19860819,  168,    0
 24874,136938,19860820,  125,    0
 24874,136938,19860821,   98,    0
 24874,136938,19860822,  115,    0
 24874,136938,19860823,  148,    0
 24874,136938,19860824,  121,    0
 24874,136938,19860825,   96,    0
 24874,136938,19860826,  100,    0
 24874,136938,19860827,  145,    0
 24874,136938,19860828,  143,    0
 24874,136938,19860829,  111,    0
 24874,136938,19860830,   92,    0
 24874,136938,19860831,   97,    0
 24874,136938,19860901,   90,    0
 24874,136938,19860902,  101,    0
 24874,136938,19860903,  131,    0
 24874,136938,19860904,  106,    0
 24874,136938,19860905,   84,    0
 24874,136938,19860906,  100,    0
 24874,136938,19860907,  113,    0
 24874,136938,19860908,  111,    0
 24874,136938,19860909,  101,    0
 24874,136938,19860910,   75,    0
 24874,136938,19860911,   92,    0
 24874,136938,19860912,  106,    0
 24874,136938,19860913,  115,    0
 24874,136938,19860914,  140,    0
 24874,136938,19860915,  182,    0
 24874,136938,19860916,  189,    0
 24874,136938,19860917,  135,    0
 24874,136938,19860918,  123,    0
 24874,136938,19860919,   68,    0
 24874,136938,19860920,   71,    0
 24874,136938,19860921,  100,    0
 24874,136938,19860922,  107,    0
 24874,136938,19860923,  105,    0
 24874,136938,19860924,  108,    0
 24874,136938,19860925,   73,    0
 24874,136938,19860926,   69,    0
 24874,136938,19860927,   61,    0
 24874,136938,19860928,   86,    0
 24874,136938,19860929,   85,    0
 24874,136938,19860930,   99,    0
 24874,136938,19861001,   92,    0
 24874,136938,19861002,  123,    0
 24874,136938,19861003,  108,    0
