EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station JABLONKA, POLAND (STAID: 24876)
Blended and updated with sources:136962 911918 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24876,136962,19610101,  -23,    0
 24876,136962,19610102,  -40,    0
 24876,136962,19610103,   15,    0
 24876,136962,19610104,   43,    0
 24876,136962,19610105,    8,    0
 24876,136962,19610106,  -52,    0
 24876,136962,19610107,  -26,    0
 24876,136962,19610108,    8,    0
 24876,136962,19610109,  -30,    0
 24876,136962,19610110,  -36,    0
 24876,136962,19610111,  -37,    0
 24876,136962,19610112,  -41,    0
 24876,136962,19610113,  -83,    0
 24876,136962,19610114,  -32,    0
 24876,136962,19610115,  -58,    0
 24876,136962,19610116,  -78,    0
 24876,136962,19610117,  -89,    0
 24876,136962,19610118, -192,    0
 24876,136962,19610119, -131,    0
 24876,136962,19610120, -121,    0
 24876,136962,19610121, -150,    0
 24876,136962,19610122,  -86,    0
 24876,136962,19610123,  -43,    0
 24876,136962,19610124,  -70,    0
 24876,136962,19610125,  -97,    0
 24876,136962,19610126, -178,    0
 24876,136962,19610127, -182,    0
 24876,136962,19610128,  -93,    0
 24876,136962,19610129,  -44,    0
 24876,136962,19610130,   -6,    0
 24876,136962,19610131,   20,    0
 24876,136962,19610201,    5,    0
 24876,136962,19610202,  -29,    0
 24876,136962,19610203,  -15,    0
 24876,136962,19610204,  -59,    0
 24876,136962,19610205,  -51,    0
 24876,136962,19610206,  -76,    0
 24876,136962,19610207,  -18,    0
 24876,136962,19610208,   -6,    0
 24876,136962,19610209,  -32,    0
 24876,136962,19610210,    4,    0
 24876,136962,19610211,    5,    0
 24876,136962,19610212,   10,    0
 24876,136962,19610213,   12,    0
 24876,136962,19610214,  -23,    0
 24876,136962,19610215,  -27,    0
 24876,136962,19610216,    5,    0
 24876,136962,19610217,    9,    0
 24876,136962,19610218,  -25,    0
 24876,136962,19610219,    2,    0
 24876,136962,19610220,   11,    0
 24876,136962,19610221,   11,    0
 24876,136962,19610222,  -19,    0
 24876,136962,19610223,  -34,    0
 24876,136962,19610224,  -34,    0
 24876,136962,19610225,  -36,    0
 24876,136962,19610226,  -19,    0
 24876,136962,19610227,    4,    0
 24876,136962,19610228,   21,    0
 24876,136962,19610301,    7,    0
 24876,136962,19610302,    8,    0
 24876,136962,19610303,   14,    0
 24876,136962,19610304,   15,    0
 24876,136962,19610305,   35,    0
 24876,136962,19610306,   19,    0
 24876,136962,19610307,   29,    0
 24876,136962,19610308,   38,    0
 24876,136962,19610309,   50,    0
 24876,136962,19610310,   46,    0
 24876,136962,19610311,   68,    0
 24876,136962,19610312,   71,    0
 24876,136962,19610313,   51,    0
 24876,136962,19610314,   43,    0
 24876,136962,19610315,   69,    0
 24876,136962,19610316,   83,    0
 24876,136962,19610317,   42,    0
 24876,136962,19610318,  104,    0
 24876,136962,19610319,   20,    0
 24876,136962,19610320,  -10,    0
 24876,136962,19610321,    1,    0
 24876,136962,19610322,  -44,    0
 24876,136962,19610323,   -1,    0
 24876,136962,19610324,   33,    0
 24876,136962,19610325,   43,    0
 24876,136962,19610326,   37,    0
 24876,136962,19610327,   26,    0
 24876,136962,19610328,  -21,    0
 24876,136962,19610329,    2,    0
 24876,136962,19610330,   36,    0
 24876,136962,19610331,   49,    0
 24876,136962,19610401,   49,    0
 24876,136962,19610402,   62,    0
 24876,136962,19610403,   77,    0
 24876,136962,19610404,   94,    0
 24876,136962,19610405,   95,    0
 24876,136962,19610406,  115,    0
 24876,136962,19610407,  118,    0
 24876,136962,19610408,   99,    0
 24876,136962,19610409,   33,    0
 24876,136962,19610410,   58,    0
 24876,136962,19610411,   95,    0
 24876,136962,19610412,   48,    0
 24876,136962,19610413,   77,    0
 24876,136962,19610414,   96,    0
 24876,136962,19610415,  131,    0
 24876,136962,19610416,  103,    0
 24876,136962,19610417,   95,    0
 24876,136962,19610418,  109,    0
 24876,136962,19610419,  108,    0
 24876,136962,19610420,   69,    0
 24876,136962,19610421,   70,    0
 24876,136962,19610422,   74,    0
 24876,136962,19610423,   86,    0
 24876,136962,19610424,   70,    0
 24876,136962,19610425,   74,    0
 24876,136962,19610426,  102,    0
 24876,136962,19610427,  101,    0
 24876,136962,19610428,  101,    0
 24876,136962,19610429,   89,    0
 24876,136962,19610430,   92,    0
 24876,136962,19610501,   78,    0
 24876,136962,19610502,   85,    0
 24876,136962,19610503,  100,    0
 24876,136962,19610504,   95,    0
 24876,136962,19610505,  131,    0
 24876,136962,19610506,  139,    0
 24876,136962,19610507,  133,    0
 24876,136962,19610508,   78,    0
