EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WITOW, POLAND (STAID: 24881)
Blended and updated with sources:137010 137022 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24881,137022,19610101,  -42,    0
 24881,137022,19610102,  -45,    0
 24881,137022,19610103,   10,    0
 24881,137022,19610104,   48,    0
 24881,137022,19610105,    1,    0
 24881,137022,19610106,  -43,    0
 24881,137022,19610107,  -41,    0
 24881,137022,19610108,    3,    0
 24881,137022,19610109,  -37,    0
 24881,137022,19610110,  -47,    0
 24881,137022,19610111,  -47,    0
 24881,137022,19610112,  -56,    0
 24881,137022,19610113,  -79,    0
 24881,137022,19610114,  -37,    0
 24881,137022,19610115,  -58,    0
 24881,137022,19610116,  -51,    0
 24881,137022,19610117, -101,    0
 24881,137022,19610118, -174,    0
 24881,137022,19610119, -110,    0
 24881,137022,19610120, -102,    0
 24881,137022,19610121, -117,    0
 24881,137022,19610122, -100,    0
 24881,137022,19610123,  -56,    0
 24881,137022,19610124,  -73,    0
 24881,137022,19610125, -118,    0
 24881,137022,19610126, -164,    0
 24881,137022,19610127, -123,    0
 24881,137022,19610128, -118,    0
 24881,137022,19610129,  -49,    0
 24881,137022,19610130,   17,    0
 24881,137022,19610131,   40,    0
 24881,137022,19610201,   12,    0
 24881,137022,19610202,  -34,    0
 24881,137022,19610203,  -25,    0
 24881,137022,19610204,  -80,    0
 24881,137022,19610205,  -60,    0
 24881,137022,19610206,  -86,    0
 24881,137022,19610207,  -21,    0
 24881,137022,19610208,  -10,    0
 24881,137022,19610209,  -24,    0
 24881,137022,19610210,   -7,    0
 24881,137022,19610211,    8,    0
 24881,137022,19610212,   -4,    0
 24881,137022,19610213,   -5,    0
 24881,137022,19610214,  -20,    0
 24881,137022,19610215,  -26,    0
 24881,137022,19610216,   15,    0
 24881,137022,19610217,   -3,    0
 24881,137022,19610218,    9,    0
 24881,137022,19610219,   14,    0
 24881,137022,19610220,    3,    0
 24881,137022,19610221,    5,    0
 24881,137022,19610222,  -30,    0
 24881,137022,19610223,  -48,    0
 24881,137022,19610224,  -43,    0
 24881,137022,19610225,  -26,    0
 24881,137022,19610226,  -53,    0
 24881,137022,19610227,  -18,    0
 24881,137022,19610228,   26,    0
 24881,137022,19610301,   -1,    0
 24881,137022,19610302,   -1,    0
 24881,137022,19610303,    4,    0
 24881,137022,19610304,   11,    0
 24881,137022,19610305,   30,    0
 24881,137022,19610306,   13,    0
 24881,137022,19610307,   28,    0
 24881,137022,19610308,   24,    0
 24881,137022,19610309,   36,    0
 24881,137022,19610310,   47,    0
 24881,137022,19610311,   65,    0
 24881,137022,19610312,   75,    0
 24881,137022,19610313,   35,    0
 24881,137022,19610314,   33,    0
 24881,137022,19610315,   55,    0
 24881,137022,19610316,   69,    0
 24881,137022,19610317,   40,    0
 24881,137022,19610318,   99,    0
 24881,137022,19610319,   10,    0
 24881,137022,19610320,  -26,    0
 24881,137022,19610321,   -4,    0
 24881,137022,19610322,  -57,    0
