EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LACKO, POLAND (STAID: 24891)
Blended and updated with sources:137142 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24891,137142,19560101,    7,    0
 24891,137142,19560102,   16,    0
 24891,137142,19560103,  -19,    0
 24891,137142,19560104,   -4,    0
 24891,137142,19560105,   14,    0
 24891,137142,19560106,  -20,    0
 24891,137142,19560107,  -45,    0
 24891,137142,19560108,  -58,    0
 24891,137142,19560109,  -48,    0
 24891,137142,19560110,   14,    0
 24891,137142,19560111,   20,    0
 24891,137142,19560112,   23,    0
 24891,137142,19560113,   38,    0
 24891,137142,19560114,   19,    0
 24891,137142,19560115,   56,    0
 24891,137142,19560116,   41,    0
 24891,137142,19560117,   35,    0
 24891,137142,19560118,   56,    0
 24891,137142,19560119,    4,    0
 24891,137142,19560120,   12,    0
 24891,137142,19560121,   54,    0
 24891,137142,19560122,   64,    0
 24891,137142,19560123,   27,    0
 24891,137142,19560124,   45,    0
 24891,137142,19560125,  -12,    0
 24891,137142,19560126,  -32,    0
 24891,137142,19560127,  -68,    0
 24891,137142,19560128,  -44,    0
 24891,137142,19560129,  -80,    0
 24891,137142,19560130, -144,    0
 24891,137142,19560131, -206,    0
 24891,137142,19560201, -204,    0
 24891,137142,19560202, -182,    0
 24891,137142,19560203, -151,    0
 24891,137142,19560204, -168,    0
 24891,137142,19560205,  -79,    0
 24891,137142,19560206,  -65,    0
 24891,137142,19560207, -120,    0
 24891,137142,19560208, -130,    0
 24891,137142,19560209, -227,    0
 24891,137142,19560210, -224,    0
 24891,137142,19560211, -184,    0
 24891,137142,19560212, -136,    0
 24891,137142,19560213, -161,    0
 24891,137142,19560214, -157,    0
 24891,137142,19560215, -121,    0
 24891,137142,19560216, -157,    0
 24891,137142,19560217, -189,    0
 24891,137142,19560218, -124,    0
 24891,137142,19560219,   -7,    0
 24891,137142,19560220,  -40,    0
 24891,137142,19560221,  -91,    0
 24891,137142,19560222, -114,    0
 24891,137142,19560223,  -92,    0
 24891,137142,19560224, -129,    0
 24891,137142,19560225, -166,    0
 24891,137142,19560226, -164,    0
 24891,137142,19560227, -127,    0
 24891,137142,19560228,  -13,    0
 24891,137142,19560229,   16,    0
 24891,137142,19560301,   27,    0
 24891,137142,19560302,   50,    0
 24891,137142,19560303,   38,    0
 24891,137142,19560304,   37,    0
 24891,137142,19560305,   21,    0
 24891,137142,19560306,  -19,    0
 24891,137142,19560307,   -8,    0
 24891,137142,19560308,  -52,    0
 24891,137142,19560309,  -63,    0
 24891,137142,19560310,  -75,    0
 24891,137142,19560311,  -52,    0
 24891,137142,19560312,  -47,    0
 24891,137142,19560313,  -50,    0
 24891,137142,19560314,  -40,    0
 24891,137142,19560315,  -20,    0
 24891,137142,19560316,    2,    0
 24891,137142,19560317,   -7,    0
 24891,137142,19560318,  -22,    0
 24891,137142,19560319,  -28,    0
 24891,137142,19560320,   -6,    0
