EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LOPUSZNA, POLAND (STAID: 24892)
Blended and updated with sources:137154 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24892,137154,19880101,   -2,    0
 24892,137154,19880102,   16,    0
 24892,137154,19880103,   28,    0
 24892,137154,19880104,   -5,    0
 24892,137154,19880105,   59,    0
 24892,137154,19880106,    8,    0
 24892,137154,19880107,   -7,    0
 24892,137154,19880108,   15,    0
 24892,137154,19880109,    8,    0
 24892,137154,19880110,    2,    0
 24892,137154,19880111,  -20,    0
 24892,137154,19880112,  -11,    0
 24892,137154,19880113,  -48,    0
 24892,137154,19880114,  -63,    0
 24892,137154,19880115,  -56,    0
 24892,137154,19880116,  -28,    0
 24892,137154,19880117,  -22,    0
 24892,137154,19880118,   -4,    0
 24892,137154,19880119,  -27,    0
 24892,137154,19880120,  -30,    0
 24892,137154,19880121,  -48,    0
 24892,137154,19880122,  -23,    0
 24892,137154,19880123,  -11,    0
 24892,137154,19880124,  -20,    0
 24892,137154,19880125,  -21,    0
 24892,137154,19880126,   -2,    0
 24892,137154,19880127,   20,    0
 24892,137154,19880128,    6,    0
 24892,137154,19880129,   22,    0
 24892,137154,19880130,   42,    0
 24892,137154,19880131,   14,    0
 24892,137154,19880201,    1,    0
 24892,137154,19880202,   -3,    0
 24892,137154,19880203,    9,    0
 24892,137154,19880204,   11,    0
 24892,137154,19880205,   26,    0
 24892,137154,19880206,    7,    0
 24892,137154,19880207,   43,    0
 24892,137154,19880208,   16,    0
 24892,137154,19880209,    7,    0
 24892,137154,19880210,   -7,    0
