EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HALA GASIENICOWA, POLAND (STAID: 24899)
Blended and updated with sources:137238 137250 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24899,137238,19910101,  -14,    0
 24899,137238,19910102,  -59,    0
 24899,137238,19910103,   34,    0
 24899,137238,19910104,   56,    0
 24899,137238,19910105,  -24,    0
 24899,137238,19910106,  -34,    0
 24899,137238,19910107,  -22,    0
 24899,137238,19910108,   -2,    0
 24899,137238,19910109,   18,    0
 24899,137238,19910110,   45,    0
 24899,137238,19910111,   63,    0
 24899,137238,19910112,   14,    0
 24899,137238,19910113,  -40,    0
 24899,137238,19910114,  -77,    0
 24899,137238,19910115, -110,    0
 24899,137238,19910116,  -84,    0
 24899,137238,19910117,  -50,    0
 24899,137238,19910118,  -23,    0
 24899,137238,19910119,  -14,    0
 24899,137238,19910120,  -29,    0
 24899,137238,19910121,  -28,    0
 24899,137238,19910122,  -49,    0
 24899,137238,19910123,  -50,    0
 24899,137238,19910124,  -59,    0
 24899,137238,19910125,  -59,    0
 24899,137238,19910126,   -1,    0
 24899,137238,19910127,  -75,    0
 24899,137238,19910128,  -80,    0
 24899,137238,19910129,  -94,    0
 24899,137238,19910130, -139,    0
 24899,137238,19910131, -160,    0
 24899,137238,19910201, -149,    0
 24899,137238,19910202, -133,    0
 24899,137238,19910203, -129,    0
 24899,137238,19910204, -173,    0
 24899,137238,19910205, -215,    0
 24899,137238,19910206, -129,    0
 24899,137238,19910207,  -79,    0
 24899,137238,19910208,  -68,    0
 24899,137238,19910209,  -57,    0
 24899,137238,19910210,  -26,    0
 24899,137238,19910211,  -37,    0
 24899,137238,19910212,  -91,    0
 24899,137238,19910213, -131,    0
 24899,137238,19910214, -136,    0
 24899,137238,19910215, -137,    0
 24899,137238,19910216, -109,    0
 24899,137238,19910217, -117,    0
 24899,137238,19910218,  -92,    0
 24899,137238,19910219,  -78,    0
 24899,137238,19910220,  -13,    0
 24899,137238,19910221,   21,    0
 24899,137238,19910222,    7,    0
 24899,137238,19910223,  -24,    0
 24899,137238,19910224,   22,    0
 24899,137238,19910225,   47,    0
 24899,137238,19910226,  -36,    0
 24899,137238,19910227,  -98,    0
 24899,137238,19910228,  -93,    0
 24899,137238,19910301,  -62,    0
 24899,137238,19910302,  -21,    0
 24899,137238,19910303,  -23,    0
 24899,137238,19910304,  -17,    0
 24899,137238,19910305,   -7,    0
 24899,137238,19910306,   -1,    0
 24899,137238,19910307,    5,    0
 24899,137238,19910308,   44,    0
 24899,137238,19910309,   88,    0
 24899,137238,19910310,   42,    0
 24899,137238,19910311,    9,    0
 24899,137238,19910312,    5,    0
 24899,137238,19910313,   -3,    0
 24899,137238,19910314,   10,    0
 24899,137238,19910315,   32,    0
 24899,137238,19910316,   19,    0
 24899,137238,19910317,   11,    0
 24899,137238,19910318,    9,    0
 24899,137238,19910319,   20,    0
 24899,137238,19910320,   11,    0
 24899,137238,19910321,   28,    0
 24899,137238,19910322,   64,    0
 24899,137238,19910323,   37,    0
 24899,137238,19910324,   84,    0
 24899,137238,19910325,   29,    0
 24899,137238,19910326,  -33,    0
 24899,137238,19910327,  -69,    0
 24899,137238,19910328,  -78,    0
 24899,137238,19910329,  -51,    0
 24899,137238,19910330,  -20,    0
 24899,137238,19910331,  -26,    0
 24899,137238,19910401,  -42,    0
 24899,137238,19910402,   14,    0
 24899,137238,19910403,   30,    0
 24899,137238,19910404,   15,    0
 24899,137238,19910405,   27,    0
 24899,137238,19910406,   23,    0
 24899,137238,19910407,   26,    0
 24899,137238,19910408,   -4,    0
 24899,137238,19910409,  -10,    0
 24899,137238,19910410,  -46,    0
 24899,137238,19910411,   -5,    0
 24899,137238,19910412,   14,    0
 24899,137238,19910413,   19,    0
 24899,137238,19910414,   16,    0
 24899,137238,19910415,   19,    0
 24899,137238,19910416,   19,    0
 24899,137238,19910417,  -60,    0
 24899,137238,19910418,  -57,    0
 24899,137238,19910419,  -54,    0
 24899,137238,19910420,  -60,    0
 24899,137238,19910421,  -72,    0
 24899,137238,19910422,  -75,    0
 24899,137238,19910423,  -42,    0
 24899,137238,19910424,  -35,    0
 24899,137238,19910425,  -18,    0
 24899,137238,19910426,  -12,    0
 24899,137238,19910427,   13,    0
 24899,137238,19910428,    2,    0
 24899,137238,19910429,   22,    0
 24899,137238,19910430,   16,    0
