EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROZNOW, POLAND (STAID: 24910)
Blended and updated with sources:137358 137370 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24910,137370,19610101,   10,    0
 24910,137370,19610102,   -6,    0
 24910,137370,19610103,   48,    0
 24910,137370,19610104,   82,    0
 24910,137370,19610105,   27,    0
 24910,137370,19610106,   15,    0
 24910,137370,19610107,   22,    0
 24910,137370,19610108,   24,    0
 24910,137370,19610109,   15,    0
 24910,137370,19610110,    0,    0
 24910,137370,19610111,   15,    0
 24910,137370,19610112,  -17,    0
 24910,137370,19610113,  -32,    0
 24910,137370,19610114,   15,    0
 24910,137370,19610115,  -13,    0
 24910,137370,19610116,  -43,    0
 24910,137370,19610117,  -80,    0
 24910,137370,19610118, -142,    0
 24910,137370,19610119,  -96,    0
 24910,137370,19610120,  -59,    0
 24910,137370,19610121, -103,    0
 24910,137370,19610122,  -53,    0
 24910,137370,19610123,  -51,    0
 24910,137370,19610124,  -92,    0
 24910,137370,19610125, -100,    0
 24910,137370,19610126, -155,    0
 24910,137370,19610127, -159,    0
 24910,137370,19610128,  -58,    0
 24910,137370,19610129,   -4,    0
 24910,137370,19610130,   20,    0
 24910,137370,19610131,   39,    0
 24910,137370,19610201,   38,    0
 24910,137370,19610202,   19,    0
 24910,137370,19610203,   11,    0
 24910,137370,19610204,  -16,    0
 24910,137370,19610205,  -16,    0
 24910,137370,19610206,  -29,    0
 24910,137370,19610207,    0,    0
 24910,137370,19610208,   16,    0
 24910,137370,19610209,    7,    0
 24910,137370,19610210,   19,    0
 24910,137370,19610211,   32,    0
 24910,137370,19610212,   21,    0
 24910,137370,19610213,   28,    0
 24910,137370,19610214,   10,    0
 24910,137370,19610215,   22,    0
 24910,137370,19610216,   32,    0
 24910,137370,19610217,   37,    0
 24910,137370,19610218,   37,    0
 24910,137370,19610219,   44,    0
 24910,137370,19610220,   22,    0
 24910,137370,19610221,   40,    0
 24910,137370,19610222,   30,    0
 24910,137370,19610223,   17,    0
 24910,137370,19610224,   -1,    0
 24910,137370,19610225,  -11,    0
 24910,137370,19610226,    4,    0
 24910,137370,19610227,   31,    0
 24910,137370,19610228,   46,    0
 24910,137370,19610301,   36,    0
 24910,137370,19610302,   33,    0
 24910,137370,19610303,   29,    0
 24910,137370,19610304,   48,    0
 24910,137370,19610305,   55,    0
 24910,137370,19610306,   58,    0
 24910,137370,19610307,   75,    0
 24910,137370,19610308,   80,    0
 24910,137370,19610309,  100,    0
 24910,137370,19610310,  110,    0
 24910,137370,19610311,  102,    0
 24910,137370,19610312,  116,    0
 24910,137370,19610313,   68,    0
 24910,137370,19610314,   55,    0
 24910,137370,19610315,   92,    0
 24910,137370,19610316,  102,    0
 24910,137370,19610317,   83,    0
 24910,137370,19610318,  141,    0
 24910,137370,19610319,   28,    0
 24910,137370,19610320,   13,    0
 24910,137370,19610321,   31,    0
 24910,137370,19610322,   -4,    0
 24910,137370,19610323,   34,    0
 24910,137370,19610324,   75,    0
 24910,137370,19610325,   77,    0
 24910,137370,19610326,   80,    0
 24910,137370,19610327,   49,    0
 24910,137370,19610328,    6,    0
 24910,137370,19610329,   37,    0
 24910,137370,19610330,   75,    0
 24910,137370,19610331,   54,    0
 24910,137370,19610401,   87,    0
 24910,137370,19610402,   59,    0
 24910,137370,19610403,  100,    0
 24910,137370,19610404,   99,    0
 24910,137370,19610405,  149,    0
 24910,137370,19610406,  172,    0
 24910,137370,19610407,  165,    0
 24910,137370,19610408,  131,    0
 24910,137370,19610409,   49,    0
 24910,137370,19610410,   66,    0
 24910,137370,19610411,   97,    0
 24910,137370,19610412,   78,    0
 24910,137370,19610413,  121,    0
 24910,137370,19610414,  163,    0
 24910,137370,19610415,  178,    0
 24910,137370,19610416,  151,    0
 24910,137370,19610417,  130,    0
 24910,137370,19610418,  139,    0
 24910,137370,19610419,  117,    0
 24910,137370,19610420,   79,    0
 24910,137370,19610421,   83,    0
 24910,137370,19610422,  121,    0
 24910,137370,19610423,  115,    0
 24910,137370,19610424,   98,    0
 24910,137370,19610425,   90,    0
 24910,137370,19610426,  107,    0
 24910,137370,19610427,  116,    0
 24910,137370,19610428,  116,    0
 24910,137370,19610429,  126,    0
 24910,137370,19610430,  115,    0
 24910,137370,19610501,   91,    0
 24910,137370,19610502,  103,    0
 24910,137370,19610503,  124,    0
 24910,137370,19610504,  114,    0
 24910,137370,19610505,  154,    0
 24910,137370,19610506,  175,    0
 24910,137370,19610507,  148,    0
 24910,137370,19610508,   86,    0
 24910,137370,19610509,   91,    0
 24910,137370,19610510,   82,    0
 24910,137370,19610511,   72,    0
 24910,137370,19610512,   54,    0
 24910,137370,19610513,   99,    0
 24910,137370,19610514,   90,    0
 24910,137370,19610515,   90,    0
 24910,137370,19610516,   95,    0
 24910,137370,19610517,   90,    0
 24910,137370,19610518,   90,    0
 24910,137370,19610519,  111,    0
 24910,137370,19610520,  130,    0
 24910,137370,19610521,  107,    0
 24910,137370,19610522,  116,    0
 24910,137370,19610523,  115,    0
 24910,137370,19610524,  130,    0
 24910,137370,19610525,  139,    0
 24910,137370,19610526,  163,    0
 24910,137370,19610527,  170,    0
 24910,137370,19610528,  157,    0
 24910,137370,19610529,  173,    0
 24910,137370,19610530,  110,    0
 24910,137370,19610531,  143,    0
 24910,137370,19610601,  191,    0
 24910,137370,19610602,  188,    0
 24910,137370,19610603,  180,    0
 24910,137370,19610604,  163,    0
 24910,137370,19610605,  157,    0
 24910,137370,19610606,  172,    0
 24910,137370,19610607,  161,    0
 24910,137370,19610608,  187,    0
 24910,137370,19610609,  170,    0
 24910,137370,19610610,  184,    0
 24910,137370,19610611,  166,    0
 24910,137370,19610612,  153,    0
 24910,137370,19610613,  173,    0
 24910,137370,19610614,  143,    0
 24910,137370,19610615,  143,    0
 24910,137370,19610616,  149,    0
 24910,137370,19610617,  160,    0
 24910,137370,19610618,  194,    0
 24910,137370,19610619,  200,    0
 24910,137370,19610620,  159,    0
 24910,137370,19610621,  179,    0
 24910,137370,19610622,  200,    0
 24910,137370,19610623,  191,    0
 24910,137370,19610624,  200,    0
 24910,137370,19610625,  233,    0
 24910,137370,19610626,  227,    0
 24910,137370,19610627,  236,    0
 24910,137370,19610628,  142,    0
 24910,137370,19610629,  157,    0
 24910,137370,19610630,  167,    0
 24910,137370,19610701,  195,    0
 24910,137370,19610702,  203,    0
 24910,137370,19610703,  225,    0
 24910,137370,19610704,  221,    0
 24910,137370,19610705,  144,    0
 24910,137370,19610706,  135,    0
 24910,137370,19610707,  139,    0
 24910,137370,19610708,  152,    0
 24910,137370,19610709,  160,    0
 24910,137370,19610710,  141,    0
 24910,137370,19610711,  160,    0
 24910,137370,19610712,  209,    0
 24910,137370,19610713,  207,    0
 24910,137370,19610714,  154,    0
 24910,137370,19610715,  190,    0
 24910,137370,19610716,  187,    0
 24910,137370,19610717,  149,    0
 24910,137370,19610718,  159,    0
 24910,137370,19610719,  140,    0
 24910,137370,19610720,  138,    0
 24910,137370,19610721,  151,    0
 24910,137370,19610722,  153,    0
 24910,137370,19610723,  153,    0
 24910,137370,19610724,  151,    0
 24910,137370,19610725,  135,    0
