EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BOCHNIA, POLAND (STAID: 24911)
Blended and updated with sources:137070 137382 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24911,137382,19610101,  -17,    0
 24911,137382,19610102,  -24,    0
 24911,137382,19610103,    8,    0
 24911,137382,19610104,   72,    0
 24911,137382,19610105,   26,    0
 24911,137382,19610106,    7,    0
 24911,137382,19610107,    0,    0
 24911,137382,19610108,   25,    0
 24911,137382,19610109,   23,    0
 24911,137382,19610110,    5,    0
 24911,137382,19610111,    9,    0
 24911,137382,19610112,  -12,    0
 24911,137382,19610113,  -28,    0
 24911,137382,19610114,   15,    0
 24911,137382,19610115,   -7,    0
 24911,137382,19610116,  -37,    0
 24911,137382,19610117,  -71,    0
 24911,137382,19610118, -154,    0
 24911,137382,19610119,  -95,    0
 24911,137382,19610120,  -73,    0
 24911,137382,19610121, -118,    0
 24911,137382,19610122, -107,    0
 24911,137382,19610123,  -53,    0
 24911,137382,19610124, -134,    0
 24911,137382,19610125, -104,    0
 24911,137382,19610126, -199,    0
 24911,137382,19610127, -197,    0
 24911,137382,19610128, -157,    0
 24911,137382,19610129,  -27,    0
 24911,137382,19610130,   59,    0
 24911,137382,19610131,   61,    0
 24911,137382,19610201,   33,    0
 24911,137382,19610202,   26,    0
 24911,137382,19610203,   10,    0
 24911,137382,19610204,   -3,    0
 24911,137382,19610205,  -16,    0
 24911,137382,19610206,  -18,    0
 24911,137382,19610207,   16,    0
 24911,137382,19610208,   19,    0
 24911,137382,19610209,   21,    0
 24911,137382,19610210,   24,    0
 24911,137382,19610211,   31,    0
 24911,137382,19610212,   32,    0
 24911,137382,19610213,   29,    0
 24911,137382,19610214,    0,    0
 24911,137382,19610215,   35,    0
 24911,137382,19610216,   32,    0
 24911,137382,19610217,   41,    0
 24911,137382,19610218,   30,    0
 24911,137382,19610219,   26,    0
 24911,137382,19610220,   22,    0
 24911,137382,19610221,   36,    0
 24911,137382,19610222,   36,    0
 24911,137382,19610223,   13,    0
 24911,137382,19610224,   11,    0
 24911,137382,19610225,  -10,    0
 24911,137382,19610226,  -14,    0
 24911,137382,19610227,   28,    0
 24911,137382,19610228,   75,    0
 24911,137382,19610301,   36,    0
 24911,137382,19610302,   37,    0
 24911,137382,19610303,   41,    0
 24911,137382,19610304,   50,    0
 24911,137382,19610305,   55,    0
 24911,137382,19610306,   50,    0
 24911,137382,19610307,   66,    0
 24911,137382,19610308,   59,    0
 24911,137382,19610309,   87,    0
 24911,137382,19610310,   90,    0
 24911,137382,19610311,  107,    0
 24911,137382,19610312,  106,    0
 24911,137382,19610313,   73,    0
 24911,137382,19610314,   57,    0
 24911,137382,19610315,   96,    0
 24911,137382,19610316,  103,    0
 24911,137382,19610317,   85,    0
 24911,137382,19610318,  127,    0
 24911,137382,19610319,   44,    0
 24911,137382,19610320,   14,    0
 24911,137382,19610321,   31,    0
 24911,137382,19610322,   -3,    0
 24911,137382,19610323,   32,    0
 24911,137382,19610324,   74,    0
 24911,137382,19610325,   76,    0
 24911,137382,19610326,   80,    0
 24911,137382,19610327,   48,    0
 24911,137382,19610328,   14,    0
 24911,137382,19610329,   38,    0
 24911,137382,19610330,   80,    0
 24911,137382,19610331,   55,    0
 24911,137382,19610401,   85,    0
 24911,137382,19610402,   59,    0
 24911,137382,19610403,  102,    0
 24911,137382,19610404,  114,    0
 24911,137382,19610405,  147,    0
 24911,137382,19610406,  174,    0
 24911,137382,19610407,  167,    0
 24911,137382,19610408,  143,    0
 24911,137382,19610409,   42,    0
 24911,137382,19610410,   46,    0
 24911,137382,19610411,   95,    0
 24911,137382,19610412,   62,    0
 24911,137382,19610413,  125,    0
 24911,137382,19610414,  154,    0
 24911,137382,19610415,  181,    0
 24911,137382,19610416,  144,    0
 24911,137382,19610417,  128,    0
 24911,137382,19610418,  134,    0
 24911,137382,19610419,  118,    0
 24911,137382,19610420,   72,    0
 24911,137382,19610421,   71,    0
 24911,137382,19610422,  127,    0
 24911,137382,19610423,  109,    0
 24911,137382,19610424,   96,    0
 24911,137382,19610425,   94,    0
 24911,137382,19610426,   93,    0
 24911,137382,19610427,  112,    0
 24911,137382,19610428,  116,    0
 24911,137382,19610429,  112,    0
 24911,137382,19610430,  122,    0
 24911,137382,19610501,   94,    0
 24911,137382,19610502,   92,    0
 24911,137382,19610503,  133,    0
 24911,137382,19610504,  101,    0
 24911,137382,19610505,  153,    0
 24911,137382,19610506,  175,    0
 24911,137382,19610507,  154,    0
 24911,137382,19610508,   95,    0
 24911,137382,19610509,   95,    0
 24911,137382,19610510,   87,    0
 24911,137382,19610511,   83,    0
 24911,137382,19610512,   53,    0
