EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BIECZ-GRUDNA, POLAND (STAID: 24912)
Blended and updated with sources:137394 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24912,137394,19560101,  -19,    0
 24912,137394,19560102,  -19,    0
 24912,137394,19560103,  -31,    0
 24912,137394,19560104,  -13,    0
 24912,137394,19560105,   -3,    0
 24912,137394,19560106,  -29,    0
 24912,137394,19560107,  -43,    0
 24912,137394,19560108,  -46,    0
 24912,137394,19560109,  -53,    0
 24912,137394,19560110,  -11,    0
 24912,137394,19560111,    5,    0
 24912,137394,19560112,   21,    0
 24912,137394,19560113,   16,    0
 24912,137394,19560114,   23,    0
 24912,137394,19560115,   36,    0
 24912,137394,19560116,   33,    0
 24912,137394,19560117,   26,    0
 24912,137394,19560118,   29,    0
 24912,137394,19560119,   31,    0
 24912,137394,19560120,   31,    0
 24912,137394,19560121,   37,    0
 24912,137394,19560122,   26,    0
 24912,137394,19560123,   47,    0
 24912,137394,19560124,   51,    0
 24912,137394,19560125,   18,    0
 24912,137394,19560126,  -29,    0
 24912,137394,19560127,  -74,    0
 24912,137394,19560128,  -47,    0
 24912,137394,19560129,  -72,    0
 24912,137394,19560130, -147,    0
 24912,137394,19560131, -227,    0
 24912,137394,19560201, -230,    0
 24912,137394,19560202, -226,    0
 24912,137394,19560203, -180,    0
 24912,137394,19560204, -152,    0
 24912,137394,19560205, -132,    0
 24912,137394,19560206, -105,    0
 24912,137394,19560207, -167,    0
 24912,137394,19560208, -166,    0
 24912,137394,19560209, -225,    0
 24912,137394,19560210, -205,    0
 24912,137394,19560211, -201,    0
 24912,137394,19560212, -194,    0
 24912,137394,19560213, -209,    0
 24912,137394,19560214, -198,    0
 24912,137394,19560215, -102,    0
 24912,137394,19560216, -190,    0
 24912,137394,19560217, -195,    0
 24912,137394,19560218,  -88,    0
 24912,137394,19560219,    4,    0
 24912,137394,19560220,  -62,    0
 24912,137394,19560221,  -88,    0
 24912,137394,19560222,  -98,    0
 24912,137394,19560223,  -96,    0
 24912,137394,19560224, -104,    0
 24912,137394,19560225, -135,    0
 24912,137394,19560226, -125,    0
 24912,137394,19560227, -130,    0
 24912,137394,19560228,  -93,    0
 24912,137394,19560229,  -62,    0
 24912,137394,19560301,   16,    0
 24912,137394,19560302,   25,    0
 24912,137394,19560303,   27,    0
 24912,137394,19560304,   33,    0
 24912,137394,19560305,  -22,    0
 24912,137394,19560306,  -11,    0
 24912,137394,19560307,  -16,    0
 24912,137394,19560308,  -43,    0
 24912,137394,19560309,  -54,    0
 24912,137394,19560310,  -58,    0
 24912,137394,19560311,  -50,    0
 24912,137394,19560312,  -48,    0
 24912,137394,19560313,  -39,    0
 24912,137394,19560314,  -37,    0
 24912,137394,19560315,  -37,    0
 24912,137394,19560316,  -14,    0
 24912,137394,19560317,  -19,    0
 24912,137394,19560318,  -20,    0
 24912,137394,19560319,  -25,    0
 24912,137394,19560320,  -25,    0
 24912,137394,19560321,  -11,    0
 24912,137394,19560322,   28,    0
 24912,137394,19560323,   10,    0
 24912,137394,19560324,   24,    0
 24912,137394,19560325,   40,    0
 24912,137394,19560326,   21,    0
 24912,137394,19560327,   20,    0
 24912,137394,19560328,   13,    0
 24912,137394,19560329,   36,    0
 24912,137394,19560330,   76,    0
 24912,137394,19560331,   86,    0
 24912,137394,19560401,   56,    0
 24912,137394,19560402,   49,    0
 24912,137394,19560403,   80,    0
 24912,137394,19560404,   52,    0
 24912,137394,19560405,   18,    0
