EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TERKA, POLAND (STAID: 24923)
Blended and updated with sources:137526 140502 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24923,140502,19560101,   -6,    0
 24923,140502,19560102,    4,    0
 24923,140502,19560103,  -36,    0
 24923,140502,19560104,  -16,    0
 24923,140502,19560105,   -6,    0
 24923,140502,19560106,  -38,    0
 24923,140502,19560107,  -54,    0
 24923,140502,19560108,  -90,    0
 24923,140502,19560109,  -62,    0
 24923,140502,19560110,    3,    0
 24923,140502,19560111,   22,    0
 24923,140502,19560112,   37,    0
 24923,140502,19560113,   41,    0
 24923,140502,19560114,   30,    0
 24923,140502,19560115,   33,    0
 24923,140502,19560116,   31,    0
 24923,140502,19560117,   16,    0
 24923,140502,19560118,   57,    0
 24923,140502,19560119,   -8,    0
 24923,140502,19560120,    4,    0
 24923,140502,19560121,   30,    0
 24923,140502,19560122,   55,    0
 24923,140502,19560123,   40,    0
 24923,140502,19560124,   50,    0
 24923,140502,19560125,  -12,    0
 24923,140502,19560126,  -36,    0
 24923,140502,19560127,  -71,    0
 24923,140502,19560128,  -66,    0
 24923,140502,19560129,  -74,    0
 24923,140502,19560130, -128,    0
 24923,140502,19560131, -228,    0
 24923,140502,19560201, -217,    0
 24923,140502,19560202, -205,    0
 24923,140502,19560203, -182,    0
 24923,140502,19560204, -164,    0
 24923,140502,19560205,  -98,    0
 24923,140502,19560206,  -96,    0
 24923,140502,19560207, -132,    0
 24923,140502,19560208, -130,    0
 24923,140502,19560209, -239,    0
 24923,140502,19560210, -244,    0
 24923,140502,19560211, -178,    0
 24923,140502,19560212, -128,    0
 24923,140502,19560213, -142,    0
 24923,140502,19560214, -136,    0
 24923,140502,19560215, -110,    0
 24923,140502,19560216, -116,    0
 24923,140502,19560217, -155,    0
 24923,140502,19560218, -102,    0
 24923,140502,19560219,   56,    0
 24923,140502,19560220,  -30,    0
 24923,140502,19560221, -106,    0
 24923,140502,19560222, -112,    0
 24923,140502,19560223,  -70,    0
 24923,140502,19560224, -115,    0
 24923,140502,19560225, -135,    0
 24923,140502,19560226, -130,    0
 24923,140502,19560227, -136,    0
 24923,140502,19560228,  -31,    0
 24923,140502,19560229,  -20,    0
 24923,140502,19560301,    2,    0
 24923,140502,19560302,   20,    0
 24923,140502,19560303,   18,    0
 24923,140502,19560304,   12,    0
 24923,140502,19560305,    2,    0
 24923,140502,19560306,  -42,    0
 24923,140502,19560307,  -22,    0
 24923,140502,19560308,  -67,    0
 24923,140502,19560309, -114,    0
 24923,140502,19560310,  -93,    0
 24923,140502,19560311, -109,    0
 24923,140502,19560312,  -68,    0
 24923,140502,19560313,  -71,    0
 24923,140502,19560314,  -42,    0
 24923,140502,19560315,  -20,    0
 24923,140502,19560316,   -6,    0
 24923,140502,19560317,  -39,    0
 24923,140502,19560318,  -50,    0
 24923,140502,19560319,  -69,    0
 24923,140502,19560320,  -71,    0
 24923,140502,19560321,  -52,    0
 24923,140502,19560322,    2,    0
 24923,140502,19560323,    6,    0
 24923,140502,19560324,    8,    0
 24923,140502,19560325,   24,    0
 24923,140502,19560326,   -4,    0
 24923,140502,19560327,   -6,    0
 24923,140502,19560328,  -12,    0
 24923,140502,19560329,    4,    0
 24923,140502,19560330,   50,    0
 24923,140502,19560331,   78,    0
 24923,140502,19560401,   31,    0
 24923,140502,19560402,   42,    0
 24923,140502,19560403,   73,    0
 24923,140502,19560404,   62,    0
 24923,140502,19560405,    9,    0
 24923,140502,19560406,   -8,    0
 24923,140502,19560407,  -31,    0
 24923,140502,19560408,  -14,    0
 24923,140502,19560409,    9,    0
 24923,140502,19560410,   46,    0
 24923,140502,19560411,   42,    0
 24923,140502,19560412,   36,    0
 24923,140502,19560413,   98,    0
 24923,140502,19560414,  114,    0
 24923,140502,19560415,  139,    0
 24923,140502,19560416,  144,    0
 24923,140502,19560417,  188,    0
 24923,140502,19560418,  103,    0
 24923,140502,19560419,   56,    0
 24923,140502,19560420,   20,    0
 24923,140502,19560421,   29,    0
 24923,140502,19560422,   51,    0
 24923,140502,19560423,   64,    0
 24923,140502,19560424,   52,    0
 24923,140502,19560425,   45,    0
 24923,140502,19560426,   81,    0
 24923,140502,19560427,  104,    0
 24923,140502,19560428,  130,    0
 24923,140502,19560429,  117,    0
 24923,140502,19560430,  114,    0
 24923,140502,19560501,   60,    0
 24923,140502,19560502,   61,    0
 24923,140502,19560503,   84,    0
 24923,140502,19560504,   78,    0
 24923,140502,19560505,   62,    0
 24923,140502,19560506,   99,    0
 24923,140502,19560507,  146,    0
 24923,140502,19560508,  129,    0
 24923,140502,19560509,   88,    0
 24923,140502,19560510,  125,    0
 24923,140502,19560511,   92,    0
 24923,140502,19560512,   92,    0
 24923,140502,19560513,   88,    0
 24923,140502,19560514,   88,    0
 24923,140502,19560515,  114,    0
 24923,140502,19560516,   94,    0
 24923,140502,19560517,  137,    0
 24923,140502,19560518,  132,    0
 24923,140502,19560519,  110,    0
 24923,140502,19560520,   63,    0
 24923,140502,19560521,   76,    0
 24923,140502,19560522,  112,    0
 24923,140502,19560523,  112,    0
 24923,140502,19560524,  116,    0
 24923,140502,19560525,  133,    0
 24923,140502,19560526,  154,    0
 24923,140502,19560527,  146,    0
 24923,140502,19560528,  102,    0
 24923,140502,19560529,  107,    0
 24923,140502,19560530,  124,    0
 24923,140502,19560531,  144,    0
 24923,140502,19560601,  146,    0
 24923,140502,19560602,  154,    0
 24923,140502,19560603,  158,    0
 24923,140502,19560604,  164,    0
 24923,140502,19560605,  211,    0
 24923,140502,19560606,  208,    0
 24923,140502,19560607,  186,    0
 24923,140502,19560608,  164,    0
 24923,140502,19560609,  184,    0
 24923,140502,19560610,  120,    0
 24923,140502,19560611,  181,    0
 24923,140502,19560612,  214,    0
 24923,140502,19560613,  160,    0
 24923,140502,19560614,  181,    0
 24923,140502,19560615,  168,    0
 24923,140502,19560616,   86,    0
 24923,140502,19560617,  119,    0
 24923,140502,19560618,  155,    0
 24923,140502,19560619,  180,    0
 24923,140502,19560620,  154,    0
 24923,140502,19560621,  116,    0
 24923,140502,19560622,   98,    0
 24923,140502,19560623,  116,    0
 24923,140502,19560624,  115,    0
 24923,140502,19560625,  128,    0
 24923,140502,19560626,  122,    0
 24923,140502,19560627,  122,    0
 24923,140502,19560628,  112,    0
 24923,140502,19560629,  128,    0
 24923,140502,19560630,  130,    0
 24923,140502,19560701,  162,    0
 24923,140502,19560702,  172,    0
 24923,140502,19560703,  180,    0
 24923,140502,19560704,  145,    0
 24923,140502,19560705,  148,    0
 24923,140502,19560706,  177,    0
 24923,140502,19560707,  140,    0
 24923,140502,19560708,  128,    0
 24923,140502,19560709,  125,    0
 24923,140502,19560710,  162,    0
 24923,140502,19560711,  167,    0
 24923,140502,19560712,  152,    0
 24923,140502,19560713,  184,    0
 24923,140502,19560714,  210,    0
 24923,140502,19560715,  183,    0
 24923,140502,19560716,  170,    0
 24923,140502,19560717,  169,    0
 24923,140502,19560718,  133,    0
 24923,140502,19560719,  160,    0
 24923,140502,19560720,  140,    0
 24923,140502,19560721,  154,    0
 24923,140502,19560722,  162,    0
 24923,140502,19560723,  128,    0
 24923,140502,19560724,  128,    0
 24923,140502,19560725,  118,    0
 24923,140502,19560726,  144,    0
 24923,140502,19560727,  180,    0
 24923,140502,19560728,  174,    0
 24923,140502,19560729,  206,    0
 24923,140502,19560730,  211,    0
 24923,140502,19560731,  150,    0
 24923,140502,19560801,  137,    0
 24923,140502,19560802,  161,    0
 24923,140502,19560803,  146,    0
 24923,140502,19560804,  118,    0
 24923,140502,19560805,  151,    0
 24923,140502,19560806,  164,    0
 24923,140502,19560807,  230,    0
 24923,140502,19560808,  122,    0
 24923,140502,19560809,  142,    0
 24923,140502,19560810,  121,    0
 24923,140502,19560811,  170,    0
 24923,140502,19560812,  155,    0
 24923,140502,19560813,  104,    0
 24923,140502,19560814,  176,    0
 24923,140502,19560815,  142,    0
 24923,140502,19560816,  144,    0
 24923,140502,19560817,  168,    0
 24923,140502,19560818,  186,    0
 24923,140502,19560819,  192,    0
 24923,140502,19560820,  148,    0
 24923,140502,19560821,  187,    0
 24923,140502,19560822,  129,    0
 24923,140502,19560823,  126,    0
 24923,140502,19560824,  100,    0
 24923,140502,19560825,  172,    0
 24923,140502,19560826,  179,    0
 24923,140502,19560827,  209,    0
 24923,140502,19560828,  229,    0
 24923,140502,19560829,  202,    0
 24923,140502,19560830,  171,    0
 24923,140502,19560831,  105,    0
 24923,140502,19560901,  130,    0
 24923,140502,19560902,  175,    0
 24923,140502,19560903,  212,    0
 24923,140502,19560904,  184,    0
 24923,140502,19560905,  134,    0
 24923,140502,19560906,  139,    0
 24923,140502,19560907,  170,    0
 24923,140502,19560908,  145,    0
 24923,140502,19560909,  135,    0
 24923,140502,19560910,  130,    0
 24923,140502,19560911,  155,    0
 24923,140502,19560912,  110,    0
 24923,140502,19560913,   74,    0
 24923,140502,19560914,   82,    0
 24923,140502,19560915,  110,    0
 24923,140502,19560916,  123,    0
 24923,140502,19560917,   74,    0
 24923,140502,19560918,   51,    0
 24923,140502,19560919,   51,    0
 24923,140502,19560920,   88,    0
 24923,140502,19560921,  108,    0
 24923,140502,19560922,   93,    0
 24923,140502,19560923,   91,    0
 24923,140502,19560924,   68,    0
 24923,140502,19560925,  109,    0
 24923,140502,19560926,  141,    0
 24923,140502,19560927,  170,    0
 24923,140502,19560928,  132,    0
 24923,140502,19560929,  158,    0
 24923,140502,19560930,  143,    0
 24923,140502,19561001,  162,    0
