EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BOGATYNIA, POLAND (STAID: 24929)
Blended and updated with sources:137598 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24929,137598,19860101, -125,    0
 24929,137598,19860102,  -46,    0
 24929,137598,19860103,   16,    0
 24929,137598,19860104,  -16,    0
 24929,137598,19860105,  -39,    0
 24929,137598,19860106,  -22,    0
 24929,137598,19860107,  -25,    0
 24929,137598,19860108,  -42,    0
 24929,137598,19860109,  -85,    0
 24929,137598,19860110,  -99,    0
 24929,137598,19860111,  -18,    0
 24929,137598,19860112,    6,    0
 24929,137598,19860113,    3,    0
 24929,137598,19860114,   21,    0
 24929,137598,19860115,    5,    0
 24929,137598,19860116,  -21,    0
 24929,137598,19860117,  -36,    0
 24929,137598,19860118,  -67,    0
 24929,137598,19860119,   32,    0
 24929,137598,19860120,   34,    0
 24929,137598,19860121,   23,    0
 24929,137598,19860122,   25,    0
 24929,137598,19860123,   30,    0
 24929,137598,19860124,   29,    0
 24929,137598,19860125,   -3,    0
 24929,137598,19860126,  -26,    0
 24929,137598,19860127,  -41,    0
 24929,137598,19860128,  -43,    0
 24929,137598,19860129,  -11,    0
 24929,137598,19860130,   31,    0
 24929,137598,19860131,   28,    0
 24929,137598,19860201,   48,    0
 24929,137598,19860202,  -17,    0
 24929,137598,19860203,  -52,    0
 24929,137598,19860204,  -78,    0
 24929,137598,19860205,  -78,    0
 24929,137598,19860206,  -79,    0
 24929,137598,19860207, -112,    0
 24929,137598,19860208, -124,    0
 24929,137598,19860209, -153,    0
 24929,137598,19860210,  -56,    0
 24929,137598,19860211, -109,    0
 24929,137598,19860212, -123,    0
 24929,137598,19860213,  -97,    0
 24929,137598,19860214,  -83,    0
 24929,137598,19860215,  -61,    0
 24929,137598,19860216,  -44,    0
 24929,137598,19860217,  -77,    0
 24929,137598,19860218,  -76,    0
 24929,137598,19860219,  -58,    0
 24929,137598,19860220,  -89,    0
 24929,137598,19860221,  -85,    0
 24929,137598,19860222, -106,    0
 24929,137598,19860223, -105,    0
 24929,137598,19860224, -137,    0
 24929,137598,19860225, -127,    0
 24929,137598,19860226, -135,    0
 24929,137598,19860227, -125,    0
 24929,137598,19860228,  -88,    0
 24929,137598,19860301,  -73,    0
 24929,137598,19860302,  -57,    0
 24929,137598,19860303,  -79,    0
 24929,137598,19860304,  -38,    0
 24929,137598,19860305,    6,    0
 24929,137598,19860306,   48,    0
 24929,137598,19860307,   33,    0
 24929,137598,19860308,   17,    0
 24929,137598,19860309,   15,    0
 24929,137598,19860310,    4,    0
 24929,137598,19860311,    3,    0
 24929,137598,19860312,   33,    0
 24929,137598,19860313,   70,    0
 24929,137598,19860314,   67,    0
 24929,137598,19860315,   42,    0
 24929,137598,19860316,   50,    0
 24929,137598,19860317,   38,    0
 24929,137598,19860318,   69,    0
 24929,137598,19860319,   59,    0
 24929,137598,19860320,   37,    0
 24929,137598,19860321,   35,    0
 24929,137598,19860322,   29,    0
 24929,137598,19860323,   22,    0
 24929,137598,19860324,   28,    0
 24929,137598,19860325,   39,    0
 24929,137598,19860326,   42,    0
 24929,137598,19860327,   68,    0
 24929,137598,19860328,  122,    0
 24929,137598,19860329,   74,    0
 24929,137598,19860330,   55,    0
 24929,137598,19860331,   60,    0
 24929,137598,19860401,   36,    0
 24929,137598,19860402,   39,    0
 24929,137598,19860403,   38,    0
 24929,137598,19860404,   25,    0
 24929,137598,19860405,   26,    0
 24929,137598,19860406,   13,    0
 24929,137598,19860407,   51,    0
 24929,137598,19860408,   68,    0
 24929,137598,19860409,   77,    0
 24929,137598,19860410,   12,    0
 24929,137598,19860411,  -56,    0
 24929,137598,19860412,  -55,    0
 24929,137598,19860413,  -50,    0
 24929,137598,19860414,  -16,    0
 24929,137598,19860415,   76,    0
 24929,137598,19860416,  106,    0
 24929,137598,19860417,   93,    0
 24929,137598,19860418,   77,    0
 24929,137598,19860419,   43,    0
 24929,137598,19860420,   44,    0
 24929,137598,19860421,   79,    0
 24929,137598,19860422,  133,    0
 24929,137598,19860423,  107,    0
 24929,137598,19860424,  130,    0
 24929,137598,19860425,  122,    0
 24929,137598,19860426,  136,    0
 24929,137598,19860427,  110,    0
 24929,137598,19860428,  114,    0
 24929,137598,19860429,   96,    0
 24929,137598,19860430,  121,    0
