EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RYBNIK, POLAND (STAID: 24955)
Blended and updated with sources:137910 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24955,137910,19810101,   32,    0
 24955,137910,19810102,   15,    0
 24955,137910,19810103,   34,    0
 24955,137910,19810104,   38,    0
 24955,137910,19810105,   -6,    0
 24955,137910,19810106,  -44,    0
 24955,137910,19810107,  -61,    0
 24955,137910,19810108,  -96,    0
 24955,137910,19810109, -118,    0
 24955,137910,19810110,  -57,    0
 24955,137910,19810111,  -28,    0
 24955,137910,19810112,  -26,    0
 24955,137910,19810113,  -51,    0
 24955,137910,19810114,  -29,    0
 24955,137910,19810115,  -22,    0
 24955,137910,19810116,  -20,    0
 24955,137910,19810117,  -21,    0
 24955,137910,19810118,    0,    0
 24955,137910,19810119,   -7,    0
 24955,137910,19810120,    4,    0
 24955,137910,19810121,  -34,    0
 24955,137910,19810122,  -30,    0
 24955,137910,19810123,  -57,    0
 24955,137910,19810124,  -25,    0
 24955,137910,19810125,  -23,    0
 24955,137910,19810126,  -19,    0
 24955,137910,19810127,  -43,    0
 24955,137910,19810128,  -52,    0
 24955,137910,19810129,  -88,    0
 24955,137910,19810130,  -65,    0
 24955,137910,19810131,    3,    0
 24955,137910,19810201,   12,    0
 24955,137910,19810202,   20,    0
 24955,137910,19810203,   35,    0
 24955,137910,19810204,   28,    0
 24955,137910,19810205,   14,    0
 24955,137910,19810206,    2,    0
 24955,137910,19810207,   27,    0
 24955,137910,19810208,   58,    0
 24955,137910,19810209,   58,    0
 24955,137910,19810210,   32,    0
 24955,137910,19810211,   23,    0
 24955,137910,19810212,  -18,    0
 24955,137910,19810213,  -18,    0
 24955,137910,19810214,  -45,    0
 24955,137910,19810215,  -35,    0
 24955,137910,19810216,   -8,    0
 24955,137910,19810217,  -18,    0
 24955,137910,19810218,  -53,    0
 24955,137910,19810219,  -46,    0
 24955,137910,19810220,  -38,    0
 24955,137910,19810221,  -24,    0
 24955,137910,19810222,  -20,    0
 24955,137910,19810223,   14,    0
 24955,137910,19810224,    2,    0
 24955,137910,19810225,  -15,    0
 24955,137910,19810226,  -22,    0
 24955,137910,19810227,  -41,    0
 24955,137910,19810228,  -36,    0
 24955,137910,19810301,    1,    0
 24955,137910,19810302,   20,    0
 24955,137910,19810303,   21,    0
 24955,137910,19810304,   10,    0
 24955,137910,19810305,    1,    0
 24955,137910,19810306,   20,    0
 24955,137910,19810307,   76,    0
 24955,137910,19810308,   82,    0
 24955,137910,19810309,  116,    0
 24955,137910,19810310,   79,    0
 24955,137910,19810311,   84,    0
 24955,137910,19810312,   75,    0
 24955,137910,19810313,   44,    0
 24955,137910,19810314,   72,    0
 24955,137910,19810315,   71,    0
 24955,137910,19810316,   46,    0
 24955,137910,19810317,   32,    0
 24955,137910,19810318,   27,    0
 24955,137910,19810319,   34,    0
 24955,137910,19810320,   66,    0
 24955,137910,19810321,   94,    0
 24955,137910,19810322,   88,    0
 24955,137910,19810323,  101,    0
 24955,137910,19810324,   88,    0
 24955,137910,19810325,  118,    0
 24955,137910,19810326,  154,    0
 24955,137910,19810327,   82,    0
 24955,137910,19810328,   52,    0
 24955,137910,19810329,   65,    0
 24955,137910,19810330,  111,    0
 24955,137910,19810331,  137,    0
 24955,137910,19810401,  125,    0
 24955,137910,19810402,   80,    0
 24955,137910,19810403,   46,    0
 24955,137910,19810404,   73,    0
 24955,137910,19810405,   74,    0
 24955,137910,19810406,   81,    0
 24955,137910,19810407,   81,    0
 24955,137910,19810408,   90,    0
 24955,137910,19810409,   85,    0
 24955,137910,19810410,   72,    0
 24955,137910,19810411,   86,    0
 24955,137910,19810412,  116,    0
 24955,137910,19810413,  139,    0
 24955,137910,19810414,   91,    0
 24955,137910,19810415,   94,    0
 24955,137910,19810416,   38,    0
 24955,137910,19810417,    6,    0
 24955,137910,19810418,   13,    0
 24955,137910,19810419,   24,    0
 24955,137910,19810420,   25,    0
 24955,137910,19810421,   49,    0
 24955,137910,19810422,   46,    0
 24955,137910,19810423,   29,    0
 24955,137910,19810424,   37,    0
 24955,137910,19810425,   61,    0
 24955,137910,19810426,   98,    0
 24955,137910,19810427,  101,    0
 24955,137910,19810428,   54,    0
 24955,137910,19810429,   42,    0
 24955,137910,19810430,   69,    0
 24955,137910,19810501,   74,    0
 24955,137910,19810502,   64,    0
 24955,137910,19810503,   60,    0
 24955,137910,19810504,   86,    0
 24955,137910,19810505,   76,    0
