EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LUBLINIEC, POLAND (STAID: 24958)
Blended and updated with sources:137874 137922 137946 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24958,137946,19610101,  -19,    0
 24958,137946,19610102,    1,    0
 24958,137946,19610103,   10,    0
 24958,137946,19610104,   60,    0
 24958,137946,19610105,   24,    0
 24958,137946,19610106,   12,    0
 24958,137946,19610107,   19,    0
 24958,137946,19610108,   18,    0
 24958,137946,19610109,   20,    0
 24958,137946,19610110,    4,    0
 24958,137946,19610111,    8,    0
 24958,137946,19610112,  -21,    0
 24958,137946,19610113,  -11,    0
 24958,137946,19610114,    3,    0
 24958,137946,19610115,  -14,    0
 24958,137946,19610116,  -40,    0
 24958,137946,19610117,  -90,    0
 24958,137946,19610118, -144,    0
 24958,137946,19610119,  -79,    0
 24958,137946,19610120,  -81,    0
 24958,137946,19610121,  -82,    0
 24958,137946,19610122,  -52,    0
 24958,137946,19610123,  -54,    0
 24958,137946,19610124,  -99,    0
 24958,137946,19610125, -115,    0
 24958,137946,19610126, -157,    0
 24958,137946,19610127, -120,    0
 24958,137946,19610128,  -49,    0
 24958,137946,19610129,  -39,    0
 24958,137946,19610130,   14,    0
 24958,137946,19610131,   25,    0
 24958,137946,19610201,   15,    0
 24958,137946,19610202,   11,    0
 24958,137946,19610203,   -1,    0
 24958,137946,19610204,  -13,    0
 24958,137946,19610205,  -19,    0
 24958,137946,19610206,  -10,    0
 24958,137946,19610207,   10,    0
 24958,137946,19610208,   16,    0
 24958,137946,19610209,   18,    0
 24958,137946,19610210,   14,    0
 24958,137946,19610211,   31,    0
 24958,137946,19610212,   29,    0
 24958,137946,19610213,   26,    0
 24958,137946,19610214,   12,    0
 24958,137946,19610215,   38,    0
 24958,137946,19610216,   35,    0
 24958,137946,19610217,   20,    0
 24958,137946,19610218,   39,    0
 24958,137946,19610219,   31,    0
 24958,137946,19610220,   36,    0
 24958,137946,19610221,   48,    0
 24958,137946,19610222,   25,    0
 24958,137946,19610223,   11,    0
 24958,137946,19610224,   11,    0
 24958,137946,19610225,   -1,    0
 24958,137946,19610226,    4,    0
 24958,137946,19610227,   51,    0
 24958,137946,19610228,   44,    0
 24958,137946,19610301,   33,    0
 24958,137946,19610302,   21,    0
 24958,137946,19610303,   41,    0
 24958,137946,19610304,   32,    0
 24958,137946,19610305,   49,    0
 24958,137946,19610306,   30,    0
 24958,137946,19610307,   58,    0
 24958,137946,19610308,   39,    0
 24958,137946,19610309,   72,    0
 24958,137946,19610310,   83,    0
 24958,137946,19610311,   89,    0
 24958,137946,19610312,  110,    0
 24958,137946,19610313,   53,    0
 24958,137946,19610314,   61,    0
 24958,137946,19610315,   90,    0
 24958,137946,19610316,   87,    0
 24958,137946,19610317,   84,    0
 24958,137946,19610318,  115,    0
 24958,137946,19610319,   54,    0
 24958,137946,19610320,   10,    0
 24958,137946,19610321,   17,    0
 24958,137946,19610322,    0,    0
 24958,137946,19610323,   40,    0
 24958,137946,19610324,   73,    0
 24958,137946,19610325,   73,    0
 24958,137946,19610326,   83,    0
 24958,137946,19610327,   37,    0
 24958,137946,19610328,    8,    0
 24958,137946,19610329,   40,    0
 24958,137946,19610330,   59,    0
 24958,137946,19610331,   44,    0
 24958,137946,19610401,   61,    0
 24958,137946,19610402,   59,    0
 24958,137946,19610403,   71,    0
 24958,137946,19610404,   84,    0
 24958,137946,19610405,  134,    0
 24958,137946,19610406,  159,    0
 24958,137946,19610407,  161,    0
 24958,137946,19610408,  120,    0
 24958,137946,19610409,   39,    0
 24958,137946,19610410,   63,    0
 24958,137946,19610411,   85,    0
 24958,137946,19610412,   95,    0
 24958,137946,19610413,  118,    0
 24958,137946,19610414,  179,    0
 24958,137946,19610415,  175,    0
 24958,137946,19610416,  135,    0
 24958,137946,19610417,  118,    0
 24958,137946,19610418,  128,    0
 24958,137946,19610419,  114,    0
 24958,137946,19610420,   93,    0
 24958,137946,19610421,  101,    0
 24958,137946,19610422,  153,    0
 24958,137946,19610423,  146,    0
 24958,137946,19610424,  110,    0
 24958,137946,19610425,   96,    0
 24958,137946,19610426,  126,    0
 24958,137946,19610427,  127,    0
 24958,137946,19610428,  114,    0
 24958,137946,19610429,  123,    0
 24958,137946,19610430,  133,    0
 24958,137946,19610501,  107,    0
 24958,137946,19610502,  117,    0
 24958,137946,19610503,  143,    0
 24958,137946,19610504,  127,    0
 24958,137946,19610505,  170,    0
 24958,137946,19610506,  163,    0
 24958,137946,19610507,  130,    0
 24958,137946,19610508,   78,    0
 24958,137946,19610509,   88,    0
 24958,137946,19610510,   77,    0
 24958,137946,19610511,   77,    0
 24958,137946,19610512,   61,    0
 24958,137946,19610513,   91,    0
 24958,137946,19610514,   87,    0
 24958,137946,19610515,   75,    0
 24958,137946,19610516,   93,    0
 24958,137946,19610517,   93,    0
 24958,137946,19610518,   99,    0
 24958,137946,19610519,  131,    0
 24958,137946,19610520,  127,    0
 24958,137946,19610521,  114,    0
 24958,137946,19610522,  127,    0
 24958,137946,19610523,  118,    0
 24958,137946,19610524,  124,    0
 24958,137946,19610525,  148,    0
 24958,137946,19610526,  177,    0
 24958,137946,19610527,  171,    0
 24958,137946,19610528,  110,    0
 24958,137946,19610529,  130,    0
 24958,137946,19610530,   98,    0
 24958,137946,19610531,  148,    0
 24958,137946,19610601,  192,    0
 24958,137946,19610602,  199,    0
 24958,137946,19610603,  183,    0
 24958,137946,19610604,  197,    0
 24958,137946,19610605,  196,    0
 24958,137946,19610606,  185,    0
 24958,137946,19610607,  178,    0
 24958,137946,19610608,  175,    0
 24958,137946,19610609,  178,    0
 24958,137946,19610610,  177,    0
 24958,137946,19610611,  152,    0
 24958,137946,19610612,  159,    0
 24958,137946,19610613,  165,    0
 24958,137946,19610614,  134,    0
 24958,137946,19610615,  129,    0
 24958,137946,19610616,  120,    0
 24958,137946,19610617,  151,    0
 24958,137946,19610618,  200,    0
 24958,137946,19610619,  150,    0
 24958,137946,19610620,  138,    0
 24958,137946,19610621,  178,    0
 24958,137946,19610622,  196,    0
 24958,137946,19610623,  178,    0
 24958,137946,19610624,  183,    0
 24958,137946,19610625,  212,    0
 24958,137946,19610626,  226,    0
 24958,137946,19610627,  228,    0
 24958,137946,19610628,  124,    0
 24958,137946,19610629,  151,    0
 24958,137946,19610630,  176,    0
 24958,137946,19610701,  202,    0
 24958,137946,19610702,  240,    0
 24958,137946,19610703,  233,    0
 24958,137946,19610704,  186,    0
 24958,137946,19610705,  139,    0
 24958,137946,19610706,  118,    0
 24958,137946,19610707,  133,    0
 24958,137946,19610708,  155,    0
 24958,137946,19610709,  136,    0
 24958,137946,19610710,  131,    0
 24958,137946,19610711,  165,    0
 24958,137946,19610712,  213,    0
 24958,137946,19610713,  202,    0
 24958,137946,19610714,  151,    0
 24958,137946,19610715,  187,    0
 24958,137946,19610716,  161,    0
 24958,137946,19610717,  141,    0
 24958,137946,19610718,  146,    0
 24958,137946,19610719,  151,    0
 24958,137946,19610720,  147,    0
 24958,137946,19610721,  150,    0
 24958,137946,19610722,  138,    0
 24958,137946,19610723,  154,    0
 24958,137946,19610724,  146,    0
 24958,137946,19610725,  135,    0
 24958,137946,19610726,  166,    0
 24958,137946,19610727,  193,    0
 24958,137946,19610728,  178,    0
 24958,137946,19610729,  138,    0
 24958,137946,19610730,  131,    0
 24958,137946,19610731,  120,    0
 24958,137946,19610801,  140,    0
 24958,137946,19610802,  183,    0
 24958,137946,19610803,  148,    0
 24958,137946,19610804,  159,    0
 24958,137946,19610805,  178,    0
 24958,137946,19610806,  240,    0
 24958,137946,19610807,  212,    0
 24958,137946,19610808,  205,    0
 24958,137946,19610809,  215,    0
 24958,137946,19610810,  252,    0
 24958,137946,19610811,  190,    0
 24958,137946,19610812,  165,    0
 24958,137946,19610813,  125,    0
 24958,137946,19610814,  140,    0
 24958,137946,19610815,  155,    0
 24958,137946,19610816,  131,    0
 24958,137946,19610817,  128,    0
 24958,137946,19610818,  124,    0
 24958,137946,19610819,  146,    0
 24958,137946,19610820,  137,    0
 24958,137946,19610821,  153,    0
 24958,137946,19610822,  169,    0
 24958,137946,19610823,  128,    0
 24958,137946,19610824,  117,    0
 24958,137946,19610825,  130,    0
 24958,137946,19610826,  167,    0
 24958,137946,19610827,  190,    0
 24958,137946,19610828,  160,    0
 24958,137946,19610829,  155,    0
 24958,137946,19610830,  164,    0
 24958,137946,19610831,  165,    0
 24958,137946,19610901,  194,    0
 24958,137946,19610902,  207,    0
 24958,137946,19610903,  203,    0
 24958,137946,19610904,  195,    0
 24958,137946,19610905,  208,    0
 24958,137946,19610906,  163,    0
 24958,137946,19610907,  153,    0
 24958,137946,19610908,  127,    0
 24958,137946,19610909,  133,    0
 24958,137946,19610910,  120,    0
 24958,137946,19610911,  128,    0
 24958,137946,19610912,  134,    0
 24958,137946,19610913,  144,    0
 24958,137946,19610914,  182,    0
 24958,137946,19610915,  118,    0
 24958,137946,19610916,  166,    0
 24958,137946,19610917,  200,    0
 24958,137946,19610918,  194,    0
 24958,137946,19610919,  139,    0
 24958,137946,19610920,  125,    0
 24958,137946,19610921,  116,    0
 24958,137946,19610922,  105,    0
 24958,137946,19610923,  114,    0
 24958,137946,19610924,  133,    0
 24958,137946,19610925,  152,    0
 24958,137946,19610926,  144,    0
 24958,137946,19610927,  126,    0
 24958,137946,19610928,  131,    0
 24958,137946,19610929,  153,    0
 24958,137946,19610930,  144,    0
 24958,137946,19611001,  110,    0
 24958,137946,19611002,  119,    0
 24958,137946,19611003,  124,    0
 24958,137946,19611004,  133,    0
 24958,137946,19611005,  143,    0
 24958,137946,19611006,  144,    0
 24958,137946,19611007,  129,    0
 24958,137946,19611008,  148,    0
 24958,137946,19611009,   98,    0
 24958,137946,19611010,  102,    0
 24958,137946,19611011,  120,    0
 24958,137946,19611012,  115,    0
 24958,137946,19611013,   83,    0
