EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BIERUN STARY, POLAND (STAID: 24963)
Blended and updated with sources:138006 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24963,138006,19610101,  -17,    0
 24963,138006,19610102,  -18,    0
 24963,138006,19610103,    7,    0
 24963,138006,19610104,   54,    0
 24963,138006,19610105,   31,    0
 24963,138006,19610106,   13,    0
 24963,138006,19610107,    9,    0
 24963,138006,19610108,   35,    0
 24963,138006,19610109,   12,    0
 24963,138006,19610110,   -1,    0
 24963,138006,19610111,    4,    0
 24963,138006,19610112,  -16,    0
 24963,138006,19610113,  -10,    0
 24963,138006,19610114,    6,    0
 24963,138006,19610115,   -6,    0
 24963,138006,19610116,  -33,    0
 24963,138006,19610117,  -85,    0
 24963,138006,19610118, -138,    0
 24963,138006,19610119,  -84,    0
 24963,138006,19610120,  -78,    0
 24963,138006,19610121,  -97,    0
 24963,138006,19610122,  -66,    0
 24963,138006,19610123,  -39,    0
 24963,138006,19610124,  -87,    0
 24963,138006,19610125,  -95,    0
 24963,138006,19610126, -137,    0
 24963,138006,19610127, -127,    0
 24963,138006,19610128,  -66,    0
 24963,138006,19610129,  -25,    0
 24963,138006,19610130,   35,    0
 24963,138006,19610131,   45,    0
 24963,138006,19610201,   18,    0
 24963,138006,19610202,   15,    0
 24963,138006,19610203,    3,    0
 24963,138006,19610204,   -5,    0
 24963,138006,19610205,   -7,    0
 24963,138006,19610206,   -8,    0
 24963,138006,19610207,   20,    0
 24963,138006,19610208,   16,    0
 24963,138006,19610209,   20,    0
 24963,138006,19610210,   17,    0
 24963,138006,19610211,   34,    0
 24963,138006,19610212,   28,    0
 24963,138006,19610213,   28,    0
 24963,138006,19610214,   18,    0
 24963,138006,19610215,   32,    0
 24963,138006,19610216,   44,    0
 24963,138006,19610217,   27,    0
 24963,138006,19610218,   25,    0
 24963,138006,19610219,   30,    0
 24963,138006,19610220,   29,    0
 24963,138006,19610221,   26,    0
 24963,138006,19610222,    9,    0
 24963,138006,19610223,    9,    0
 24963,138006,19610224,   14,    0
 24963,138006,19610225,   -1,    0
 24963,138006,19610226,    5,    0
 24963,138006,19610227,   39,    0
 24963,138006,19610228,   44,    0
 24963,138006,19610301,   33,    0
 24963,138006,19610302,   34,    0
 24963,138006,19610303,   47,    0
 24963,138006,19610304,   48,    0
 24963,138006,19610305,   68,    0
 24963,138006,19610306,   46,    0
 24963,138006,19610307,   58,    0
 24963,138006,19610308,   60,    0
 24963,138006,19610309,   75,    0
 24963,138006,19610310,   89,    0
 24963,138006,19610311,  104,    0
 24963,138006,19610312,  117,    0
 24963,138006,19610313,   67,    0
