EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SIELEC, POLAND (STAID: 24971)
Blended and updated with sources:138102 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24971,138102,19560101,   -7,    0
 24971,138102,19560102,   18,    0
 24971,138102,19560103,  -27,    0
 24971,138102,19560104,   -6,    0
 24971,138102,19560105,    7,    0
 24971,138102,19560106,  -15,    0
 24971,138102,19560107,  -30,    0
 24971,138102,19560108,  -33,    0
 24971,138102,19560109,  -60,    0
 24971,138102,19560110,  -10,    0
 24971,138102,19560111,   24,    0
 24971,138102,19560112,   10,    0
 24971,138102,19560113,   29,    0
 24971,138102,19560114,    2,    0
 24971,138102,19560115,   21,    0
 24971,138102,19560116,   28,    0
 24971,138102,19560117,   30,    0
 24971,138102,19560118,   44,    0
 24971,138102,19560119,   16,    0
 24971,138102,19560120,   18,    0
 24971,138102,19560121,   29,    0
 24971,138102,19560122,   51,    0
 24971,138102,19560123,   14,    0
 24971,138102,19560124,   33,    0
 24971,138102,19560125,   -6,    0
 24971,138102,19560126,  -17,    0
 24971,138102,19560127,  -40,    0
 24971,138102,19560128,  -45,    0
 24971,138102,19560129,  -64,    0
 24971,138102,19560130, -146,    0
 24971,138102,19560131, -220,    0
 24971,138102,19560201, -192,    0
 24971,138102,19560202, -184,    0
 24971,138102,19560203, -154,    0
 24971,138102,19560204, -155,    0
