EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WIELICZKA, POLAND (STAID: 24974)
Blended and updated with sources:138138 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24974,138138,19610101,  -16,    0
 24974,138138,19610102,  -38,    0
 24974,138138,19610103,   37,    0
 24974,138138,19610104,   56,    0
 24974,138138,19610105,   27,    0
 24974,138138,19610106,   14,    0
 24974,138138,19610107,   16,    0
 24974,138138,19610108,   40,    0
 24974,138138,19610109,   27,    0
 24974,138138,19610110,   15,    0
 24974,138138,19610111,   21,    0
 24974,138138,19610112,  -15,    0
 24974,138138,19610113,  -19,    0
 24974,138138,19610114,   10,    0
 24974,138138,19610115,   -7,    0
 24974,138138,19610116,  -35,    0
 24974,138138,19610117,  -73,    0
 24974,138138,19610118, -139,    0
 24974,138138,19610119,  -91,    0
 24974,138138,19610120,  -75,    0
 24974,138138,19610121, -107,    0
 24974,138138,19610122,  -85,    0
 24974,138138,19610123,  -49,    0
 24974,138138,19610124, -129,    0
 24974,138138,19610125, -104,    0
 24974,138138,19610126, -164,    0
 24974,138138,19610127, -170,    0
 24974,138138,19610128, -116,    0
 24974,138138,19610129,  -30,    0
 24974,138138,19610130,   59,    0
 24974,138138,19610131,   54,    0
 24974,138138,19610201,   29,    0
 24974,138138,19610202,   23,    0
 24974,138138,19610203,   12,    0
 24974,138138,19610204,    2,    0
 24974,138138,19610205,  -21,    0
 24974,138138,19610206,    2,    0
 24974,138138,19610207,   20,    0
 24974,138138,19610208,   16,    0
 24974,138138,19610209,   26,    0
 24974,138138,19610210,   21,    0
 24974,138138,19610211,   46,    0
 24974,138138,19610212,   33,    0
 24974,138138,19610213,   26,    0
 24974,138138,19610214,   15,    0
 24974,138138,19610215,   40,    0
 24974,138138,19610216,   39,    0
 24974,138138,19610217,   42,    0
 24974,138138,19610218,   49,    0
 24974,138138,19610219,   28,    0
 24974,138138,19610220,   29,    0
 24974,138138,19610221,   48,    0
 24974,138138,19610222,   28,    0
 24974,138138,19610223,   23,    0
 24974,138138,19610224,   13,    0
 24974,138138,19610225,   -8,    0
 24974,138138,19610226,   -6,    0
 24974,138138,19610227,   38,    0
 24974,138138,19610228,   69,    0
 24974,138138,19610301,   34,    0
 24974,138138,19610302,   41,    0
 24974,138138,19610303,   45,    0
 24974,138138,19610304,   52,    0
 24974,138138,19610305,   59,    0
 24974,138138,19610306,   51,    0
 24974,138138,19610307,   75,    0
 24974,138138,19610308,   68,    0
 24974,138138,19610309,   94,    0
 24974,138138,19610310,  120,    0
 24974,138138,19610311,  112,    0
 24974,138138,19610312,  113,    0
 24974,138138,19610313,   71,    0
 24974,138138,19610314,   62,    0
 24974,138138,19610315,   93,    0
 24974,138138,19610316,  102,    0
 24974,138138,19610317,   93,    0
 24974,138138,19610318,  137,    0
 24974,138138,19610319,   41,    0
 24974,138138,19610320,   22,    0
 24974,138138,19610321,   33,    0
 24974,138138,19610322,    1,    0
 24974,138138,19610323,   37,    0
 24974,138138,19610324,   75,    0
 24974,138138,19610325,   75,    0
 24974,138138,19610326,   89,    0
 24974,138138,19610327,   50,    0
 24974,138138,19610328,    7,    0
 24974,138138,19610329,   31,    0
 24974,138138,19610330,   81,    0
 24974,138138,19610331,   60,    0
 24974,138138,19610401,   84,    0
 24974,138138,19610402,   63,    0
 24974,138138,19610403,  104,    0
 24974,138138,19610404,  102,    0
 24974,138138,19610405,  146,    0
 24974,138138,19610406,  177,    0
 24974,138138,19610407,  193,    0
 24974,138138,19610408,  146,    0
 24974,138138,19610409,   48,    0
 24974,138138,19610410,   52,    0
 24974,138138,19610411,   98,    0
 24974,138138,19610412,   76,    0
 24974,138138,19610413,  131,    0
 24974,138138,19610414,  172,    0
 24974,138138,19610415,  190,    0
 24974,138138,19610416,  153,    0
 24974,138138,19610417,  125,    0
 24974,138138,19610418,  135,    0
 24974,138138,19610419,  130,    0
 24974,138138,19610420,   85,    0
 24974,138138,19610421,   79,    0
 24974,138138,19610422,  109,    0
 24974,138138,19610423,  114,    0
 24974,138138,19610424,   91,    0
 24974,138138,19610425,   90,    0
 24974,138138,19610426,  114,    0
 24974,138138,19610427,  105,    0
 24974,138138,19610428,  128,    0
 24974,138138,19610429,  134,    0
 24974,138138,19610430,  119,    0
 24974,138138,19610501,  100,    0
 24974,138138,19610502,  126,    0
 24974,138138,19610503,  129,    0
 24974,138138,19610504,  112,    0
 24974,138138,19610505,  154,    0
 24974,138138,19610506,  182,    0
 24974,138138,19610507,  157,    0
 24974,138138,19610508,   93,    0
 24974,138138,19610509,   90,    0
 24974,138138,19610510,   86,    0
 24974,138138,19610511,   84,    0
 24974,138138,19610512,   60,    0
 24974,138138,19610513,   99,    0
 24974,138138,19610514,   98,    0
 24974,138138,19610515,   92,    0
 24974,138138,19610516,   99,    0
 24974,138138,19610517,   95,    0
 24974,138138,19610518,  104,    0
 24974,138138,19610519,  120,    0
 24974,138138,19610520,  130,    0
 24974,138138,19610521,  118,    0
 24974,138138,19610522,  127,    0
 24974,138138,19610523,  115,    0
 24974,138138,19610524,  134,    0
 24974,138138,19610525,  153,    0
 24974,138138,19610526,  161,    0
 24974,138138,19610527,  160,    0
 24974,138138,19610528,  148,    0
 24974,138138,19610529,  161,    0
 24974,138138,19610530,  128,    0
 24974,138138,19610531,  146,    0
 24974,138138,19610601,  205,    0
 24974,138138,19610602,  203,    0
 24974,138138,19610603,  193,    0
 24974,138138,19610604,  178,    0
 24974,138138,19610605,  170,    0
 24974,138138,19610606,  178,    0
 24974,138138,19610607,  183,    0
 24974,138138,19610608,  186,    0
 24974,138138,19610609,  183,    0
 24974,138138,19610610,  177,    0
 24974,138138,19610611,  173,    0
 24974,138138,19610612,  159,    0
 24974,138138,19610613,  174,    0
 24974,138138,19610614,  143,    0
 24974,138138,19610615,  138,    0
 24974,138138,19610616,  143,    0
 24974,138138,19610617,  168,    0
 24974,138138,19610618,  208,    0
 24974,138138,19610619,  211,    0
 24974,138138,19610620,  156,    0
 24974,138138,19610621,  178,    0
 24974,138138,19610622,  195,    0
 24974,138138,19610623,  186,    0
 24974,138138,19610624,  193,    0
 24974,138138,19610625,  228,    0
 24974,138138,19610626,  222,    0
 24974,138138,19610627,  230,    0
 24974,138138,19610628,  147,    0
 24974,138138,19610629,  160,    0
 24974,138138,19610630,  181,    0
 24974,138138,19610701,  198,    0
 24974,138138,19610702,  210,    0
 24974,138138,19610703,  245,    0
 24974,138138,19610704,  231,    0
 24974,138138,19610705,  149,    0
 24974,138138,19610706,  137,    0
 24974,138138,19610707,  133,    0
 24974,138138,19610708,  153,    0
 24974,138138,19610709,  150,    0
