EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WYSOKIE, POLAND (STAID: 24983)
Blended and updated with sources:138246 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24983,138246,19720101,  -15,    0
 24983,138246,19720102,  -11,    0
 24983,138246,19720103,  -27,    0
 24983,138246,19720104,  -24,    0
 24983,138246,19720105,  -36,    0
 24983,138246,19720106,  -16,    0
 24983,138246,19720107,  -18,    0
 24983,138246,19720108,  -16,    0
 24983,138246,19720109,  -13,    0
 24983,138246,19720110,  -43,    0
 24983,138246,19720111,  -64,    0
 24983,138246,19720112, -134,    0
 24983,138246,19720113, -213,    0
 24983,138246,19720114, -197,    0
 24983,138246,19720115, -229,    0
 24983,138246,19720116, -194,    0
 24983,138246,19720117, -198,    0
 24983,138246,19720118, -127,    0
 24983,138246,19720119,  -79,    0
 24983,138246,19720120,  -52,    0
 24983,138246,19720121,  -52,    0
 24983,138246,19720122, -123,    0
 24983,138246,19720123, -110,    0
 24983,138246,19720124, -122,    0
 24983,138246,19720125, -147,    0
 24983,138246,19720126, -164,    0
 24983,138246,19720127, -124,    0
 24983,138246,19720128,  -96,    0
 24983,138246,19720129,  -81,    0
 24983,138246,19720130,   -5,    0
 24983,138246,19720131,   -4,    0
 24983,138246,19720201,  -77,    0
 24983,138246,19720202, -112,    0
 24983,138246,19720203, -106,    0
 24983,138246,19720204, -101,    0
 24983,138246,19720205, -108,    0
 24983,138246,19720206,  -61,    0
 24983,138246,19720207,  -22,    0
 24983,138246,19720208,   12,    0
 24983,138246,19720209,   14,    0
 24983,138246,19720210,  -16,    0
 24983,138246,19720211,   20,    0
 24983,138246,19720212,   27,    0
 24983,138246,19720213,    4,    0
 24983,138246,19720214,    2,    0
 24983,138246,19720215,    3,    0
 24983,138246,19720216,    1,    0
 24983,138246,19720217,    4,    0
 24983,138246,19720218,    6,    0
 24983,138246,19720219,  -10,    0
 24983,138246,19720220,   -2,    0
 24983,138246,19720221,    8,    0
 24983,138246,19720222,    6,    0
 24983,138246,19720223,    6,    0
 24983,138246,19720224,    3,    0
 24983,138246,19720225,    7,    0
 24983,138246,19720226,    9,    0
 24983,138246,19720227,    6,    0
 24983,138246,19720228,   12,    0
 24983,138246,19720229,   12,    0
 24983,138246,19720301,    2,    0
 24983,138246,19720302,   -8,    0
 24983,138246,19720303,   -2,    0
 24983,138246,19720304,   -5,    0
 24983,138246,19720305,    1,    0
 24983,138246,19720306,  -11,    0
 24983,138246,19720307,   12,    0
 24983,138246,19720308,   46,    0
 24983,138246,19720309,   59,    0
 24983,138246,19720310,  -10,    0
 24983,138246,19720311,  -73,    0
 24983,138246,19720312,  -60,    0
 24983,138246,19720313,  -36,    0
 24983,138246,19720314,   51,    0
 24983,138246,19720315,   58,    0
 24983,138246,19720316,   57,    0
 24983,138246,19720317,   68,    0
 24983,138246,19720318,   31,    0
 24983,138246,19720319,   50,    0
 24983,138246,19720320,   83,    0
 24983,138246,19720321,   82,    0
 24983,138246,19720322,   54,    0
 24983,138246,19720323,   58,    0
 24983,138246,19720324,   15,    0
 24983,138246,19720325,    7,    0
 24983,138246,19720326,   74,    0
 24983,138246,19720327,  100,    0
 24983,138246,19720328,   63,    0
 24983,138246,19720329,   40,    0
 24983,138246,19720330,   48,    0
 24983,138246,19720331,   94,    0
 24983,138246,19720401,   50,    0
 24983,138246,19720402,   22,    0
 24983,138246,19720403,   65,    0
 24983,138246,19720404,   54,    0
 24983,138246,19720405,   99,    0
 24983,138246,19720406,   95,    0
 24983,138246,19720407,   94,    0
 24983,138246,19720408,  138,    0
 24983,138246,19720409,  104,    0
 24983,138246,19720410,   81,    0
 24983,138246,19720411,  111,    0
 24983,138246,19720412,  157,    0
 24983,138246,19720413,  162,    0
 24983,138246,19720414,   81,    0
 24983,138246,19720415,  103,    0
 24983,138246,19720416,  121,    0
 24983,138246,19720417,  102,    0
 24983,138246,19720418,   45,    0
 24983,138246,19720419,   67,    0
 24983,138246,19720420,   78,    0
 24983,138246,19720421,  112,    0
 24983,138246,19720422,  128,    0
 24983,138246,19720423,   84,    0
 24983,138246,19720424,   43,    0
 24983,138246,19720425,   10,    0
 24983,138246,19720426,   44,    0
 24983,138246,19720427,   38,    0
 24983,138246,19720428,   40,    0
 24983,138246,19720429,   66,    0
 24983,138246,19720430,  132,    0
 24983,138246,19720501,  112,    0
 24983,138246,19720502,  126,    0
 24983,138246,19720503,   90,    0
 24983,138246,19720504,   98,    0
 24983,138246,19720505,  129,    0
 24983,138246,19720506,  152,    0
 24983,138246,19720507,  156,    0
 24983,138246,19720508,  135,    0
 24983,138246,19720509,  104,    0
 24983,138246,19720510,  130,    0
 24983,138246,19720511,  136,    0
 24983,138246,19720512,  114,    0
 24983,138246,19720513,  122,    0
 24983,138246,19720514,  122,    0
 24983,138246,19720515,  146,    0
 24983,138246,19720516,  161,    0
 24983,138246,19720517,  172,    0
 24983,138246,19720518,  156,    0
 24983,138246,19720519,  183,    0
 24983,138246,19720520,  165,    0
 24983,138246,19720521,  158,    0
 24983,138246,19720522,  138,    0
 24983,138246,19720523,  148,    0
 24983,138246,19720524,  164,    0
 24983,138246,19720525,  153,    0
 24983,138246,19720526,  150,    0
 24983,138246,19720527,  137,    0
 24983,138246,19720528,  104,    0
 24983,138246,19720529,   99,    0
 24983,138246,19720530,  141,    0
 24983,138246,19720531,  135,    0
 24983,138246,19720601,  131,    0
 24983,138246,19720602,  125,    0
 24983,138246,19720603,  138,    0
 24983,138246,19720604,  152,    0
 24983,138246,19720605,  172,    0
 24983,138246,19720606,  193,    0
 24983,138246,19720607,  201,    0
 24983,138246,19720608,  218,    0
 24983,138246,19720609,  157,    0
 24983,138246,19720610,  167,    0
 24983,138246,19720611,  209,    0
 24983,138246,19720612,  223,    0
 24983,138246,19720613,  228,    0
 24983,138246,19720614,  220,    0
 24983,138246,19720615,  216,    0
 24983,138246,19720616,  171,    0
 24983,138246,19720617,  140,    0
 24983,138246,19720618,  158,    0
 24983,138246,19720619,  170,    0
 24983,138246,19720620,  174,    0
 24983,138246,19720621,  132,    0
 24983,138246,19720622,  184,    0
 24983,138246,19720623,  214,    0
 24983,138246,19720624,  112,    0
 24983,138246,19720625,   84,    0
 24983,138246,19720626,  118,    0
 24983,138246,19720627,  127,    0
 24983,138246,19720628,  176,    0
 24983,138246,19720629,  180,    0
 24983,138246,19720630,  187,    0
 24983,138246,19720701,  167,    0
 24983,138246,19720702,  125,    0
 24983,138246,19720703,  154,    0
 24983,138246,19720704,  147,    0
 24983,138246,19720705,  162,    0
 24983,138246,19720706,  168,    0
 24983,138246,19720707,  192,    0
 24983,138246,19720708,  184,    0
 24983,138246,19720709,  195,    0
 24983,138246,19720710,  198,    0
 24983,138246,19720711,  182,    0
 24983,138246,19720712,  148,    0
 24983,138246,19720713,  175,    0
 24983,138246,19720714,  204,    0
 24983,138246,19720715,  246,    0
 24983,138246,19720716,  245,    0
 24983,138246,19720717,  234,    0
 24983,138246,19720718,  235,    0
 24983,138246,19720719,  226,    0
 24983,138246,19720720,  206,    0
 24983,138246,19720721,  226,    0
 24983,138246,19720722,  237,    0
 24983,138246,19720723,  216,    0
 24983,138246,19720724,  233,    0
 24983,138246,19720725,  240,    0
 24983,138246,19720726,  243,    0
 24983,138246,19720727,  207,    0
 24983,138246,19720728,  220,    0
 24983,138246,19720729,  231,    0
 24983,138246,19720730,  236,    0
 24983,138246,19720731,  190,    0
 24983,138246,19720801,  200,    0
 24983,138246,19720802,  168,    0
 24983,138246,19720803,  164,    0
 24983,138246,19720804,  148,    0
 24983,138246,19720805,  156,    0
 24983,138246,19720806,  154,    0
 24983,138246,19720807,  162,    0
 24983,138246,19720808,  192,    0
 24983,138246,19720809,  211,    0
 24983,138246,19720810,  229,    0
 24983,138246,19720811,  230,    0
 24983,138246,19720812,  180,    0
 24983,138246,19720813,  183,    0
 24983,138246,19720814,  186,    0
 24983,138246,19720815,  160,    0
 24983,138246,19720816,  206,    0
 24983,138246,19720817,  220,    0
 24983,138246,19720818,  182,    0
 24983,138246,19720819,  138,    0
 24983,138246,19720820,  148,    0
 24983,138246,19720821,  160,    0
 24983,138246,19720822,  134,    0
 24983,138246,19720823,  134,    0
 24983,138246,19720824,  123,    0
 24983,138246,19720825,  114,    0
 24983,138246,19720826,  112,    0
 24983,138246,19720827,  115,    0
 24983,138246,19720828,  120,    0
 24983,138246,19720829,  117,    0
 24983,138246,19720830,  128,    0
 24983,138246,19720831,  103,    0
 24983,138246,19720901,  120,    0
 24983,138246,19720902,  125,    0
 24983,138246,19720903,  134,    0
 24983,138246,19720904,  143,    0
 24983,138246,19720905,  146,    0
 24983,138246,19720906,  171,    0
 24983,138246,19720907,  174,    0
 24983,138246,19720908,  181,    0
 24983,138246,19720909,  170,    0
 24983,138246,19720910,  170,    0
 24983,138246,19720911,  136,    0
 24983,138246,19720912,   85,    0
 24983,138246,19720913,   77,    0
 24983,138246,19720914,   77,    0
 24983,138246,19720915,   79,    0
 24983,138246,19720916,   78,    0
 24983,138246,19720917,   90,    0
 24983,138246,19720918,   88,    0
 24983,138246,19720919,  101,    0
 24983,138246,19720920,   92,    0
 24983,138246,19720921,  115,    0
 24983,138246,19720922,  110,    0
 24983,138246,19720923,   82,    0
 24983,138246,19720924,   60,    0
 24983,138246,19720925,   70,    0
 24983,138246,19720926,   80,    0
 24983,138246,19720927,   84,    0
 24983,138246,19720928,   56,    0
 24983,138246,19720929,   64,    0
 24983,138246,19720930,   58,    0
 24983,138246,19721001,   54,    0
 24983,138246,19721002,   33,    0
 24983,138246,19721003,   29,    0
 24983,138246,19721004,   30,    0
 24983,138246,19721005,   44,    0
 24983,138246,19721006,   72,    0
 24983,138246,19721007,   71,    0
 24983,138246,19721008,   68,    0
 24983,138246,19721009,   75,    0
 24983,138246,19721010,   92,    0
 24983,138246,19721011,   93,    0
 24983,138246,19721012,   98,    0
 24983,138246,19721013,   62,    0
 24983,138246,19721014,   54,    0
 24983,138246,19721015,   72,    0
 24983,138246,19721016,   76,    0
 24983,138246,19721017,   33,    0
 24983,138246,19721018,   41,    0
 24983,138246,19721019,    9,    0
 24983,138246,19721020,   10,    0
 24983,138246,19721021,   21,    0
 24983,138246,19721022,   10,    0
 24983,138246,19721023,    0,    0
 24983,138246,19721024,   39,    0
 24983,138246,19721025,   48,    0
 24983,138246,19721026,   46,    0
 24983,138246,19721027,   75,    0
 24983,138246,19721028,   86,    0
 24983,138246,19721029,   90,    0
 24983,138246,19721030,   43,    0
 24983,138246,19721031,   56,    0
 24983,138246,19721101,   54,    0
 24983,138246,19721102,   66,    0
 24983,138246,19721103,   48,    0
 24983,138246,19721104,   75,    0
 24983,138246,19721105,   71,    0
 24983,138246,19721106,   65,    0
 24983,138246,19721107,   65,    0
 24983,138246,19721108,   90,    0
 24983,138246,19721109,   58,    0
 24983,138246,19721110,   84,    0
 24983,138246,19721111,   82,    0
 24983,138246,19721112,   25,    0
 24983,138246,19721113,   28,    0
 24983,138246,19721114,   44,    0
 24983,138246,19721115,   14,    0
 24983,138246,19721116,    1,    0
 24983,138246,19721117,    5,    0
