EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NIELISZ, POLAND (STAID: 24988)
Blended and updated with sources:138306 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24988,138306,20051201,  -13,    0
 24988,138306,20051202,  -13,    0
 24988,138306,20051203,  -11,    0
 24988,138306,20051204,    3,    0
 24988,138306,20051205,   13,    0
 24988,138306,20051206,   27,    0
 24988,138306,20051207,   30,    0
 24988,138306,20051208,   12,    0
 24988,138306,20051209,  -15,    0
 24988,138306,20051210,  -39,    0
 24988,138306,20051211,  -21,    0
 24988,138306,20051212,   14,    0
 24988,138306,20051213,   21,    0
 24988,138306,20051214,    9,    0
 24988,138306,20051215,   20,    0
 24988,138306,20051216,   14,    0
 24988,138306,20051217,   -8,    0
 24988,138306,20051218,  -25,    0
 24988,138306,20051219,  -46,    0
 24988,138306,20051220,  -60,    0
 24988,138306,20051221,  -53,    0
 24988,138306,20051222,  -44,    0
 24988,138306,20051223,   -5,    0
 24988,138306,20051224,    7,    0
 24988,138306,20051225,    9,    0
 24988,138306,20051226,  -20,    0
 24988,138306,20051227,  -35,    0
 24988,138306,20051228,  -19,    0
 24988,138306,20051229,    3,    0
 24988,138306,20051230,   -1,    0
 24988,138306,20051231,  -18,    0
 24988,138306,20060101,    2,    0
 24988,138306,20060102,   -1,    0
 24988,138306,20060103,    7,    0
 24988,138306,20060104,   -2,    0
 24988,138306,20060105,  -30,    0
 24988,138306,20060106,  -34,    0
 24988,138306,20060107,  -63,    0
 24988,138306,20060108,  -76,    0
 24988,138306,20060109,  -59,    0
 24988,138306,20060110,  -67,    0
 24988,138306,20060111,  -51,    0
 24988,138306,20060112,  -59,    0
 24988,138306,20060113,  -33,    0
 24988,138306,20060114,  -40,    0
 24988,138306,20060115,  -57,    0
 24988,138306,20060116,  -74,    0
 24988,138306,20060117,  -88,    0
 24988,138306,20060118,  -68,    0
 24988,138306,20060119, -109,    0
 24988,138306,20060120, -208,    0
 24988,138306,20060121, -150,    0
 24988,138306,20060122, -227,    0
 24988,138306,20060123, -262,    0
 24988,138306,20060124, -240,    0
 24988,138306,20060125, -171,    0
 24988,138306,20060126, -165,    0
 24988,138306,20060127, -171,    0
 24988,138306,20060128, -130,    0
 24988,138306,20060129,  -76,    0
 24988,138306,20060130,  -48,    0
 24988,138306,20060131,  -17,    0
 24988,138306,20060201,  -26,    0
 24988,138306,20060202,  -32,    0
 24988,138306,20060203,  -31,    0
 24988,138306,20060204,  -47,    0
 24988,138306,20060205, -146,    0
 24988,138306,20060206, -144,    0
 24988,138306,20060207, -120,    0
 24988,138306,20060208,  -35,    0
 24988,138306,20060209,  -23,    0
 24988,138306,20060210,  -41,    0
 24988,138306,20060211,  -70,    0
 24988,138306,20060212,  -92,    0
 24988,138306,20060213, -131,    0
 24988,138306,20060214, -105,    0
