EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TOMASZOW LUBELSKI, POLAND (STAID: 24990)
Blended and updated with sources:138330 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24990,138330,19510101,  -46,    0
 24990,138330,19510102,  -30,    0
 24990,138330,19510103,   -9,    0
 24990,138330,19510104,  -11,    0
 24990,138330,19510105,   -4,    0
 24990,138330,19510106,   22,    0
 24990,138330,19510107,   27,    0
 24990,138330,19510108,    7,    0
 24990,138330,19510109,   20,    0
 24990,138330,19510110,   20,    0
 24990,138330,19510111,   25,    0
 24990,138330,19510112,   54,    0
 24990,138330,19510113,   45,    0
 24990,138330,19510114,   18,    0
 24990,138330,19510115,    6,    0
 24990,138330,19510116,    4,    0
 24990,138330,19510117,  -30,    0
 24990,138330,19510118,  -18,    0
 24990,138330,19510119,    4,    0
 24990,138330,19510120,   -1,    0
 24990,138330,19510121,  -11,    0
 24990,138330,19510122,  -80,    0
 24990,138330,19510123, -115,    0
 24990,138330,19510124, -151,    0
 24990,138330,19510125, -163,    0
 24990,138330,19510126,  -63,    0
 24990,138330,19510127,  -94,    0
 24990,138330,19510128,  -75,    0
 24990,138330,19510129,  -90,    0
 24990,138330,19510130, -102,    0
 24990,138330,19510131,  -84,    0
 24990,138330,19510201, -103,    0
 24990,138330,19510202,  -98,    0
 24990,138330,19510203,  -94,    0
 24990,138330,19510204, -104,    0
 24990,138330,19510205,  -60,    0
 24990,138330,19510206,   -4,    0
 24990,138330,19510207,   20,    0
 24990,138330,19510208,   13,    0
 24990,138330,19510209,  -16,    0
 24990,138330,19510210,  -61,    0
 24990,138330,19510211,  -26,    0
 24990,138330,19510212,   44,    0
 24990,138330,19510213,   43,    0
 24990,138330,19510214,    4,    0
 24990,138330,19510215,   -3,    0
 24990,138330,19510216,  -14,    0
 24990,138330,19510217,  -28,    0
 24990,138330,19510218,   -3,    0
 24990,138330,19510219,    0,    0
 24990,138330,19510220,    4,    0
 24990,138330,19510221,   31,    0
 24990,138330,19510222,   10,    0
 24990,138330,19510223,    6,    0
 24990,138330,19510224,   16,    0
 24990,138330,19510225,   11,    0
 24990,138330,19510226,   40,    0
 24990,138330,19510227,    6,    0
 24990,138330,19510228,   -3,    0
 24990,138330,19510301,   -9,    0
 24990,138330,19510302,  -60,    0
 24990,138330,19510303,  -74,    0
 24990,138330,19510304,  -56,    0
 24990,138330,19510305,  -29,    0
 24990,138330,19510306,   -7,    0
 24990,138330,19510307,  -10,    0
 24990,138330,19510308,   -9,    0
 24990,138330,19510309,  -39,    0
 24990,138330,19510310,  -53,    0
