EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LUBACZOW, POLAND (STAID: 24993)
Blended and updated with sources:138354 138366 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24993,138366,19610101,  -40,    0
 24993,138366,19610102,   -7,    0
 24993,138366,19610103,   24,    0
 24993,138366,19610104,   15,    0
 24993,138366,19610105,   19,    0
 24993,138366,19610106,   -7,    0
 24993,138366,19610107,    4,    0
 24993,138366,19610108,  -15,    0
 24993,138366,19610109,   -4,    0
 24993,138366,19610110,  -26,    0
 24993,138366,19610111,  -35,    0
 24993,138366,19610112,   -8,    0
 24993,138366,19610113,  -35,    0
 24993,138366,19610114,   -7,    0
 24993,138366,19610115,   -9,    0
 24993,138366,19610116,  -32,    0
 24993,138366,19610117, -120,    0
 24993,138366,19610118, -162,    0
 24993,138366,19610119,  -92,    0
 24993,138366,19610120, -125,    0
 24993,138366,19610121, -173,    0
 24993,138366,19610122, -120,    0
 24993,138366,19610123,  -82,    0
 24993,138366,19610124, -167,    0
 24993,138366,19610125, -118,    0
 24993,138366,19610126, -200,    0
 24993,138366,19610127, -192,    0
 24993,138366,19610128,  -95,    0
 24993,138366,19610129,  -16,    0
 24993,138366,19610130,    2,    0
 24993,138366,19610131,   23,    0
 24993,138366,19610201,   27,    0
 24993,138366,19610202,    6,    0
 24993,138366,19610203,    2,    0
 24993,138366,19610204,   -3,    0
 24993,138366,19610205,   -7,    0
 24993,138366,19610206,  -35,    0
 24993,138366,19610207,  -15,    0
 24993,138366,19610208,   -3,    0
 24993,138366,19610209,    9,    0
 24993,138366,19610210,    4,    0
 24993,138366,19610211,    1,    0
 24993,138366,19610212,    8,    0
 24993,138366,19610213,    9,    0
 24993,138366,19610214,   -7,    0
 24993,138366,19610215,   -6,    0
 24993,138366,19610216,   21,    0
 24993,138366,19610217,   19,    0
 24993,138366,19610218,   25,    0
 24993,138366,19610219,   34,    0
 24993,138366,19610220,   21,    0
 24993,138366,19610221,   29,    0
 24993,138366,19610222,   24,    0
 24993,138366,19610223,    9,    0
 24993,138366,19610224,   -9,    0
 24993,138366,19610225,  -11,    0
 24993,138366,19610226,   -6,    0
 24993,138366,19610227,    4,    0
 24993,138366,19610228,   32,    0
 24993,138366,19610301,   32,    0
 24993,138366,19610302,   17,    0
 24993,138366,19610303,   -2,    0
 24993,138366,19610304,   23,    0
 24993,138366,19610305,   35,    0
 24993,138366,19610306,   32,    0
 24993,138366,19610307,   67,    0
 24993,138366,19610308,   53,    0
 24993,138366,19610309,   87,    0
 24993,138366,19610310,   76,    0
 24993,138366,19610311,   96,    0
 24993,138366,19610312,  100,    0
 24993,138366,19610313,   51,    0
 24993,138366,19610314,   45,    0
 24993,138366,19610315,   82,    0
 24993,138366,19610316,   73,    0
 24993,138366,19610317,   66,    0
 24993,138366,19610318,  104,    0
 24993,138366,19610319,   46,    0
 24993,138366,19610320,  -17,    0
 24993,138366,19610321,   30,    0
 24993,138366,19610322,    6,    0
 24993,138366,19610323,   10,    0
 24993,138366,19610324,   62,    0
 24993,138366,19610325,   60,    0
 24993,138366,19610326,   74,    0
 24993,138366,19610327,   53,    0
 24993,138366,19610328,    5,    0
