EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SZPROTAWA, POLAND (STAID: 25000)
Blended and updated with sources:138450 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25000,138450,19610101,   16,    0
 25000,138450,19610102,   -7,    0
 25000,138450,19610103,   28,    0
 25000,138450,19610104,   14,    0
 25000,138450,19610105,   20,    0
 25000,138450,19610106,   28,    0
 25000,138450,19610107,   25,    0
 25000,138450,19610108,   27,    0
 25000,138450,19610109,   41,    0
 25000,138450,19610110,   19,    0
 25000,138450,19610111,   11,    0
 25000,138450,19610112,  -13,    0
 25000,138450,19610113,   -6,    0
 25000,138450,19610114,    4,    0
 25000,138450,19610115,  -17,    0
 25000,138450,19610116,  -30,    0
 25000,138450,19610117,  -76,    0
 25000,138450,19610118, -116,    0
 25000,138450,19610119, -103,    0
 25000,138450,19610120,  -82,    0
 25000,138450,19610121,  -95,    0
 25000,138450,19610122,  -43,    0
 25000,138450,19610123,  -63,    0
 25000,138450,19610124, -121,    0
 25000,138450,19610125, -110,    0
 25000,138450,19610126, -163,    0
 25000,138450,19610127, -152,    0
 25000,138450,19610128, -111,    0
 25000,138450,19610129,   33,    0
 25000,138450,19610130,   58,    0
 25000,138450,19610131,   50,    0
 25000,138450,19610201,   27,    0
 25000,138450,19610202,   19,    0
 25000,138450,19610203,    6,    0
 25000,138450,19610204,    3,    0
 25000,138450,19610205,  -19,    0
 25000,138450,19610206,   15,    0
 25000,138450,19610207,   44,    0
 25000,138450,19610208,   19,    0
 25000,138450,19610209,   52,    0
 25000,138450,19610210,   26,    0
 25000,138450,19610211,   56,    0
 25000,138450,19610212,   46,    0
 25000,138450,19610213,   49,    0
 25000,138450,19610214,   43,    0
 25000,138450,19610215,   54,    0
 25000,138450,19610216,   68,    0
 25000,138450,19610217,   50,    0
 25000,138450,19610218,   35,    0
 25000,138450,19610219,   49,    0
 25000,138450,19610220,   51,    0
 25000,138450,19610221,   34,    0
 25000,138450,19610222,   18,    0
 25000,138450,19610223,   15,    0
 25000,138450,19610224,    9,    0
 25000,138450,19610225,   13,    0
 25000,138450,19610226,   27,    0
 25000,138450,19610227,   79,    0
 25000,138450,19610228,   80,    0
 25000,138450,19610301,   35,    0
 25000,138450,19610302,   37,    0
 25000,138450,19610303,   56,    0
 25000,138450,19610304,   39,    0
 25000,138450,19610305,   49,    0
 25000,138450,19610306,   40,    0
 25000,138450,19610307,   74,    0
 25000,138450,19610308,   46,    0
 25000,138450,19610309,   53,    0
 25000,138450,19610310,   84,    0
 25000,138450,19610311,   95,    0
 25000,138450,19610312,  129,    0
 25000,138450,19610313,   79,    0
 25000,138450,19610314,   92,    0
 25000,138450,19610315,  111,    0
 25000,138450,19610316,  106,    0
 25000,138450,19610317,   85,    0
 25000,138450,19610318,   88,    0
 25000,138450,19610319,   10,    0
 25000,138450,19610320,    6,    0
 25000,138450,19610321,   21,    0
 25000,138450,19610322,   10,    0
 25000,138450,19610323,   66,    0
 25000,138450,19610324,   86,    0
 25000,138450,19610325,   80,    0
 25000,138450,19610326,  105,    0
 25000,138450,19610327,   27,    0
 25000,138450,19610328,   13,    0
 25000,138450,19610329,   51,    0
 25000,138450,19610330,   95,    0
 25000,138450,19610331,   47,    0
 25000,138450,19610401,   59,    0
 25000,138450,19610402,   39,    0
 25000,138450,19610403,   58,    0
 25000,138450,19610404,   59,    0
 25000,138450,19610405,  144,    0
 25000,138450,19610406,  168,    0
 25000,138450,19610407,  173,    0
 25000,138450,19610408,   80,    0
 25000,138450,19610409,   43,    0
 25000,138450,19610410,   62,    0
 25000,138450,19610411,   85,    0
 25000,138450,19610412,  119,    0
 25000,138450,19610413,  134,    0
 25000,138450,19610414,  172,    0
 25000,138450,19610415,  148,    0
 25000,138450,19610416,  113,    0
 25000,138450,19610417,  123,    0
 25000,138450,19610418,  133,    0
 25000,138450,19610419,  102,    0
 25000,138450,19610420,   85,    0
 25000,138450,19610421,  106,    0
 25000,138450,19610422,  148,    0
 25000,138450,19610423,  150,    0
 25000,138450,19610424,  138,    0
 25000,138450,19610425,   94,    0
 25000,138450,19610426,  123,    0
 25000,138450,19610427,  135,    0
 25000,138450,19610428,  120,    0
 25000,138450,19610429,  124,    0
 25000,138450,19610430,  133,    0
 25000,138450,19610501,  129,    0
 25000,138450,19610502,  125,    0
 25000,138450,19610503,  129,    0
 25000,138450,19610504,  130,    0
 25000,138450,19610505,  158,    0
 25000,138450,19610506,  130,    0
 25000,138450,19610507,  127,    0
 25000,138450,19610508,   93,    0
 25000,138450,19610509,   85,    0
 25000,138450,19610510,   78,    0
 25000,138450,19610511,   87,    0
 25000,138450,19610512,   68,    0
 25000,138450,19610513,   85,    0
 25000,138450,19610514,   87,    0
 25000,138450,19610515,   85,    0
 25000,138450,19610516,   90,    0
