EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLKOWICE DOLNE, POLAND (STAID: 25001)
Blended and updated with sources:138462 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25001,138462,19860101,  -87,    0
 25001,138462,19860102,  -51,    0
 25001,138462,19860103,   16,    0
 25001,138462,19860104,   -1,    0
 25001,138462,19860105,  -17,    0
 25001,138462,19860106,   -2,    0
 25001,138462,19860107,  -15,    0
 25001,138462,19860108,  -30,    0
 25001,138462,19860109,  -84,    0
 25001,138462,19860110, -103,    0
 25001,138462,19860111,  -16,    0
 25001,138462,19860112,   13,    0
 25001,138462,19860113,   17,    0
 25001,138462,19860114,   28,    0
 25001,138462,19860115,   11,    0
 25001,138462,19860116,  -11,    0
 25001,138462,19860117,  -34,    0
 25001,138462,19860118,  -51,    0
 25001,138462,19860119,   43,    0
 25001,138462,19860120,   46,    0
 25001,138462,19860121,   37,    0
 25001,138462,19860122,   35,    0
 25001,138462,19860123,   48,    0
 25001,138462,19860124,   38,    0
 25001,138462,19860125,    1,    0
 25001,138462,19860126,  -12,    0
 25001,138462,19860127,  -27,    0
 25001,138462,19860128,  -33,    0
 25001,138462,19860129,  -10,    0
 25001,138462,19860130,    1,    0
 25001,138462,19860131,   -4,    0
 25001,138462,19860201,    5,    0
 25001,138462,19860202,  -30,    0
 25001,138462,19860203,  -51,    0
 25001,138462,19860204,  -83,    0
 25001,138462,19860205,  -87,    0
 25001,138462,19860206,  -88,    0
 25001,138462,19860207, -132,    0
 25001,138462,19860208, -179,    0
 25001,138462,19860209, -163,    0
 25001,138462,19860210,  -54,    0
 25001,138462,19860211, -112,    0
 25001,138462,19860212, -108,    0
 25001,138462,19860213,  -91,    0
 25001,138462,19860214,  -59,    0
 25001,138462,19860215,  -58,    0
 25001,138462,19860216,  -45,    0
 25001,138462,19860217,  -78,    0
 25001,138462,19860218,  -63,    0
 25001,138462,19860219,  -70,    0
 25001,138462,19860220,  -93,    0
 25001,138462,19860221,  -85,    0
 25001,138462,19860222,  -97,    0
 25001,138462,19860223,  -97,    0
 25001,138462,19860224, -119,    0
 25001,138462,19860225,  -96,    0
 25001,138462,19860226, -131,    0
 25001,138462,19860227, -128,    0
 25001,138462,19860228, -100,    0
 25001,138462,19860301,  -65,    0
 25001,138462,19860302,  -47,    0
 25001,138462,19860303,  -87,    0
 25001,138462,19860304,  -47,    0
 25001,138462,19860305,   24,    0
 25001,138462,19860306,   34,    0
 25001,138462,19860307,   31,    0
 25001,138462,19860308,    7,    0
 25001,138462,19860309,   12,    0
 25001,138462,19860310,   11,    0
 25001,138462,19860311,    7,    0
 25001,138462,19860312,   42,    0
 25001,138462,19860313,   42,    0
 25001,138462,19860314,   50,    0
 25001,138462,19860315,   23,    0
 25001,138462,19860316,   21,    0
 25001,138462,19860317,   29,    0
 25001,138462,19860318,   34,    0
 25001,138462,19860319,   38,    0
 25001,138462,19860320,   32,    0
 25001,138462,19860321,   39,    0
 25001,138462,19860322,   29,    0
 25001,138462,19860323,   26,    0
 25001,138462,19860324,   33,    0
 25001,138462,19860325,   73,    0
 25001,138462,19860326,   39,    0
 25001,138462,19860327,   67,    0
 25001,138462,19860328,  125,    0
 25001,138462,19860329,   85,    0
 25001,138462,19860330,   52,    0
 25001,138462,19860331,   61,    0
 25001,138462,19860401,   51,    0
 25001,138462,19860402,   56,    0
 25001,138462,19860403,   59,    0
 25001,138462,19860404,   40,    0
 25001,138462,19860405,   43,    0
 25001,138462,19860406,   49,    0
 25001,138462,19860407,   76,    0
 25001,138462,19860408,  100,    0
 25001,138462,19860409,   86,    0
 25001,138462,19860410,   24,    0
 25001,138462,19860411,  -28,    0
 25001,138462,19860412,  -37,    0
 25001,138462,19860413,  -33,    0
 25001,138462,19860414,   -7,    0
 25001,138462,19860415,   57,    0
 25001,138462,19860416,   98,    0
 25001,138462,19860417,   98,    0
 25001,138462,19860418,   73,    0
 25001,138462,19860419,   61,    0
 25001,138462,19860420,   58,    0
 25001,138462,19860421,   74,    0
 25001,138462,19860422,  125,    0
 25001,138462,19860423,  115,    0
 25001,138462,19860424,  146,    0
 25001,138462,19860425,  136,    0
 25001,138462,19860426,  131,    0
 25001,138462,19860427,  104,    0
 25001,138462,19860428,  110,    0
 25001,138462,19860429,  127,    0
 25001,138462,19860430,  159,    0
 25001,138462,19860501,  124,    0
 25001,138462,19860502,  140,    0
 25001,138462,19860503,  164,    0
 25001,138462,19860504,  176,    0
 25001,138462,19860505,  163,    0
 25001,138462,19860506,  171,    0
 25001,138462,19860507,  186,    0
 25001,138462,19860508,  134,    0
 25001,138462,19860509,  104,    0
 25001,138462,19860510,  111,    0
 25001,138462,19860511,  141,    0
 25001,138462,19860512,  127,    0
 25001,138462,19860513,  172,    0
 25001,138462,19860514,  172,    0
 25001,138462,19860515,  155,    0
 25001,138462,19860516,  133,    0
 25001,138462,19860517,  147,    0
 25001,138462,19860518,  181,    0
 25001,138462,19860519,  175,    0
 25001,138462,19860520,  151,    0
 25001,138462,19860521,  184,    0
 25001,138462,19860522,  171,    0
 25001,138462,19860523,  173,    0
 25001,138462,19860524,  174,    0
 25001,138462,19860525,  128,    0
 25001,138462,19860526,  181,    0
 25001,138462,19860527,  204,    0
 25001,138462,19860528,  148,    0
 25001,138462,19860529,  130,    0
 25001,138462,19860530,   88,    0
 25001,138462,19860531,   80,    0
 25001,138462,19860601,   98,    0
 25001,138462,19860602,   93,    0
 25001,138462,19860603,  109,    0
 25001,138462,19860604,  110,    0
 25001,138462,19860605,   71,    0
 25001,138462,19860606,   92,    0
 25001,138462,19860607,  106,    0
 25001,138462,19860608,  122,    0
 25001,138462,19860609,  146,    0
 25001,138462,19860610,  167,    0
 25001,138462,19860611,  186,    0
 25001,138462,19860612,  113,    0
 25001,138462,19860613,  137,    0
 25001,138462,19860614,  168,    0
 25001,138462,19860615,  191,    0
 25001,138462,19860616,  209,    0
 25001,138462,19860617,  225,    0
 25001,138462,19860618,  227,    0
 25001,138462,19860619,  217,    0
 25001,138462,19860620,  225,    0
 25001,138462,19860621,  168,    0
 25001,138462,19860622,  149,    0
 25001,138462,19860623,  150,    0
 25001,138462,19860624,  152,    0
 25001,138462,19860625,  156,    0
 25001,138462,19860626,  198,    0
 25001,138462,19860627,  202,    0
 25001,138462,19860628,  203,    0
 25001,138462,19860629,  180,    0
 25001,138462,19860630,  180,    0
 25001,138462,19860701,  193,    0
 25001,138462,19860702,  219,    0
 25001,138462,19860703,  212,    0
 25001,138462,19860704,  217,    0
 25001,138462,19860705,  221,    0
 25001,138462,19860706,  210,    0
 25001,138462,19860707,  150,    0
 25001,138462,19860708,  142,    0
 25001,138462,19860709,  133,    0
 25001,138462,19860710,  118,    0
 25001,138462,19860711,  131,    0
 25001,138462,19860712,  124,    0
 25001,138462,19860713,  134,    0
 25001,138462,19860714,  134,    0
 25001,138462,19860715,  164,    0
 25001,138462,19860716,  198,    0
 25001,138462,19860717,  217,    0
 25001,138462,19860718,  168,    0
 25001,138462,19860719,  136,    0
 25001,138462,19860720,  128,    0
 25001,138462,19860721,  148,    0
 25001,138462,19860722,  184,    0
 25001,138462,19860723,  198,    0
 25001,138462,19860724,  153,    0
 25001,138462,19860725,  142,    0
 25001,138462,19860726,  134,    0
 25001,138462,19860727,  168,    0
 25001,138462,19860728,  191,    0
 25001,138462,19860729,  222,    0
 25001,138462,19860730,  207,    0
 25001,138462,19860731,  199,    0
 25001,138462,19860801,  190,    0
 25001,138462,19860802,  188,    0
 25001,138462,19860803,  226,    0
 25001,138462,19860804,  246,    0
 25001,138462,19860805,  188,    0
 25001,138462,19860806,  163,    0
 25001,138462,19860807,  201,    0
 25001,138462,19860808,  199,    0
 25001,138462,19860809,  191,    0
 25001,138462,19860810,  213,    0
 25001,138462,19860811,  171,    0
 25001,138462,19860812,  164,    0
 25001,138462,19860813,  179,    0
 25001,138462,19860814,  172,    0
 25001,138462,19860815,  197,    0
 25001,138462,19860816,  200,    0
 25001,138462,19860817,  189,    0
 25001,138462,19860818,  152,    0
 25001,138462,19860819,  156,    0
 25001,138462,19860820,  144,    0
 25001,138462,19860821,  120,    0
 25001,138462,19860822,  120,    0
 25001,138462,19860823,  148,    0
 25001,138462,19860824,  140,    0
 25001,138462,19860825,  131,    0
 25001,138462,19860826,  136,    0
 25001,138462,19860827,  149,    0
 25001,138462,19860828,  134,    0
 25001,138462,19860829,  120,    0
 25001,138462,19860830,  103,    0
 25001,138462,19860831,  123,    0
 25001,138462,19860901,  110,    0
 25001,138462,19860902,  118,    0
 25001,138462,19860903,  143,    0
 25001,138462,19860904,  114,    0
 25001,138462,19860905,  119,    0
 25001,138462,19860906,  133,    0
 25001,138462,19860907,  122,    0
 25001,138462,19860908,  112,    0
 25001,138462,19860909,  100,    0
 25001,138462,19860910,   87,    0
 25001,138462,19860911,  103,    0
 25001,138462,19860912,  114,    0
 25001,138462,19860913,  110,    0
 25001,138462,19860914,  139,    0
 25001,138462,19860915,  156,    0
 25001,138462,19860916,  122,    0
 25001,138462,19860917,   97,    0
 25001,138462,19860918,   89,    0
 25001,138462,19860919,   69,    0
 25001,138462,19860920,  100,    0
 25001,138462,19860921,  133,    0
 25001,138462,19860922,  132,    0
 25001,138462,19860923,  126,    0
 25001,138462,19860924,  117,    0
 25001,138462,19860925,   64,    0
 25001,138462,19860926,   65,    0
 25001,138462,19860927,   97,    0
 25001,138462,19860928,   85,    0
 25001,138462,19860929,  120,    0
 25001,138462,19860930,  116,    0
 25001,138462,19861001,  108,    0
 25001,138462,19861002,  138,    0
 25001,138462,19861003,  123,    0
 25001,138462,19861004,   81,    0
 25001,138462,19861005,   55,    0
 25001,138462,19861006,   96,    0
 25001,138462,19861007,  127,    0
 25001,138462,19861008,  118,    0
 25001,138462,19861009,  108,    0
 25001,138462,19861010,  115,    0
 25001,138462,19861011,   93,    0
 25001,138462,19861012,   89,    0
 25001,138462,19861013,  107,    0
 25001,138462,19861014,  119,    0
 25001,138462,19861015,  102,    0
 25001,138462,19861016,  109,    0
 25001,138462,19861017,   61,    0
 25001,138462,19861018,   74,    0
 25001,138462,19861019,   86,    0
 25001,138462,19861020,   89,    0
