EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WINSKO, POLAND (STAID: 25005)
Blended and updated with sources:138474 138510 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25005,138510,19560101,    2,    0
 25005,138510,19560102,   10,    0
 25005,138510,19560103,  -19,    0
 25005,138510,19560104,   -3,    0
 25005,138510,19560105,   14,    0
 25005,138510,19560106,    2,    0
 25005,138510,19560107,  -26,    0
 25005,138510,19560108,  -40,    0
 25005,138510,19560109,  -24,    0
 25005,138510,19560110,  -11,    0
 25005,138510,19560111,   24,    0
 25005,138510,19560112,   52,    0
 25005,138510,19560113,   46,    0
 25005,138510,19560114,   14,    0
 25005,138510,19560115,   32,    0
 25005,138510,19560116,   28,    0
 25005,138510,19560117,   41,    0
 25005,138510,19560118,   29,    0
 25005,138510,19560119,    6,    0
 25005,138510,19560120,   23,    0
 25005,138510,19560121,   42,    0
 25005,138510,19560122,   46,    0
 25005,138510,19560123,   29,    0
 25005,138510,19560124,   27,    0
 25005,138510,19560125,  -11,    0
 25005,138510,19560126,  -20,    0
 25005,138510,19560127,  -38,    0
 25005,138510,19560128,  -51,    0
 25005,138510,19560129,  -56,    0
 25005,138510,19560130, -136,    0
 25005,138510,19560131, -197,    0
 25005,138510,19560201, -204,    0
 25005,138510,19560202, -156,    0
 25005,138510,19560203,  -92,    0
 25005,138510,19560204,  -74,    0
 25005,138510,19560205,  -62,    0
 25005,138510,19560206,  -61,    0
 25005,138510,19560207,  -99,    0
 25005,138510,19560208, -157,    0
 25005,138510,19560209, -243,    0
 25005,138510,19560210, -205,    0
 25005,138510,19560211, -206,    0
 25005,138510,19560212, -179,    0
 25005,138510,19560213, -128,    0
 25005,138510,19560214, -111,    0
 25005,138510,19560215, -116,    0
 25005,138510,19560216, -116,    0
 25005,138510,19560217, -122,    0
 25005,138510,19560218, -119,    0
 25005,138510,19560219,  -70,    0
 25005,138510,19560220,  -54,    0
 25005,138510,19560221, -110,    0
 25005,138510,19560222, -144,    0
 25005,138510,19560223, -138,    0
 25005,138510,19560224,  -98,    0
 25005,138510,19560225,  -89,    0
 25005,138510,19560226,  -95,    0
 25005,138510,19560227,  -59,    0
 25005,138510,19560228,    0,    0
 25005,138510,19560229,   26,    0
 25005,138510,19560301,   20,    0
 25005,138510,19560302,   45,    0
 25005,138510,19560303,   33,    0
 25005,138510,19560304,    7,    0
 25005,138510,19560305,    4,    0
 25005,138510,19560306,    2,    0
 25005,138510,19560307,  -24,    0
 25005,138510,19560308,  -42,    0
 25005,138510,19560309,  -24,    0
 25005,138510,19560310,  -36,    0
 25005,138510,19560311,  -47,    0
 25005,138510,19560312,  -43,    0
 25005,138510,19560313,  -29,    0
 25005,138510,19560314,  -33,    0
 25005,138510,19560315,  -34,    0
 25005,138510,19560316,    2,    0
 25005,138510,19560317,   -6,    0
 25005,138510,19560318,   -4,    0
 25005,138510,19560319,  -13,    0
 25005,138510,19560320,    6,    0
 25005,138510,19560321,   26,    0
 25005,138510,19560322,   44,    0
 25005,138510,19560323,   44,    0
 25005,138510,19560324,   29,    0
 25005,138510,19560325,   39,    0
 25005,138510,19560326,   33,    0
 25005,138510,19560327,   32,    0
 25005,138510,19560328,   50,    0
 25005,138510,19560329,   77,    0
 25005,138510,19560330,  100,    0
 25005,138510,19560331,   65,    0
 25005,138510,19560401,   50,    0
 25005,138510,19560402,   34,    0
 25005,138510,19560403,   74,    0
 25005,138510,19560404,   26,    0
 25005,138510,19560405,   -3,    0
 25005,138510,19560406,    3,    0
 25005,138510,19560407,  -10,    0
 25005,138510,19560408,    7,    0
 25005,138510,19560409,   37,    0
 25005,138510,19560410,   82,    0
 25005,138510,19560411,   40,    0
 25005,138510,19560412,   48,    0
 25005,138510,19560413,   53,    0
 25005,138510,19560414,  120,    0
 25005,138510,19560415,   98,    0
 25005,138510,19560416,   87,    0
 25005,138510,19560417,   70,    0
 25005,138510,19560418,    9,    0
 25005,138510,19560419,    4,    0
 25005,138510,19560420,   12,    0
 25005,138510,19560421,   32,    0
 25005,138510,19560422,   27,    0
 25005,138510,19560423,   40,    0
 25005,138510,19560424,   52,    0
 25005,138510,19560425,   75,    0
 25005,138510,19560426,   98,    0
 25005,138510,19560427,  118,    0
 25005,138510,19560428,  121,    0
 25005,138510,19560429,  106,    0
 25005,138510,19560430,   58,    0
 25005,138510,19560501,   43,    0
 25005,138510,19560502,   64,    0
 25005,138510,19560503,   80,    0
 25005,138510,19560504,   83,    0
 25005,138510,19560505,  131,    0
 25005,138510,19560506,  165,    0
 25005,138510,19560507,  175,    0
 25005,138510,19560508,  141,    0
 25005,138510,19560509,  127,    0
 25005,138510,19560510,  126,    0
 25005,138510,19560511,  109,    0
 25005,138510,19560512,  121,    0
 25005,138510,19560513,   90,    0
 25005,138510,19560514,  121,    0
 25005,138510,19560515,  110,    0
 25005,138510,19560516,  133,    0
 25005,138510,19560517,  105,    0
 25005,138510,19560518,   88,    0
 25005,138510,19560519,   83,    0
 25005,138510,19560520,   80,    0
 25005,138510,19560521,  102,    0
 25005,138510,19560522,  142,    0
 25005,138510,19560523,  148,    0
 25005,138510,19560524,  170,    0
 25005,138510,19560525,  187,    0
 25005,138510,19560526,  155,    0
 25005,138510,19560527,  136,    0
 25005,138510,19560528,  164,    0
 25005,138510,19560529,  198,    0
 25005,138510,19560530,  219,    0
 25005,138510,19560531,  227,    0
 25005,138510,19560601,  212,    0
 25005,138510,19560602,  171,    0
 25005,138510,19560603,  183,    0
 25005,138510,19560604,  199,    0
 25005,138510,19560605,  203,    0
 25005,138510,19560606,  230,    0
 25005,138510,19560607,  208,    0
 25005,138510,19560608,  155,    0
 25005,138510,19560609,  156,    0
 25005,138510,19560610,  132,    0
 25005,138510,19560611,  163,    0
 25005,138510,19560612,  173,    0
 25005,138510,19560613,  181,    0
 25005,138510,19560614,  136,    0
 25005,138510,19560615,   96,    0
 25005,138510,19560616,   96,    0
 25005,138510,19560617,  143,    0
 25005,138510,19560618,  180,    0
 25005,138510,19560619,  164,    0
 25005,138510,19560620,  145,    0
 25005,138510,19560621,  107,    0
 25005,138510,19560622,  124,    0
 25005,138510,19560623,  118,    0
 25005,138510,19560624,  116,    0
 25005,138510,19560625,  123,    1
 25005,138510,19560626,  118,    1
 25005,138510,19560627,  133,    1
 25005,138510,19560628,  114,    1
 25005,138510,19560629,  109,    0
 25005,138510,19560630,  117,    0
 25005,138510,19560701,  179,    0
 25005,138510,19560702,  222,    0
 25005,138510,19560703,  190,    0
 25005,138510,19560704,  176,    0
 25005,138510,19560705,  194,    0
 25005,138510,19560706,  177,    0
 25005,138510,19560707,  164,    0
 25005,138510,19560708,  147,    0
 25005,138510,19560709,  178,    0
 25005,138510,19560710,  211,    0
 25005,138510,19560711,  218,    0
 25005,138510,19560712,  199,    0
 25005,138510,19560713,  206,    0
 25005,138510,19560714,  203,    0
 25005,138510,19560715,  155,    0
 25005,138510,19560716,  155,    0
 25005,138510,19560717,  147,    0
 25005,138510,19560718,  144,    0
