EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GRABOWNICA, POLAND (STAID: 25008)
Blended and updated with sources:138546 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25008,138546,19860101,  -84,    0
 25008,138546,19860102,  -35,    0
 25008,138546,19860103,    8,    0
 25008,138546,19860104,   -8,    0
 25008,138546,19860105,  -17,    0
 25008,138546,19860106,   -4,    0
 25008,138546,19860107,  -26,    0
 25008,138546,19860108,  -29,    0
 25008,138546,19860109,  -74,    0
 25008,138546,19860110,  -90,    0
 25008,138546,19860111,  -18,    0
 25008,138546,19860112,   14,    0
 25008,138546,19860113,   24,    0
 25008,138546,19860114,   30,    0
 25008,138546,19860115,   18,    0
 25008,138546,19860116,   -8,    0
 25008,138546,19860117,  -37,    0
 25008,138546,19860118,  -51,    0
 25008,138546,19860119,   32,    0
 25008,138546,19860120,   52,    0
 25008,138546,19860121,   36,    0
 25008,138546,19860122,   38,    0
 25008,138546,19860123,   40,    0
 25008,138546,19860124,   40,    0
 25008,138546,19860125,   11,    0
 25008,138546,19860126,   -5,    0
 25008,138546,19860127,  -25,    0
 25008,138546,19860128,  -27,    0
 25008,138546,19860129,  -12,    0
 25008,138546,19860130,   -9,    0
 25008,138546,19860131,    3,    0
 25008,138546,19860201,    8,    0
 25008,138546,19860202,  -31,    0
 25008,138546,19860203,  -51,    0
 25008,138546,19860204,  -88,    0
 25008,138546,19860205,  -98,    0
 25008,138546,19860206, -101,    0
 25008,138546,19860207, -155,    0
 25008,138546,19860208, -136,    0
 25008,138546,19860209, -144,    0
 25008,138546,19860210,  -45,    0
 25008,138546,19860211, -119,    0
 25008,138546,19860212, -131,    0
 25008,138546,19860213,  -87,    0
 25008,138546,19860214,  -59,    0
 25008,138546,19860215,  -45,    0
 25008,138546,19860216,  -38,    0
 25008,138546,19860217,  -59,    0
