EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NOWA WIES, POLAND (STAID: 25024)
Blended and updated with sources:138738 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25024,138738,19610101,  -15,    0
 25024,138738,19610102,   -4,    0
 25024,138738,19610103,    6,    0
 25024,138738,19610104,   24,    0
 25024,138738,19610105,   13,    0
 25024,138738,19610106,    6,    0
 25024,138738,19610107,    5,    0
 25024,138738,19610108,    6,    0
 25024,138738,19610109,   12,    0
 25024,138738,19610110,  -11,    0
 25024,138738,19610111,  -13,    0
 25024,138738,19610112,  -17,    0
 25024,138738,19610113,  -28,    0
 25024,138738,19610114,    1,    0
 25024,138738,19610115,  -19,    0
 25024,138738,19610116,  -14,    0
 25024,138738,19610117, -114,    0
 25024,138738,19610118, -141,    0
 25024,138738,19610119,  -57,    0
 25024,138738,19610120,  -89,    0
 25024,138738,19610121, -151,    0
 25024,138738,19610122, -104,    0
 25024,138738,19610123, -134,    0
 25024,138738,19610124,  -85,    0
 25024,138738,19610125, -141,    0
 25024,138738,19610126, -184,    0
 25024,138738,19610127, -141,    0
 25024,138738,19610128,  -84,    0
 25024,138738,19610129,  -26,    0
 25024,138738,19610130,    3,    0
 25024,138738,19610131,   17,    0
 25024,138738,19610201,   26,    0
 25024,138738,19610202,   10,    0
 25024,138738,19610203,   -9,    0
 25024,138738,19610204,   -2,    0
 25024,138738,19610205,   -6,    0
 25024,138738,19610206,  -19,    0
 25024,138738,19610207,   -7,    0
 25024,138738,19610208,    6,    0
 25024,138738,19610209,    7,    0
 25024,138738,19610210,   -5,    0
 25024,138738,19610211,    8,    0
 25024,138738,19610212,   10,    0
 25024,138738,19610213,    8,    0
 25024,138738,19610214,  -10,    0
 25024,138738,19610215,   19,    0
 25024,138738,19610216,   24,    0
 25024,138738,19610217,   24,    0
 25024,138738,19610218,   41,    0
 25024,138738,19610219,   14,    0
 25024,138738,19610220,   18,    0
 25024,138738,19610221,   22,    0
 25024,138738,19610222,    9,    0
 25024,138738,19610223,    3,    0
 25024,138738,19610224,  -11,    0
 25024,138738,19610225,  -11,    0
 25024,138738,19610226,    0,    0
 25024,138738,19610227,   24,    0
 25024,138738,19610228,   41,    0
 25024,138738,19610301,   26,    0
 25024,138738,19610302,   21,    0
 25024,138738,19610303,   24,    0
 25024,138738,19610304,   37,    0
 25024,138738,19610305,   35,    0
 25024,138738,19610306,   24,    0
 25024,138738,19610307,   66,    0
 25024,138738,19610308,   45,    0
 25024,138738,19610309,   78,    0
 25024,138738,19610310,   85,    0
 25024,138738,19610311,   83,    0
 25024,138738,19610312,   86,    0
 25024,138738,19610313,   42,    0
 25024,138738,19610314,   42,    0
 25024,138738,19610315,   70,    0
 25024,138738,19610316,   67,    0
 25024,138738,19610317,   71,    0
 25024,138738,19610318,  111,    0
 25024,138738,19610319,   43,    0
 25024,138738,19610320,   -5,    0
 25024,138738,19610321,   11,    0
 25024,138738,19610322,    1,    0
 25024,138738,19610323,   29,    0
 25024,138738,19610324,   61,    0
 25024,138738,19610325,   49,    0
 25024,138738,19610326,   70,    0
 25024,138738,19610327,   47,    0
 25024,138738,19610328,    8,    0
 25024,138738,19610329,   21,    0
 25024,138738,19610330,   62,    0
 25024,138738,19610331,   44,    0
 25024,138738,19610401,   33,    0
 25024,138738,19610402,   41,    0
 25024,138738,19610403,   74,    0
 25024,138738,19610404,   53,    0
 25024,138738,19610405,  103,    0
 25024,138738,19610406,  154,    0
 25024,138738,19610407,  160,    0
 25024,138738,19610408,  111,    0
 25024,138738,19610409,   27,    0
 25024,138738,19610410,   20,    0
 25024,138738,19610411,   62,    0
 25024,138738,19610412,   45,    0
 25024,138738,19610413,  106,    0
 25024,138738,19610414,  150,    0
 25024,138738,19610415,  173,    0
 25024,138738,19610416,  149,    0
 25024,138738,19610417,  130,    0
 25024,138738,19610418,  124,    0
 25024,138738,19610419,  109,    0
 25024,138738,19610420,   73,    0
 25024,138738,19610421,   65,    0
 25024,138738,19610422,   99,    0
 25024,138738,19610423,  104,    0
 25024,138738,19610424,   90,    0
 25024,138738,19610425,   95,    0
 25024,138738,19610426,  114,    0
 25024,138738,19610427,  124,    0
 25024,138738,19610428,  113,    0
