EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KRZYZ, POLAND (STAID: 25030)
Blended and updated with sources:138810 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25030,138810,19610101,    3,    0
 25030,138810,19610102,    6,    0
 25030,138810,19610103,   14,    0
 25030,138810,19610104,   17,    0
 25030,138810,19610105,   10,    0
 25030,138810,19610106,   13,    0
 25030,138810,19610107,   15,    0
 25030,138810,19610108,   18,    0
 25030,138810,19610109,   36,    0
 25030,138810,19610110,   21,    0
 25030,138810,19610111,    5,    0
 25030,138810,19610112,  -18,    0
 25030,138810,19610113,   -9,    0
 25030,138810,19610114,   14,    0
 25030,138810,19610115,  -18,    0
 25030,138810,19610116,    1,    0
 25030,138810,19610117,  -62,    0
 25030,138810,19610118, -112,    0
 25030,138810,19610119,  -70,    0
 25030,138810,19610120,  -72,    0
 25030,138810,19610121,  -71,    0
 25030,138810,19610122,  -66,    0
 25030,138810,19610123,  -85,    0
 25030,138810,19610124,  -53,    0
 25030,138810,19610125, -111,    0
 25030,138810,19610126, -142,    0
 25030,138810,19610127, -127,    0
 25030,138810,19610128,  -80,    0
 25030,138810,19610129,   28,    0
 25030,138810,19610130,   46,    0
 25030,138810,19610131,   39,    0
 25030,138810,19610201,   24,    0
 25030,138810,19610202,   22,    0
 25030,138810,19610203,    3,    0
 25030,138810,19610204,   -1,    0
 25030,138810,19610205,  -22,    0
 25030,138810,19610206,   11,    0
