EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SLUPCA, POLAND (STAID: 25040)
Blended and updated with sources:138930 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25040,138930,19810101,   27,    0
 25040,138930,19810102,   13,    0
 25040,138930,19810103,   36,    0
 25040,138930,19810104,   18,    0
 25040,138930,19810105,  -19,    0
 25040,138930,19810106,  -53,    0
 25040,138930,19810107,  -74,    0
 25040,138930,19810108, -125,    0
 25040,138930,19810109,  -78,    0
 25040,138930,19810110,  -28,    0
 25040,138930,19810111,  -14,    0
 25040,138930,19810112,  -40,    0
 25040,138930,19810113,  -17,    0
 25040,138930,19810114,  -27,    0
 25040,138930,19810115,    1,    0
 25040,138930,19810116,  -15,    0
 25040,138930,19810117,  -31,    0
 25040,138930,19810118,  -10,    0
 25040,138930,19810119,  -40,    0
 25040,138930,19810120,   -4,    0
 25040,138930,19810121,  -22,    0
 25040,138930,19810122,  -45,    0
 25040,138930,19810123,  -88,    0
 25040,138930,19810124,   -9,    0
 25040,138930,19810125,    9,    0
 25040,138930,19810126,  -15,    0
 25040,138930,19810127,  -75,    0
 25040,138930,19810128,  -41,    0
 25040,138930,19810129,    4,    0
 25040,138930,19810130,    6,    0
 25040,138930,19810131,    4,    0
 25040,138930,19810201,   11,    0
 25040,138930,19810202,   13,    0
 25040,138930,19810203,   35,    0
 25040,138930,19810204,   26,    0
 25040,138930,19810205,   15,    0
 25040,138930,19810206,    2,    0
 25040,138930,19810207,   42,    0
 25040,138930,19810208,   62,    0
 25040,138930,19810209,   32,    0
 25040,138930,19810210,   32,    0
 25040,138930,19810211,    8,    0
 25040,138930,19810212,  -18,    0
 25040,138930,19810213,  -10,    0
 25040,138930,19810214,  -52,    0
 25040,138930,19810215,  -20,    0
 25040,138930,19810216,    0,    0
 25040,138930,19810217,   -6,    0
 25040,138930,19810218,  -49,    0
 25040,138930,19810219,  -49,    0
 25040,138930,19810220,  -68,    0
 25040,138930,19810221,  -82,    0
 25040,138930,19810222,  -31,    0
 25040,138930,19810223,  -10,    0
 25040,138930,19810224,    4,    0
 25040,138930,19810225,  -30,    0
 25040,138930,19810226,  -45,    0
 25040,138930,19810227,  -54,    0
 25040,138930,19810228,  -43,    0
 25040,138930,19810301,  -26,    0
 25040,138930,19810302,   12,    0
 25040,138930,19810303,   12,    0
 25040,138930,19810304,    5,    0
 25040,138930,19810305,   -8,    0
 25040,138930,19810306,    0,    0
 25040,138930,19810307,   39,    0
 25040,138930,19810308,   86,    0
 25040,138930,19810309,  107,    0
 25040,138930,19810310,   55,    0
 25040,138930,19810311,   28,    0
 25040,138930,19810312,    8,    0
 25040,138930,19810313,   12,    0
 25040,138930,19810314,   60,    0
 25040,138930,19810315,   66,    0
 25040,138930,19810316,   16,    0
 25040,138930,19810317,   24,    0
 25040,138930,19810318,   46,    0
 25040,138930,19810319,   50,    0
 25040,138930,19810320,   64,    0
 25040,138930,19810321,   79,    0
 25040,138930,19810322,  105,    0
 25040,138930,19810323,   69,    0
 25040,138930,19810324,   78,    0
 25040,138930,19810325,   98,    0
 25040,138930,19810326,  132,    0
 25040,138930,19810327,   77,    0
 25040,138930,19810328,   36,    0
 25040,138930,19810329,   48,    0
 25040,138930,19810330,   91,    0
 25040,138930,19810331,  112,    0
 25040,138930,19810401,  102,    0
 25040,138930,19810402,   76,    0
 25040,138930,19810403,   55,    0
 25040,138930,19810404,   62,    0
 25040,138930,19810405,   72,    0
 25040,138930,19810406,   62,    0
 25040,138930,19810407,   85,    0
 25040,138930,19810408,   85,    0
 25040,138930,19810409,   82,    0
 25040,138930,19810410,  103,    0
 25040,138930,19810411,   91,    0
 25040,138930,19810412,  113,    0
 25040,138930,19810413,  110,    0
 25040,138930,19810414,   74,    0
 25040,138930,19810415,   86,    0
 25040,138930,19810416,   43,    0
 25040,138930,19810417,   18,    0
 25040,138930,19810418,   19,    0
 25040,138930,19810419,   41,    0
 25040,138930,19810420,   41,    0
 25040,138930,19810421,   45,    0
 25040,138930,19810422,   31,    0
 25040,138930,19810423,   22,    0
 25040,138930,19810424,   19,    0
 25040,138930,19810425,   50,    0
 25040,138930,19810426,   73,    0
 25040,138930,19810427,   98,    0
 25040,138930,19810428,   51,    0
 25040,138930,19810429,   44,    0
 25040,138930,19810430,   72,    0
 25040,138930,19810501,   66,    0
 25040,138930,19810502,   41,    0
 25040,138930,19810503,   51,    0
 25040,138930,19810504,   60,    0
 25040,138930,19810505,   78,    0
 25040,138930,19810506,   93,    0
 25040,138930,19810507,  111,    0
 25040,138930,19810508,   93,    0
 25040,138930,19810509,  161,    0
 25040,138930,19810510,  183,    0
 25040,138930,19810511,  189,    0
 25040,138930,19810512,  185,    0
 25040,138930,19810513,  193,    0
 25040,138930,19810514,  170,    0
 25040,138930,19810515,  148,    0
 25040,138930,19810516,  170,    0
 25040,138930,19810517,  174,    0
 25040,138930,19810518,  132,    0
 25040,138930,19810519,  144,    0
 25040,138930,19810520,  155,    0
 25040,138930,19810521,  163,    0
 25040,138930,19810522,  185,    0
 25040,138930,19810523,  169,    0
 25040,138930,19810524,  148,    0
 25040,138930,19810525,  153,    0
 25040,138930,19810526,  174,    0
 25040,138930,19810527,  199,    0
 25040,138930,19810528,  145,    0
 25040,138930,19810529,  147,    0
 25040,138930,19810530,  171,    0
 25040,138930,19810531,  189,    0
 25040,138930,19810601,  210,    0
 25040,138930,19810602,  224,    0
 25040,138930,19810603,  225,    0
 25040,138930,19810604,  229,    0
 25040,138930,19810605,  178,    0
 25040,138930,19810606,  185,    0
 25040,138930,19810607,  188,    0
 25040,138930,19810608,  194,    0
 25040,138930,19810609,  210,    0
 25040,138930,19810610,  197,    0
 25040,138930,19810611,  175,    0
 25040,138930,19810612,  163,    0
 25040,138930,19810613,  116,    0
 25040,138930,19810614,  115,    0
