EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KOLUDA WIELKA, POLAND (STAID: 25044)
Blended and updated with sources:138978 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25044,138978,19510101,  -44,    0
 25044,138978,19510102,  -21,    0
 25044,138978,19510103,   14,    0
 25044,138978,19510104,    1,    0
 25044,138978,19510105,    4,    0
 25044,138978,19510106,   19,    0
 25044,138978,19510107,   25,    0
 25044,138978,19510108,   16,    0
 25044,138978,19510109,   26,    0
 25044,138978,19510110,    6,    0
 25044,138978,19510111,   22,    0
 25044,138978,19510112,   30,    0
 25044,138978,19510113,   12,    0
 25044,138978,19510114,   18,    0
 25044,138978,19510115,   16,    0
 25044,138978,19510116,   14,    0
 25044,138978,19510117,    4,    0
 25044,138978,19510118,    8,    0
 25044,138978,19510119,   26,    0
 25044,138978,19510120,   12,    0
 25044,138978,19510121,   -8,    0
 25044,138978,19510122,  -32,    0
 25044,138978,19510123,  -42,    0
 25044,138978,19510124,  -75,    0
 25044,138978,19510125, -106,    0
 25044,138978,19510126,  -66,    0
 25044,138978,19510127,  -35,    0
 25044,138978,19510128,  -36,    0
 25044,138978,19510129,  -52,    0
 25044,138978,19510130,  -86,    0
 25044,138978,19510131,  -52,    0
 25044,138978,19510201,  -60,    0
 25044,138978,19510202,  -80,    0
 25044,138978,19510203,  -63,    0
 25044,138978,19510204,  -52,    0
 25044,138978,19510205,    1,    0
 25044,138978,19510206,   26,    0
 25044,138978,19510207,   26,    0
 25044,138978,19510208,    2,    0
 25044,138978,19510209,   24,    0
 25044,138978,19510210,   -2,    0
 25044,138978,19510211,   20,    0
 25044,138978,19510212,   28,    0
 25044,138978,19510213,   13,    0
 25044,138978,19510214,    9,    0
 25044,138978,19510215,   -2,    0
 25044,138978,19510216,  -22,    0
 25044,138978,19510217,    0,    0
 25044,138978,19510218,   18,    0
 25044,138978,19510219,   20,    0
 25044,138978,19510220,   10,    0
 25044,138978,19510221,   22,    0
 25044,138978,19510222,   16,    0
 25044,138978,19510223,   16,    0
 25044,138978,19510224,   20,    0
 25044,138978,19510225,    8,    0
 25044,138978,19510226,    8,    0
 25044,138978,19510227,    3,    0
 25044,138978,19510228,  -16,    0
 25044,138978,19510301,  -36,    0
 25044,138978,19510302,  -68,    0
 25044,138978,19510303,  -80,    0
 25044,138978,19510304,  -72,    0
 25044,138978,19510305,  -34,    0
 25044,138978,19510306,  -42,    0
 25044,138978,19510307,  -55,    0
 25044,138978,19510308,  -52,    0
 25044,138978,19510309,  -38,    0
 25044,138978,19510310,  -50,    0
 25044,138978,19510311,  -48,    0
 25044,138978,19510312,    8,    0
 25044,138978,19510313,   40,    0
 25044,138978,19510314,   39,    0
 25044,138978,19510315,   48,    0
 25044,138978,19510316,    0,    0
 25044,138978,19510317,   10,    0
 25044,138978,19510318,   96,    0
 25044,138978,19510319,   82,    0
 25044,138978,19510320,    1,    0
 25044,138978,19510321,  -20,    0
 25044,138978,19510322,   29,    0
 25044,138978,19510323,   62,    0
 25044,138978,19510324,   60,    0
 25044,138978,19510325,   30,    0
 25044,138978,19510326,   21,    0
 25044,138978,19510327,   49,    0
 25044,138978,19510328,   16,    0
 25044,138978,19510329,   15,    0
 25044,138978,19510330,   28,    0
 25044,138978,19510331,   62,    0
 25044,138978,19510401,   75,    0
 25044,138978,19510402,   88,    0
 25044,138978,19510403,   58,    0
 25044,138978,19510404,   61,    0
 25044,138978,19510405,   58,    0
 25044,138978,19510406,   57,    0
 25044,138978,19510407,  105,    0
 25044,138978,19510408,   92,    0
 25044,138978,19510409,   65,    0
 25044,138978,19510410,   69,    0
 25044,138978,19510411,   58,    0
 25044,138978,19510412,   36,    0
 25044,138978,19510413,   74,    0
 25044,138978,19510414,   77,    0
 25044,138978,19510415,   40,    0
 25044,138978,19510416,   84,    0
 25044,138978,19510417,   57,    0
 25044,138978,19510418,   61,    0
 25044,138978,19510419,   95,    0
 25044,138978,19510420,   59,    0
 25044,138978,19510421,   38,    0
 25044,138978,19510422,   33,    0
 25044,138978,19510423,   60,    0
 25044,138978,19510424,   80,    0
 25044,138978,19510425,  139,    0
