EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PULTUSK, POLAND (STAID: 25060)
Blended and updated with sources:657 139170 912375 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25060,139170,19510101,  -46,    0
 25060,139170,19510102,  -17,    0
 25060,139170,19510103,   15,    0
 25060,139170,19510104,    0,    0
 25060,139170,19510105,  -10,    0
 25060,139170,19510106,   26,    0
 25060,139170,19510107,   22,    0
 25060,139170,19510108,   18,    0
 25060,139170,19510109,   15,    0
 25060,139170,19510110,   14,    0
 25060,139170,19510111,   22,    0
 25060,139170,19510112,   20,    0
 25060,139170,19510113,   36,    0
 25060,139170,19510114,   10,    0
 25060,139170,19510115,   14,    0
 25060,139170,19510116,   12,    0
 25060,139170,19510117,   -5,    0
 25060,139170,19510118,    1,    0
 25060,139170,19510119,    9,    0
 25060,139170,19510120,    8,    0
 25060,139170,19510121,   -8,    0
 25060,139170,19510122,  -41,    0
 25060,139170,19510123, -100,    0
 25060,139170,19510124, -117,    0
 25060,139170,19510125, -138,    0
 25060,139170,19510126,  -77,    0
 25060,139170,19510127,  -77,    0
 25060,139170,19510128,  -45,    0
 25060,139170,19510129,  -58,    0
 25060,139170,19510130,  -90,    0
 25060,139170,19510131,  -74,    0
 25060,139170,19510201,  -86,    0
 25060,139170,19510202,  -87,    0
 25060,139170,19510203,  -86,    0
 25060,139170,19510204,  -79,    0
 25060,139170,19510205,  -32,    0
 25060,139170,19510206,   11,    0
 25060,139170,19510207,   38,    0
 25060,139170,19510208,   20,    0
 25060,139170,19510209,    9,    0
 25060,139170,19510210,  -17,    0
 25060,139170,19510211,   -3,    0
 25060,139170,19510212,   24,    0
 25060,139170,19510213,    8,    0
 25060,139170,19510214,   14,    0
 25060,139170,19510215,  -11,    0
 25060,139170,19510216,  -48,    0
 25060,139170,19510217,  -12,    0
 25060,139170,19510218,    6,    0
 25060,139170,19510219,   18,    0
 25060,139170,19510220,    4,    0
 25060,139170,19510221,    5,    0
 25060,139170,19510222,   -5,    0
 25060,139170,19510223,   14,    0
 25060,139170,19510224,   21,    0
 25060,139170,19510225,    8,    0
 25060,139170,19510226,    6,    0
 25060,139170,19510227,    4,    0
 25060,139170,19510228,  -10,    0
 25060,139170,19510301,  -20,    0
 25060,139170,19510302,  -49,    0
 25060,139170,19510303,  -88,    0
 25060,139170,19510304,  -52,    0
 25060,139170,19510305,  -34,    0
 25060,139170,19510306,  -30,    0
