EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWIDER, POLAND (STAID: 25061)
Blended and updated with sources:139182 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25061,139182,19560101,    6,    0
 25061,139182,19560102,    4,    0
 25061,139182,19560103,  -41,    0
 25061,139182,19560104,    2,    0
 25061,139182,19560105,   12,    0
 25061,139182,19560106,   -8,    0
 25061,139182,19560107,  -24,    0
 25061,139182,19560108,  -38,    0
 25061,139182,19560109,  -24,    0
 25061,139182,19560110,   -7,    0
 25061,139182,19560111,    3,    0
 25061,139182,19560112,   18,    0
 25061,139182,19560113,   34,    0
 25061,139182,19560114,    2,    0
 25061,139182,19560115,   25,    0
 25061,139182,19560116,   26,    0
 25061,139182,19560117,   31,    0
 25061,139182,19560118,   27,    0
 25061,139182,19560119,   18,    0
 25061,139182,19560120,   16,    0
 25061,139182,19560121,   45,    0
 25061,139182,19560122,   50,    0
 25061,139182,19560123,   15,    0
 25061,139182,19560124,   38,    0
 25061,139182,19560125,  -12,    0
 25061,139182,19560126,  -26,    0
 25061,139182,19560127,  -48,    0
 25061,139182,19560128,  -60,    0
 25061,139182,19560129,  -70,    0
 25061,139182,19560130, -194,    0
 25061,139182,19560131, -254,    0
 25061,139182,19560201, -248,    0
 25061,139182,19560202, -142,    0
 25061,139182,19560203, -129,    0
 25061,139182,19560204, -119,    0
 25061,139182,19560205,  -45,    0
 25061,139182,19560206, -101,    0
 25061,139182,19560207, -148,    0
 25061,139182,19560208, -244,    0
 25061,139182,19560209, -162,    0
 25061,139182,19560210, -208,    0
 25061,139182,19560211, -199,    0
 25061,139182,19560212, -165,    0
 25061,139182,19560213, -147,    0
 25061,139182,19560214, -133,    0
 25061,139182,19560215,  -80,    0
 25061,139182,19560216, -110,    0
 25061,139182,19560217, -116,    0
 25061,139182,19560218,  -91,    0
 25061,139182,19560219,  -38,    0
 25061,139182,19560220,  -64,    0
 25061,139182,19560221, -135,    0
 25061,139182,19560222, -150,    0
 25061,139182,19560223, -164,    0
 25061,139182,19560224, -172,    0
 25061,139182,19560225, -127,    0
 25061,139182,19560226,  -60,    0
