EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SINOLEKA, POLAND (STAID: 25062)
Blended and updated with sources:139194 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25062,139194,19610101,   -2,    0
 25062,139194,19610102,   -5,    0
 25062,139194,19610103,    4,    0
 25062,139194,19610104,   39,    0
 25062,139194,19610105,   10,    0
 25062,139194,19610106,    4,    0
 25062,139194,19610107,   -1,    0
 25062,139194,19610108,    5,    0
 25062,139194,19610109,   13,    0
 25062,139194,19610110,    3,    0
 25062,139194,19610111,  -10,    0
 25062,139194,19610112,  -15,    0
 25062,139194,19610113,  -23,    0
 25062,139194,19610114,    2,    0
 25062,139194,19610115,  -19,    0
 25062,139194,19610116,   -3,    0
 25062,139194,19610117,  -88,    0
 25062,139194,19610118, -106,    0
 25062,139194,19610119,  -52,    0
 25062,139194,19610120,  -49,    0
 25062,139194,19610121, -114,    0
 25062,139194,19610122,  -81,    0
 25062,139194,19610123, -115,    0
 25062,139194,19610124,  -72,    0
 25062,139194,19610125, -155,    0
 25062,139194,19610126, -147,    0
 25062,139194,19610127, -104,    0
 25062,139194,19610128,  -95,    0
 25062,139194,19610129,  -27,    0
 25062,139194,19610130,   12,    0
 25062,139194,19610131,   15,    0
 25062,139194,19610201,   15,    0
 25062,139194,19610202,    6,    0
 25062,139194,19610203,  -12,    0
 25062,139194,19610204,   -5,    0
 25062,139194,19610205,  -31,    0
 25062,139194,19610206,  -16,    0
 25062,139194,19610207,   -4,    0
 25062,139194,19610208,    6,    0
 25062,139194,19610209,    3,    0
 25062,139194,19610210,   -6,    0
 25062,139194,19610211,    5,    0
 25062,139194,19610212,   23,    0
 25062,139194,19610213,    8,    0
 25062,139194,19610214,   -9,    0
 25062,139194,19610215,   38,    0
 25062,139194,19610216,   21,    0
 25062,139194,19610217,   29,    0
 25062,139194,19610218,   46,    0
 25062,139194,19610219,   16,    0
 25062,139194,19610220,   17,    0
 25062,139194,19610221,   24,    0
 25062,139194,19610222,   11,    0
 25062,139194,19610223,   -1,    0
 25062,139194,19610224,  -15,    0
 25062,139194,19610225,  -14,    0
 25062,139194,19610226,    4,    0
 25062,139194,19610227,   26,    0
 25062,139194,19610228,   53,    0
 25062,139194,19610301,   27,    0
 25062,139194,19610302,   17,    0
 25062,139194,19610303,   28,    0
 25062,139194,19610304,   37,    0
 25062,139194,19610305,   38,    0
 25062,139194,19610306,   29,    0
 25062,139194,19610307,   52,    0
 25062,139194,19610308,   55,    0
 25062,139194,19610309,   75,    0
 25062,139194,19610310,   85,    0
 25062,139194,19610311,   80,    0
 25062,139194,19610312,   95,    0
 25062,139194,19610313,   39,    0
 25062,139194,19610314,   44,    0
 25062,139194,19610315,   63,    0
 25062,139194,19610316,   72,    0
 25062,139194,19610317,   72,    0
 25062,139194,19610318,  104,    0
 25062,139194,19610319,   23,    0
 25062,139194,19610320,   -6,    0
 25062,139194,19610321,   15,    0
 25062,139194,19610322,   -2,    0
 25062,139194,19610323,   38,    0
 25062,139194,19610324,   63,    0
 25062,139194,19610325,   52,    0
 25062,139194,19610326,   74,    0
 25062,139194,19610327,   26,    0
 25062,139194,19610328,    8,    0
 25062,139194,19610329,   19,    0
 25062,139194,19610330,   63,    0
 25062,139194,19610331,   33,    0
 25062,139194,19610401,   19,    0
 25062,139194,19610402,   26,    0
 25062,139194,19610403,   41,    0
 25062,139194,19610404,   36,    0
 25062,139194,19610405,  105,    0
 25062,139194,19610406,  149,    0
 25062,139194,19610407,  172,    0
 25062,139194,19610408,   92,    0
 25062,139194,19610409,   29,    0
 25062,139194,19610410,   17,    0
 25062,139194,19610411,   51,    0
 25062,139194,19610412,   48,    0
 25062,139194,19610413,  107,    0
 25062,139194,19610414,  143,    0
 25062,139194,19610415,  165,    0
 25062,139194,19610416,  145,    0
 25062,139194,19610417,  120,    0
 25062,139194,19610418,  122,    0
 25062,139194,19610419,  107,    0
 25062,139194,19610420,   56,    0
 25062,139194,19610421,   73,    0
 25062,139194,19610422,  102,    0
 25062,139194,19610423,  109,    0
 25062,139194,19610424,  102,    0
 25062,139194,19610425,   88,    0
 25062,139194,19610426,  132,    0
 25062,139194,19610427,  131,    0
 25062,139194,19610428,  130,    0
 25062,139194,19610429,   72,    0
 25062,139194,19610430,  127,    0
 25062,139194,19610501,  120,    0
 25062,139194,19610502,  114,    0
 25062,139194,19610503,  136,    0
 25062,139194,19610504,  118,    0
 25062,139194,19610505,  142,    0
 25062,139194,19610506,  150,    0
 25062,139194,19610507,  129,    0
 25062,139194,19610508,   93,    0
 25062,139194,19610509,   82,    0
 25062,139194,19610510,   76,    0
 25062,139194,19610511,   74,    0
 25062,139194,19610512,   54,    0
 25062,139194,19610513,   79,    0
 25062,139194,19610514,   80,    0
 25062,139194,19610515,   82,    0
 25062,139194,19610516,   80,    0
 25062,139194,19610517,   93,    0
 25062,139194,19610518,   79,    0
 25062,139194,19610519,  119,    0
 25062,139194,19610520,  122,    0
 25062,139194,19610521,  148,    0
 25062,139194,19610522,  148,    0
 25062,139194,19610523,  110,    0
 25062,139194,19610524,  115,    0
 25062,139194,19610525,  136,    0
 25062,139194,19610526,  158,    0
 25062,139194,19610527,  176,    0
 25062,139194,19610528,  175,    0
 25062,139194,19610529,  177,    0
 25062,139194,19610530,  139,    0
 25062,139194,19610531,  141,    0
 25062,139194,19610601,  183,    0
 25062,139194,19610602,  207,    0
 25062,139194,19610603,  212,    0
 25062,139194,19610604,  190,    0
 25062,139194,19610605,  178,    0
 25062,139194,19610606,  186,    0
 25062,139194,19610607,  188,    0
 25062,139194,19610608,  190,    0
 25062,139194,19610609,  189,    0
 25062,139194,19610610,  218,    0
 25062,139194,19610611,  190,    0
 25062,139194,19610612,  175,    0
 25062,139194,19610613,  172,    0
 25062,139194,19610614,  157,    0
 25062,139194,19610615,  131,    0
 25062,139194,19610616,  129,    0
 25062,139194,19610617,  169,    0
 25062,139194,19610618,  197,    0
 25062,139194,19610619,  167,    0
 25062,139194,19610620,  145,    0
 25062,139194,19610621,  159,    0
 25062,139194,19610622,  155,    0
 25062,139194,19610623,  170,    0
 25062,139194,19610624,  175,    0
 25062,139194,19610625,  216,    0
 25062,139194,19610626,  218,    0
 25062,139194,19610627,  240,    0
 25062,139194,19610628,  144,    0
 25062,139194,19610629,  147,    0
 25062,139194,19610630,  185,    0
 25062,139194,19610701,  191,    0
 25062,139194,19610702,  220,    0
 25062,139194,19610703,  235,    0
 25062,139194,19610704,  208,    0
 25062,139194,19610705,  145,    0
 25062,139194,19610706,  131,    0
 25062,139194,19610707,  128,    0
 25062,139194,19610708,  148,    0
 25062,139194,19610709,  164,    0
 25062,139194,19610710,  133,    0
 25062,139194,19610711,  163,    0
 25062,139194,19610712,  182,    0
 25062,139194,19610713,  237,    0
 25062,139194,19610714,  152,    0
 25062,139194,19610715,  175,    0
 25062,139194,19610716,  158,    0
 25062,139194,19610717,  158,    0
 25062,139194,19610718,  134,    0
 25062,139194,19610719,  152,    0
 25062,139194,19610720,  171,    0
 25062,139194,19610721,  154,    0
 25062,139194,19610722,  151,    0
 25062,139194,19610723,  148,    0
 25062,139194,19610724,  150,    0
 25062,139194,19610725,  140,    0
 25062,139194,19610726,  160,    0
 25062,139194,19610727,  197,    0
 25062,139194,19610728,  175,    0
 25062,139194,19610729,  146,    0
 25062,139194,19610730,  129,    0
 25062,139194,19610731,  145,    0
 25062,139194,19610801,  136,    0
 25062,139194,19610802,  189,    0
 25062,139194,19610803,  177,    0
 25062,139194,19610804,  156,    0
 25062,139194,19610805,  175,    0
 25062,139194,19610806,  234,    0
 25062,139194,19610807,  213,    0
 25062,139194,19610808,  190,    0
 25062,139194,19610809,  220,    0
 25062,139194,19610810,  209,    0
 25062,139194,19610811,  207,    0
 25062,139194,19610812,  181,    0
 25062,139194,19610813,  143,    0
 25062,139194,19610814,  147,    0
 25062,139194,19610815,  158,    0
 25062,139194,19610816,  137,    0
 25062,139194,19610817,  136,    0
 25062,139194,19610818,  140,    0
 25062,139194,19610819,  135,    0
 25062,139194,19610820,  131,    0
 25062,139194,19610821,  146,    0
 25062,139194,19610822,  159,    0
 25062,139194,19610823,  130,    0
 25062,139194,19610824,  120,    0
 25062,139194,19610825,  146,    0
 25062,139194,19610826,  135,    0
 25062,139194,19610827,  188,    0
 25062,139194,19610828,  165,    0
 25062,139194,19610829,  144,    0
 25062,139194,19610830,  129,    0
 25062,139194,19610831,  159,    0
 25062,139194,19610901,  188,    0
 25062,139194,19610902,  200,    0
 25062,139194,19610903,  226,    0
 25062,139194,19610904,  164,    0
 25062,139194,19610905,  169,    0
 25062,139194,19610906,  181,    0
 25062,139194,19610907,  168,    0
 25062,139194,19610908,  125,    0
 25062,139194,19610909,  143,    0
 25062,139194,19610910,  125,    0
 25062,139194,19610911,  129,    0
 25062,139194,19610912,  144,    0
 25062,139194,19610913,  128,    0
 25062,139194,19610914,  155,    0
 25062,139194,19610915,  138,    0
 25062,139194,19610916,  160,    0
 25062,139194,19610917,  188,    0
 25062,139194,19610918,  192,    0
 25062,139194,19610919,  125,    0
 25062,139194,19610920,   99,    0
 25062,139194,19610921,   88,    0
 25062,139194,19610922,   88,    0
 25062,139194,19610923,   82,    0
 25062,139194,19610924,  115,    0
 25062,139194,19610925,  139,    0
 25062,139194,19610926,  104,    0
 25062,139194,19610927,  108,    0
 25062,139194,19610928,   99,    0
 25062,139194,19610929,   99,    0
 25062,139194,19610930,   93,    0
 25062,139194,19611001,  107,    0
 25062,139194,19611002,  115,    0
 25062,139194,19611003,  109,    0
 25062,139194,19611004,  123,    0
 25062,139194,19611005,  114,    0
 25062,139194,19611006,  110,    0
 25062,139194,19611007,  122,    0
 25062,139194,19611008,  108,    0
 25062,139194,19611009,  105,    0
 25062,139194,19611010,   67,    0
 25062,139194,19611011,   94,    0
 25062,139194,19611012,  102,    0
 25062,139194,19611013,   85,    0
 25062,139194,19611014,   86,    0
 25062,139194,19611015,  103,    0
 25062,139194,19611016,   76,    0
 25062,139194,19611017,   86,    0
 25062,139194,19611018,  148,    0
 25062,139194,19611019,  160,    0
 25062,139194,19611020,  134,    0
 25062,139194,19611021,  105,    0
 25062,139194,19611022,   88,    0
 25062,139194,19611023,   67,    0
 25062,139194,19611024,   90,    0
 25062,139194,19611025,  108,    0
 25062,139194,19611026,   88,    0
 25062,139194,19611027,   97,    0
 25062,139194,19611028,  119,    0
