EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NIEGOW, POLAND (STAID: 25063)
Blended and updated with sources:139206 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25063,139206,19860101, -114,    0
 25063,139206,19860102,  -51,    0
 25063,139206,19860103,  -14,    0
 25063,139206,19860104,  -12,    0
 25063,139206,19860105,  -36,    0
 25063,139206,19860106,  -33,    0
 25063,139206,19860107,  -22,    0
 25063,139206,19860108,  -42,    0
 25063,139206,19860109,  -74,    0
 25063,139206,19860110,  -47,    0
 25063,139206,19860111,  -46,    0
 25063,139206,19860112,    8,    0
 25063,139206,19860113,   14,    0
 25063,139206,19860114,   18,    0
 25063,139206,19860115,   13,    0
 25063,139206,19860116,  -12,    0
 25063,139206,19860117,  -48,    0
 25063,139206,19860118,  -59,    0
 25063,139206,19860119,   10,    0
 25063,139206,19860120,   24,    0
 25063,139206,19860121,   22,    0
 25063,139206,19860122,   30,    0
 25063,139206,19860123,   35,    0
 25063,139206,19860124,   39,    0
 25063,139206,19860125,    8,    0
 25063,139206,19860126,    0,    0
 25063,139206,19860127,  -18,    0
 25063,139206,19860128,  -32,    0
 25063,139206,19860129,  -65,    0
 25063,139206,19860130,  -16,    0
 25063,139206,19860131,   -7,    0
 25063,139206,19860201,  -43,    0
 25063,139206,19860202,  -83,    0
 25063,139206,19860203, -120,    0
 25063,139206,19860204, -137,    0
 25063,139206,19860205, -137,    0
 25063,139206,19860206, -135,    0
 25063,139206,19860207, -209,    0
 25063,139206,19860208, -197,    0
 25063,139206,19860209,  -49,    0
 25063,139206,19860210,  -85,    0
 25063,139206,19860211, -113,    0
 25063,139206,19860212,  -82,    0
 25063,139206,19860213, -114,    0
 25063,139206,19860214, -101,    0
 25063,139206,19860215,  -68,    0
 25063,139206,19860216,  -61,    0
 25063,139206,19860217,  -62,    0
 25063,139206,19860218,  -39,    0
 25063,139206,19860219, -108,    0
 25063,139206,19860220, -108,    0
 25063,139206,19860221, -102,    0
 25063,139206,19860222,  -87,    0
 25063,139206,19860223, -114,    0
 25063,139206,19860224,  -95,    0
 25063,139206,19860225, -143,    0
 25063,139206,19860226, -161,    0
 25063,139206,19860227, -109,    0
 25063,139206,19860228,  -91,    0
 25063,139206,19860301, -137,    0
 25063,139206,19860302,  -88,    0
 25063,139206,19860303, -104,    0
 25063,139206,19860304,  -34,    0
 25063,139206,19860305,   -6,    0
 25063,139206,19860306,   37,    0
 25063,139206,19860307,   29,    0
 25063,139206,19860308,   24,    0
 25063,139206,19860309,   17,    0
 25063,139206,19860310,    7,    0
 25063,139206,19860311,   13,    0
 25063,139206,19860312,   14,    0
 25063,139206,19860313,    9,    0
 25063,139206,19860314,   -2,    0
 25063,139206,19860315,   -3,    0
 25063,139206,19860316,   13,    0
 25063,139206,19860317,   18,    0
 25063,139206,19860318,    7,    0
 25063,139206,19860319,   15,    0
 25063,139206,19860320,   11,    0
 25063,139206,19860321,   24,    0
 25063,139206,19860322,   11,    0
 25063,139206,19860323,   35,    0
 25063,139206,19860324,   39,    0
 25063,139206,19860325,   71,    0
 25063,139206,19860326,   46,    0
 25063,139206,19860327,   64,    0
 25063,139206,19860328,  104,    0
 25063,139206,19860329,   67,    0
 25063,139206,19860330,   71,    0
 25063,139206,19860331,   78,    0
 25063,139206,19860401,   62,    0
 25063,139206,19860402,   35,    0
 25063,139206,19860403,   50,    0
 25063,139206,19860404,   43,    0
 25063,139206,19860405,   50,    0
 25063,139206,19860406,   51,    0
 25063,139206,19860407,   64,    0
 25063,139206,19860408,  127,    0
 25063,139206,19860409,  106,    0
 25063,139206,19860410,   45,    0
 25063,139206,19860411,  -21,    0
 25063,139206,19860412,  -24,    0
 25063,139206,19860413,   -3,    0
 25063,139206,19860414,    5,    0
 25063,139206,19860415,   34,    0
 25063,139206,19860416,   65,    0
 25063,139206,19860417,   80,    0
 25063,139206,19860418,   88,    0
 25063,139206,19860419,   91,    0
 25063,139206,19860420,   42,    0
 25063,139206,19860421,   61,    0
 25063,139206,19860422,  120,    0
 25063,139206,19860423,  150,    0
 25063,139206,19860424,  158,    0
 25063,139206,19860425,  162,    0
 25063,139206,19860426,  177,    0
 25063,139206,19860427,  179,    0
 25063,139206,19860428,  161,    0
 25063,139206,19860429,  162,    0
 25063,139206,19860430,  174,    0
 25063,139206,19860501,  132,    0
 25063,139206,19860502,  119,    0
 25063,139206,19860503,  142,    0
 25063,139206,19860504,  135,    0
 25063,139206,19860505,  121,    0
 25063,139206,19860506,  136,    0
 25063,139206,19860507,  138,    0
 25063,139206,19860508,  164,    0
 25063,139206,19860509,  123,    0
