EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SZEPIETOWO, POLAND (STAID: 25064)
Blended and updated with sources:139218 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25064,139218,19510101,  -60,    0
 25064,139218,19510102,  -25,    0
 25064,139218,19510103,    3,    0
 25064,139218,19510104,  -10,    0
 25064,139218,19510105,  -13,    0
 25064,139218,19510106,   17,    0
 25064,139218,19510107,   16,    0
 25064,139218,19510108,    7,    0
 25064,139218,19510109,    5,    0
 25064,139218,19510110,    7,    0
 25064,139218,19510111,   10,    0
 25064,139218,19510112,   22,    0
 25064,139218,19510113,   16,    0
 25064,139218,19510114,    7,    0
 25064,139218,19510115,    9,    0
 25064,139218,19510116,    4,    0
 25064,139218,19510117,   -9,    0
 25064,139218,19510118,   -9,    0
 25064,139218,19510119,   -2,    0
 25064,139218,19510120,    4,    0
 25064,139218,19510121,  -22,    0
 25064,139218,19510122,  -69,    0
 25064,139218,19510123, -152,    0
 25064,139218,19510124, -158,    0
 25064,139218,19510125, -156,    0
 25064,139218,19510126, -115,    0
 25064,139218,19510127, -102,    0
 25064,139218,19510128,  -55,    0
 25064,139218,19510129,  -81,    0
 25064,139218,19510130, -108,    0
 25064,139218,19510131, -109,    0
 25064,139218,19510201, -121,    0
 25064,139218,19510202, -110,    0
 25064,139218,19510203, -111,    0
 25064,139218,19510204,  -98,    0
 25064,139218,19510205,  -44,    0
 25064,139218,19510206,   -8,    0
 25064,139218,19510207,   20,    0
 25064,139218,19510208,   14,    0
 25064,139218,19510209,    4,    0
 25064,139218,19510210,  -42,    0
 25064,139218,19510211,  -21,    0
 25064,139218,19510212,    7,    0
 25064,139218,19510213,    5,    0
 25064,139218,19510214,    8,    0
 25064,139218,19510215,  -30,    0
 25064,139218,19510216,  -61,    0
 25064,139218,19510217,  -22,    0
 25064,139218,19510218,   -2,    0
 25064,139218,19510219,   -6,    0
 25064,139218,19510220,    0,    0
 25064,139218,19510221,   -4,    0
 25064,139218,19510222,   10,    0
 25064,139218,19510223,    9,    0
 25064,139218,19510224,    8,    0
 25064,139218,19510225,    0,    0
 25064,139218,19510226,    4,    0
 25064,139218,19510227,    2,    0
 25064,139218,19510228,  -12,    0
 25064,139218,19510301,  -18,    0
 25064,139218,19510302,  -74,    0
 25064,139218,19510303,  -99,    0
 25064,139218,19510304,  -50,    0
 25064,139218,19510305,  -41,    0
 25064,139218,19510306,  -41,    0
 25064,139218,19510307,  -63,    0
 25064,139218,19510308,  -39,    0
 25064,139218,19510309,  -40,    0
 25064,139218,19510310,  -60,    0
 25064,139218,19510311,  -65,    0
 25064,139218,19510312,  -20,    0
 25064,139218,19510313,   18,    0
 25064,139218,19510314,   34,    0
 25064,139218,19510315,   42,    0
 25064,139218,19510316,   18,    0
 25064,139218,19510317,   -9,    0
 25064,139218,19510318,   63,    0
 25064,139218,19510319,   49,    0
 25064,139218,19510320,    3,    0
 25064,139218,19510321,  -35,    0
 25064,139218,19510322,   -1,    0
 25064,139218,19510323,   22,    0
 25064,139218,19510324,   47,    0
 25064,139218,19510325,   18,    0
 25064,139218,19510326,   13,    0
 25064,139218,19510327,   17,    0
 25064,139218,19510328,   -1,    0
 25064,139218,19510329,   13,    0
 25064,139218,19510330,   10,    0
 25064,139218,19510331,   39,    0
 25064,139218,19510401,   67,    0
 25064,139218,19510402,   42,    0
 25064,139218,19510403,   96,    0
 25064,139218,19510404,   62,    0
 25064,139218,19510405,   79,    0
 25064,139218,19510406,   64,    0
 25064,139218,19510407,   73,    0
 25064,139218,19510408,  106,    0
 25064,139218,19510409,   84,    0
 25064,139218,19510410,   84,    0
 25064,139218,19510411,   63,    0
 25064,139218,19510412,   45,    0
 25064,139218,19510413,   53,    0
 25064,139218,19510414,   82,    0
 25064,139218,19510415,   44,    0
 25064,139218,19510416,   45,    0
 25064,139218,19510417,   64,    0
 25064,139218,19510418,   53,    0
 25064,139218,19510419,   96,    0
 25064,139218,19510420,   42,    0
 25064,139218,19510421,   39,    0
 25064,139218,19510422,   46,    0
