EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BIALOWIEZA, POLAND (STAID: 25066)
Blended and updated with sources:139242 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25066,139242,19510101,  -72,    0
 25066,139242,19510102,  -21,    0
 25066,139242,19510103,    6,    0
 25066,139242,19510104,   -2,    0
 25066,139242,19510105,  -10,    0
 25066,139242,19510106,   16,    0
 25066,139242,19510107,    9,    0
 25066,139242,19510108,    7,    0
 25066,139242,19510109,    0,    0
 25066,139242,19510110,    2,    0
 25066,139242,19510111,    0,    0
 25066,139242,19510112,   26,    0
 25066,139242,19510113,   32,    0
 25066,139242,19510114,    6,    0
 25066,139242,19510115,    0,    0
 25066,139242,19510116,    2,    0
 25066,139242,19510117,   -7,    0
 25066,139242,19510118,  -14,    0
 25066,139242,19510119,   -2,    0
 25066,139242,19510120,    3,    0
 25066,139242,19510121,  -12,    0
 25066,139242,19510122,  -88,    0
 25066,139242,19510123, -152,    0
 25066,139242,19510124, -163,    0
 25066,139242,19510125, -161,    0
 25066,139242,19510126, -149,    0
 25066,139242,19510127, -122,    0
 25066,139242,19510128,  -67,    0
 25066,139242,19510129,  -96,    0
 25066,139242,19510130, -119,    0
 25066,139242,19510131, -112,    0
 25066,139242,19510201, -129,    0
 25066,139242,19510202, -120,    0
 25066,139242,19510203, -131,    0
 25066,139242,19510204,  -95,    0
 25066,139242,19510205,  -42,    0
 25066,139242,19510206,  -16,    0
 25066,139242,19510207,   24,    0
 25066,139242,19510208,   14,    0
 25066,139242,19510209,   -8,    0
 25066,139242,19510210,  -61,    0
 25066,139242,19510211,  -53,    0
 25066,139242,19510212,   -4,    0
 25066,139242,19510213,   10,    0
 25066,139242,19510214,   10,    0
 25066,139242,19510215,  -38,    0
 25066,139242,19510216,  -80,    0
 25066,139242,19510217,  -44,    0
 25066,139242,19510218,  -12,    0
 25066,139242,19510219,  -16,    0
 25066,139242,19510220,  -17,    0
 25066,139242,19510221,  -24,    0
 25066,139242,19510222,    5,    0
 25066,139242,19510223,    6,    0
 25066,139242,19510224,    1,    0
 25066,139242,19510225,    8,    0
 25066,139242,19510226,   12,    0
 25066,139242,19510227,    6,    0
 25066,139242,19510228,   -5,    0
 25066,139242,19510301,  -15,    0
 25066,139242,19510302,  -93,    0
 25066,139242,19510303,  -97,    0
 25066,139242,19510304,  -56,    0
 25066,139242,19510305,  -42,    0
 25066,139242,19510306,  -27,    0
 25066,139242,19510307,  -49,    0
 25066,139242,19510308,  -41,    0
 25066,139242,19510309,  -44,    0
 25066,139242,19510310,  -60,    0
 25066,139242,19510311, -101,    0
 25066,139242,19510312,  -26,    0
 25066,139242,19510313,   28,    0
 25066,139242,19510314,   55,    0
 25066,139242,19510315,   46,    0
 25066,139242,19510316,    5,    0
 25066,139242,19510317,  -10,    0
 25066,139242,19510318,   61,    0
 25066,139242,19510319,   41,    0
 25066,139242,19510320,    8,    0
 25066,139242,19510321,  -25,    0
 25066,139242,19510322,  -10,    0
 25066,139242,19510323,   17,    0
 25066,139242,19510324,   49,    0
 25066,139242,19510325,   22,    0
 25066,139242,19510326,   15,    0
 25066,139242,19510327,   17,    0
 25066,139242,19510328,   18,    0
 25066,139242,19510329,   12,    0
 25066,139242,19510330,    6,    0
 25066,139242,19510331,   45,    0
 25066,139242,19510401,   93,    0
 25066,139242,19510402,   55,    0
 25066,139242,19510403,   98,    0
 25066,139242,19510404,   54,    0
 25066,139242,19510405,   58,    0
 25066,139242,19510406,   58,    0
 25066,139242,19510407,   61,    0
 25066,139242,19510408,  105,    0
 25066,139242,19510409,   97,    0
 25066,139242,19510410,   92,    0
 25066,139242,19510411,   73,    0
 25066,139242,19510412,   27,    0
 25066,139242,19510413,   46,    0
 25066,139242,19510414,   71,    0
 25066,139242,19510415,   43,    0
 25066,139242,19510416,   28,    0
 25066,139242,19510417,   66,    0
 25066,139242,19510418,   42,    0
 25066,139242,19510419,  116,    0
 25066,139242,19510420,   26,    0
 25066,139242,19510421,   41,    0
 25066,139242,19510422,   42,    0
 25066,139242,19510423,   57,    0
 25066,139242,19510424,   70,    0
 25066,139242,19510425,   96,    0
 25066,139242,19510426,  134,    0
 25066,139242,19510427,  171,    0
 25066,139242,19510428,  155,    0
 25066,139242,19510429,  155,    0
 25066,139242,19510430,  163,    0
 25066,139242,19510501,  118,    0
 25066,139242,19510502,   96,    0
 25066,139242,19510503,   90,    0
 25066,139242,19510504,  108,    0
 25066,139242,19510505,  144,    0
 25066,139242,19510506,  123,    0
 25066,139242,19510507,  108,    0
 25066,139242,19510508,  106,    0
 25066,139242,19510509,  116,    0
 25066,139242,19510510,  146,    0
 25066,139242,19510511,   77,    0
 25066,139242,19510512,   80,    0
 25066,139242,19510513,  115,    0
 25066,139242,19510514,   97,    0
 25066,139242,19510515,   89,    0
 25066,139242,19510516,  108,    0
 25066,139242,19510517,  113,    0
 25066,139242,19510518,  125,    0
 25066,139242,19510519,  130,    0
 25066,139242,19510520,  152,    0
 25066,139242,19510521,  151,    0
 25066,139242,19510522,  142,    0
 25066,139242,19510523,   90,    0
 25066,139242,19510524,  118,    0
 25066,139242,19510525,   71,    0
 25066,139242,19510526,   78,    0
 25066,139242,19510527,  102,    0
 25066,139242,19510528,  165,    0
 25066,139242,19510529,  130,    0
 25066,139242,19510530,   63,    0
 25066,139242,19510531,   88,    0
 25066,139242,19510601,  115,    0
 25066,139242,19510602,  144,    0
 25066,139242,19510603,  162,    0
 25066,139242,19510604,  187,    0
 25066,139242,19510605,  176,    0
 25066,139242,19510606,  189,    0
 25066,139242,19510607,  186,    0
 25066,139242,19510608,  140,    0
 25066,139242,19510609,  126,    0
 25066,139242,19510610,  164,    0
 25066,139242,19510611,  130,    0
 25066,139242,19510612,  143,    0
 25066,139242,19510613,  161,    0
 25066,139242,19510614,  161,    0
 25066,139242,19510615,  185,    0
 25066,139242,19510616,  197,    0
 25066,139242,19510617,  178,    0
 25066,139242,19510618,  220,    0
 25066,139242,19510619,  218,    0
 25066,139242,19510620,  141,    0
 25066,139242,19510621,  151,    0
 25066,139242,19510622,  178,    0
 25066,139242,19510623,  202,    0
 25066,139242,19510624,  248,    0
 25066,139242,19510625,  235,    0
 25066,139242,19510626,  176,    0
 25066,139242,19510627,  157,    0
 25066,139242,19510628,  160,    0
 25066,139242,19510629,  149,    0
 25066,139242,19510630,  126,    0
 25066,139242,19510701,  137,    0
 25066,139242,19510702,  179,    0
 25066,139242,19510703,  160,    0
 25066,139242,19510704,  150,    0
 25066,139242,19510705,  127,    0
 25066,139242,19510706,  133,    0
 25066,139242,19510707,  140,    0
 25066,139242,19510708,  202,    0
 25066,139242,19510709,  230,    0
 25066,139242,19510710,  198,    0
 25066,139242,19510711,  211,    0
 25066,139242,19510712,  242,    0
 25066,139242,19510713,  235,    0
 25066,139242,19510714,  220,    0
 25066,139242,19510715,  223,    0
 25066,139242,19510716,  243,    0
 25066,139242,19510717,  204,    0
 25066,139242,19510718,  192,    0
 25066,139242,19510719,  121,    0
 25066,139242,19510720,  123,    0
 25066,139242,19510721,  128,    0
 25066,139242,19510722,  123,    0
 25066,139242,19510723,  139,    0
 25066,139242,19510724,  182,    0
 25066,139242,19510725,  148,    0
 25066,139242,19510726,  148,    0
 25066,139242,19510727,  166,    0
 25066,139242,19510728,  164,    0
 25066,139242,19510729,  174,    0
 25066,139242,19510730,  174,    0
 25066,139242,19510731,  145,    0
 25066,139242,19510801,  160,    0
 25066,139242,19510802,  185,    0
 25066,139242,19510803,  188,    0
 25066,139242,19510804,  204,    0
 25066,139242,19510805,  220,    0
 25066,139242,19510806,  204,    0
 25066,139242,19510807,  190,    0
 25066,139242,19510808,  207,    0
 25066,139242,19510809,  238,    0
 25066,139242,19510810,  174,    0
 25066,139242,19510811,  162,    0
 25066,139242,19510812,  173,    0
 25066,139242,19510813,  191,    0
 25066,139242,19510814,  210,    0
 25066,139242,19510815,  160,    0
 25066,139242,19510816,  136,    0
 25066,139242,19510817,  154,    0
 25066,139242,19510818,  160,    0
 25066,139242,19510819,  160,    0
 25066,139242,19510820,  172,    0
 25066,139242,19510821,  179,    0
 25066,139242,19510822,  239,    0
 25066,139242,19510823,  186,    0
 25066,139242,19510824,  160,    0
 25066,139242,19510825,  175,    0
 25066,139242,19510826,  178,    0
 25066,139242,19510827,  189,    0
 25066,139242,19510828,  183,    0
 25066,139242,19510829,  198,    0
 25066,139242,19510830,  208,    0
 25066,139242,19510831,  217,    0
 25066,139242,19510901,  201,    0
 25066,139242,19510902,  156,    0
 25066,139242,19510903,  158,    0
 25066,139242,19510904,  184,    0
 25066,139242,19510905,  170,    0
 25066,139242,19510906,  184,    0
 25066,139242,19510907,  199,    0
 25066,139242,19510908,  211,    0
 25066,139242,19510909,  122,    0
 25066,139242,19510910,   90,    0
 25066,139242,19510911,   96,    0
 25066,139242,19510912,  142,    0
 25066,139242,19510913,  165,    0
 25066,139242,19510914,  187,    0
