EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BIALA PODLASKA, POLAND (STAID: 25068)
Blended and updated with sources:139254 139266 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25068,139266,19510101,  -44,    0
 25068,139266,19510102,  -12,    0
 25068,139266,19510103,    8,    0
 25068,139266,19510104,    0,    0
 25068,139266,19510105,   -6,    0
 25068,139266,19510106,   18,    0
 25068,139266,19510107,   19,    0
 25068,139266,19510108,   15,    0
 25068,139266,19510109,   11,    0
 25068,139266,19510110,   18,    0
 25068,139266,19510111,   20,    0
 25068,139266,19510112,   27,    0
 25068,139266,19510113,   46,    0
 25068,139266,19510114,   10,    0
 25068,139266,19510115,    6,    0
 25068,139266,19510116,    8,    0
 25068,139266,19510117,   -3,    0
 25068,139266,19510118,   -8,    0
 25068,139266,19510119,    6,    0
 25068,139266,19510120,    7,    0
 25068,139266,19510121,  -11,    0
 25068,139266,19510122,  -50,    0
 25068,139266,19510123, -113,    0
 25068,139266,19510124, -135,    0
 25068,139266,19510125, -139,    0
 25068,139266,19510126,  -90,    0
 25068,139266,19510127,  -96,    0
 25068,139266,19510128,  -57,    0
 25068,139266,19510129,  -75,    0
 25068,139266,19510130,  -88,    0
 25068,139266,19510131,  -70,    0
 25068,139266,19510201, -106,    0
 25068,139266,19510202,  -88,    0
 25068,139266,19510203, -100,    0
 25068,139266,19510204,  -90,    0
 25068,139266,19510205,  -46,    0
 25068,139266,19510206,   -5,    0
 25068,139266,19510207,   27,    0
 25068,139266,19510208,   23,    0
 25068,139266,19510209,    0,    0
 25068,139266,19510210,  -52,    0
 25068,139266,19510211,  -28,    0
 25068,139266,19510212,   16,    0
 25068,139266,19510213,   11,    0
 25068,139266,19510214,    5,    0
 25068,139266,19510215,  -16,    0
 25068,139266,19510216,  -53,    0
 25068,139266,19510217,  -18,    0
 25068,139266,19510218,    0,    0
 25068,139266,19510219,   -1,    0
 25068,139266,19510220,    4,    0
 25068,139266,19510221,  -16,    0
 25068,139266,19510222,   11,    0
 25068,139266,19510223,   16,    0
 25068,139266,19510224,   12,    0
 25068,139266,19510225,    8,    0
 25068,139266,19510226,   14,    0
 25068,139266,19510227,    5,    0
 25068,139266,19510228,   -1,    0
 25068,139266,19510301,   -2,    0
 25068,139266,19510302,  -60,    0
 25068,139266,19510303,  -85,    0
 25068,139266,19510304,  -46,    0
 25068,139266,19510305,  -44,    0
 25068,139266,19510306,  -21,    0
 25068,139266,19510307,  -64,    0
 25068,139266,19510308,  -49,    0
 25068,139266,19510309,  -39,    0
 25068,139266,19510310,  -48,    0
 25068,139266,19510311,  -51,    0
 25068,139266,19510312,   -6,    0
 25068,139266,19510313,   41,    0
 25068,139266,19510314,   72,    0
 25068,139266,19510315,   53,    0
 25068,139266,19510316,   17,    0
 25068,139266,19510317,    0,    0
 25068,139266,19510318,   88,    0
 25068,139266,19510319,   78,    0
 25068,139266,19510320,   16,    0
 25068,139266,19510321,  -24,    0
 25068,139266,19510322,   -8,    0
 25068,139266,19510323,   24,    0
 25068,139266,19510324,   55,    0
 25068,139266,19510325,   24,    0
 25068,139266,19510326,   18,    0
 25068,139266,19510327,   32,    0
 25068,139266,19510328,   23,    0
 25068,139266,19510329,    9,    0
 25068,139266,19510330,   10,    0
 25068,139266,19510331,   60,    0
 25068,139266,19510401,   96,    0
 25068,139266,19510402,   67,    0
 25068,139266,19510403,   91,    0
 25068,139266,19510404,   74,    0
 25068,139266,19510405,   84,    0
 25068,139266,19510406,   72,    0
 25068,139266,19510407,   77,    0
 25068,139266,19510408,  114,    0
 25068,139266,19510409,  102,    0
 25068,139266,19510410,   95,    0
 25068,139266,19510411,   78,    0
 25068,139266,19510412,   42,    0
 25068,139266,19510413,   70,    0
 25068,139266,19510414,   84,    0
 25068,139266,19510415,   47,    0
 25068,139266,19510416,   50,    0
 25068,139266,19510417,   79,    0
 25068,139266,19510418,   66,    0
 25068,139266,19510419,  128,    0
 25068,139266,19510420,   41,    0
 25068,139266,19510421,   34,    0
 25068,139266,19510422,   46,    0
 25068,139266,19510423,   58,    0
 25068,139266,19510424,   82,    0
 25068,139266,19510425,  113,    0
 25068,139266,19510426,  138,    0
 25068,139266,19510427,  158,    0
 25068,139266,19510428,  156,    0
 25068,139266,19510429,  169,    0
 25068,139266,19510430,  180,    0
 25068,139266,19510501,  121,    0
 25068,139266,19510502,  107,    0
 25068,139266,19510503,  108,    0
 25068,139266,19510504,  132,    0
 25068,139266,19510505,  157,    0
 25068,139266,19510506,  141,    0
 25068,139266,19510507,  116,    0
 25068,139266,19510508,  116,    0
 25068,139266,19510509,  127,    0
 25068,139266,19510510,  136,    0
 25068,139266,19510511,   86,    0
 25068,139266,19510512,   79,    0
 25068,139266,19510513,  108,    0
 25068,139266,19510514,  112,    0
 25068,139266,19510515,   96,    0
 25068,139266,19510516,  116,    0
 25068,139266,19510517,  116,    0
 25068,139266,19510518,  139,    0
 25068,139266,19510519,  147,    0
 25068,139266,19510520,  160,    0
 25068,139266,19510521,  148,    0
 25068,139266,19510522,  148,    0
 25068,139266,19510523,  115,    0
 25068,139266,19510524,  120,    0
 25068,139266,19510525,   80,    0
 25068,139266,19510526,  104,    0
 25068,139266,19510527,  127,    0
 25068,139266,19510528,  184,    0
 25068,139266,19510529,  138,    0
 25068,139266,19510530,   84,    0
 25068,139266,19510531,   96,    0
 25068,139266,19510601,  135,    0
 25068,139266,19510602,  160,    0
 25068,139266,19510603,  179,    0
 25068,139266,19510604,  190,    0
 25068,139266,19510605,  168,    0
 25068,139266,19510606,  194,    0
 25068,139266,19510607,  200,    0
 25068,139266,19510608,  136,    0
 25068,139266,19510609,  133,    0
 25068,139266,19510610,  170,    0
 25068,139266,19510611,  140,    0
 25068,139266,19510612,  156,    0
 25068,139266,19510613,  172,    0
 25068,139266,19510614,  169,    0
 25068,139266,19510615,  194,    0
 25068,139266,19510616,  215,    0
 25068,139266,19510617,  196,    0
 25068,139266,19510618,  232,    0
 25068,139266,19510619,  215,    0
 25068,139266,19510620,  153,    0
 25068,139266,19510621,  174,    0
 25068,139266,19510622,  198,    0
 25068,139266,19510623,  219,    0
 25068,139266,19510624,  250,    0
 25068,139266,19510625,  211,    0
 25068,139266,19510626,  187,    0
 25068,139266,19510627,  158,    0
 25068,139266,19510628,  170,    0
 25068,139266,19510629,  163,    0
 25068,139266,19510630,  144,    0
 25068,139266,19510701,  148,    0
 25068,139266,19510702,  182,    0
 25068,139266,19510703,  178,    0
 25068,139266,19510704,  170,    0
 25068,139266,19510705,  136,    0
 25068,139266,19510706,  150,    0
 25068,139266,19510707,  151,    0
 25068,139266,19510708,  216,    0
 25068,139266,19510709,  234,    0
 25068,139266,19510710,  207,    0
 25068,139266,19510711,  232,    0
 25068,139266,19510712,  262,    0
 25068,139266,19510713,  227,    0
 25068,139266,19510714,  235,    0
 25068,139266,19510715,  244,    0
 25068,139266,19510716,  261,    0
 25068,139266,19510717,  210,    0
 25068,139266,19510718,  209,    0
 25068,139266,19510719,  148,    0
 25068,139266,19510720,  128,    0
 25068,139266,19510721,  134,    0
 25068,139266,19510722,  137,    0
 25068,139266,19510723,  160,    0
 25068,139266,19510724,  200,    0
 25068,139266,19510725,  153,    0
 25068,139266,19510726,  154,    0
 25068,139266,19510727,  176,    0
 25068,139266,19510728,  173,    0
 25068,139266,19510729,  190,    0
 25068,139266,19510730,  174,    0
 25068,139266,19510731,  164,    0
 25068,139266,19510801,  180,    0
 25068,139266,19510802,  201,    0
 25068,139266,19510803,  208,    0
 25068,139266,19510804,  221,    0
 25068,139266,19510805,  224,    0
 25068,139266,19510806,  208,    0
 25068,139266,19510807,  189,    0
 25068,139266,19510808,  213,    0
 25068,139266,19510809,  256,    0
 25068,139266,19510810,  187,    0
 25068,139266,19510811,  176,    0
 25068,139266,19510812,  181,    0
 25068,139266,19510813,  207,    0
 25068,139266,19510814,  206,    0
 25068,139266,19510815,  166,    0
 25068,139266,19510816,  157,    0
 25068,139266,19510817,  175,    0
 25068,139266,19510818,  179,    0
 25068,139266,19510819,  164,    0
 25068,139266,19510820,  187,    0
 25068,139266,19510821,  194,    0
 25068,139266,19510822,  238,    0
 25068,139266,19510823,  206,    0
 25068,139266,19510824,  177,    0
 25068,139266,19510825,  192,    0
 25068,139266,19510826,  197,    0
 25068,139266,19510827,  218,    0
 25068,139266,19510828,  197,    0
 25068,139266,19510829,  217,    0
 25068,139266,19510830,  226,    0
 25068,139266,19510831,  239,    0
 25068,139266,19510901,  200,    0
 25068,139266,19510902,  172,    0
 25068,139266,19510903,  182,    0
 25068,139266,19510904,  194,    0
 25068,139266,19510905,  191,    0
 25068,139266,19510906,  199,    0
 25068,139266,19510907,  224,    0
 25068,139266,19510908,  230,    0
 25068,139266,19510909,  152,    0
 25068,139266,19510910,  123,    0
 25068,139266,19510911,  129,    0
 25068,139266,19510912,  157,    0
 25068,139266,19510913,  193,    0
 25068,139266,19510914,  218,    0
 25068,139266,19510915,  161,    0
 25068,139266,19510916,  200,    0
 25068,139266,19510917,  160,    0
