EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PRZELEWICE, POLAND (STAID: 25073)
Blended and updated with sources:139326 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25073,139326,19560101,   10,    1
 25073,139326,19560102,   11,    1
 25073,139326,19560103,  -16,    0
 25073,139326,19560104,   15,    1
 25073,139326,19560105,   28,    1
 25073,139326,19560106,   -2,    0
 25073,139326,19560107,  -16,    0
 25073,139326,19560108,  -24,    0
 25073,139326,19560109,  -12,    0
 25073,139326,19560110,  -31,    0
 25073,139326,19560111,   12,    1
 25073,139326,19560112,   40,    1
 25073,139326,19560113,   44,    1
 25073,139326,19560114,    9,    1
 25073,139326,19560115,   44,    1
 25073,139326,19560116,   33,    1
 25073,139326,19560117,   30,    1
 25073,139326,19560118,   30,    1
 25073,139326,19560119,   11,    1
 25073,139326,19560120,   32,    1
 25073,139326,19560121,   40,    1
 25073,139326,19560122,   34,    1
 25073,139326,19560123,   17,    1
 25073,139326,19560124,   18,    1
 25073,139326,19560125,   -4,    0
 25073,139326,19560126,  -17,    0
 25073,139326,19560127,  -44,    0
 25073,139326,19560128,  -33,    0
 25073,139326,19560129,  -66,    0
 25073,139326,19560130, -129,    0
 25073,139326,19560131, -184,    0
 25073,139326,19560201, -204,    0
 25073,139326,19560202,  -74,    0
 25073,139326,19560203,  -74,    0
 25073,139326,19560204,  -64,    0
 25073,139326,19560205,  -45,    0
 25073,139326,19560206,  -27,    0
 25073,139326,19560207,  -78,    0
 25073,139326,19560208, -157,    0
 25073,139326,19560209, -180,    0
 25073,139326,19560210, -162,    0
 25073,139326,19560211, -188,    0
 25073,139326,19560212, -132,    0
 25073,139326,19560213, -114,    0
 25073,139326,19560214, -146,    0
 25073,139326,19560215, -173,    0
 25073,139326,19560216, -122,    0
 25073,139326,19560217,  -92,    0
 25073,139326,19560218, -115,    0
 25073,139326,19560219,  -56,    0
 25073,139326,19560220,  -62,    0
 25073,139326,19560221, -138,    0
 25073,139326,19560222, -136,    0
 25073,139326,19560223, -147,    0
 25073,139326,19560224,  -86,    0
 25073,139326,19560225,  -89,    0
 25073,139326,19560226,  -46,    0
 25073,139326,19560227,   -9,    0
 25073,139326,19560228,   10,    1
 25073,139326,19560229,   20,    1
 25073,139326,19560301,   23,    1
 25073,139326,19560302,   49,    1
 25073,139326,19560303,   36,    1
 25073,139326,19560304,    8,    1
 25073,139326,19560305,    9,    1
 25073,139326,19560306,   15,    1
 25073,139326,19560307,  -21,    0
 25073,139326,19560308,  -24,    0
 25073,139326,19560309,  -21,    0
 25073,139326,19560310,   -8,    0
 25073,139326,19560311,    0,    0
 25073,139326,19560312,   -2,    0
 25073,139326,19560313,   -5,    0
 25073,139326,19560314,  -16,    0
 25073,139326,19560315,  -24,    0
 25073,139326,19560316,    2,    1
 25073,139326,19560317,   -6,    0
 25073,139326,19560318,   -8,    0
 25073,139326,19560319,   -8,    0
 25073,139326,19560320,    8,    1
 25073,139326,19560321,   30,    1
 25073,139326,19560322,   38,    1
 25073,139326,19560323,   36,    1
 25073,139326,19560324,   26,    1
 25073,139326,19560325,   44,    1
 25073,139326,19560326,   40,    1
 25073,139326,19560327,   28,    1
 25073,139326,19560328,   42,    1
 25073,139326,19560329,   71,    1
 25073,139326,19560330,   84,    1
 25073,139326,19560331,   72,    1
 25073,139326,19560401,   42,    1
 25073,139326,19560402,   51,    1
 25073,139326,19560403,   68,    1
 25073,139326,19560404,   10,    1
 25073,139326,19560405,    2,    1
 25073,139326,19560406,    1,    1
 25073,139326,19560407,   -4,    0
 25073,139326,19560408,   23,    1
