EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLCZYN-ZDROJ, POLAND (STAID: 25077)
Blended and updated with sources:139338 139374 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25077,139374,19610101,    5,    0
 25077,139374,19610102,    8,    0
 25077,139374,19610103,   17,    0
 25077,139374,19610104,   21,    0
 25077,139374,19610105,   11,    0
 25077,139374,19610106,   17,    0
 25077,139374,19610107,   17,    0
 25077,139374,19610108,   11,    0
 25077,139374,19610109,   21,    0
 25077,139374,19610110,   18,    0
 25077,139374,19610111,    8,    0
 25077,139374,19610112,  -20,    0
 25077,139374,19610113,   -5,    0
 25077,139374,19610114,   13,    0
 25077,139374,19610115,    1,    0
 25077,139374,19610116,    6,    0
 25077,139374,19610117,  -58,    0
 25077,139374,19610118,  -81,    0
 25077,139374,19610119,  -58,    0
 25077,139374,19610120,  -32,    0
 25077,139374,19610121,  -52,    0
 25077,139374,19610122,  -73,    0
 25077,139374,19610123,  -67,    0
 25077,139374,19610124,  -47,    0
 25077,139374,19610125, -120,    0
 25077,139374,19610126, -113,    0
 25077,139374,19610127,  -79,    0
 25077,139374,19610128,  -43,    0
 25077,139374,19610129,   34,    0
 25077,139374,19610130,   47,    0
 25077,139374,19610131,   39,    0
 25077,139374,19610201,   29,    0
 25077,139374,19610202,   17,    0
 25077,139374,19610203,    3,    0
 25077,139374,19610204,  -31,    0
 25077,139374,19610205,  -11,    0
 25077,139374,19610206,    6,    0
 25077,139374,19610207,   38,    0
 25077,139374,19610208,   19,    0
 25077,139374,19610209,   30,    0
 25077,139374,19610210,   20,    0
 25077,139374,19610211,   46,    0
 25077,139374,19610212,   30,    0
 25077,139374,19610213,   13,    0
 25077,139374,19610214,   31,    0
 25077,139374,19610215,   62,    0
 25077,139374,19610216,   41,    0
 25077,139374,19610217,   49,    0
 25077,139374,19610218,   61,    0
 25077,139374,19610219,   39,    0
 25077,139374,19610220,   34,    0
 25077,139374,19610221,   12,    0
 25077,139374,19610222,    9,    0
 25077,139374,19610223,    4,    0
 25077,139374,19610224,   15,    0
 25077,139374,19610225,   12,    0
 25077,139374,19610226,   20,    0
 25077,139374,19610227,   59,    0
 25077,139374,19610228,   46,    0
 25077,139374,19610301,   30,    0
 25077,139374,19610302,   34,    0
 25077,139374,19610303,   46,    0
 25077,139374,19610304,   66,    0
 25077,139374,19610305,   49,    0
 25077,139374,19610306,   49,    0
 25077,139374,19610307,   54,    0
 25077,139374,19610308,   61,    0
 25077,139374,19610309,   81,    0
 25077,139374,19610310,   85,    0
 25077,139374,19610311,   68,    0
 25077,139374,19610312,   89,    0
 25077,139374,19610313,   51,    0
 25077,139374,19610314,   67,    0
 25077,139374,19610315,   87,    0
 25077,139374,19610316,   77,    0
 25077,139374,19610317,   97,    0
 25077,139374,19610318,   79,    0
 25077,139374,19610319,   -1,    0
 25077,139374,19610320,    6,    0
 25077,139374,19610321,   13,    0
 25077,139374,19610322,   17,    0
 25077,139374,19610323,   64,    0
 25077,139374,19610324,   80,    0
 25077,139374,19610325,   77,    0
 25077,139374,19610326,   85,    0
 25077,139374,19610327,   20,    0
 25077,139374,19610328,    8,    0
 25077,139374,19610329,   57,    0
 25077,139374,19610330,   55,    0
 25077,139374,19610331,   21,    0
 25077,139374,19610401,   12,    0
 25077,139374,19610402,   29,    0
 25077,139374,19610403,   20,    0
 25077,139374,19610404,   29,    0
 25077,139374,19610405,   87,    0
 25077,139374,19610406,  137,    0
 25077,139374,19610407,  138,    0
 25077,139374,19610408,   48,    0
 25077,139374,19610409,   31,    0
 25077,139374,19610410,   37,    0
 25077,139374,19610411,   46,    0
 25077,139374,19610412,   99,    0
 25077,139374,19610413,  126,    0
 25077,139374,19610414,  157,    0
 25077,139374,19610415,   96,    0
 25077,139374,19610416,  100,    0
 25077,139374,19610417,  104,    0
 25077,139374,19610418,   84,    0
 25077,139374,19610419,   69,    0
 25077,139374,19610420,   68,    0
 25077,139374,19610421,   98,    0
 25077,139374,19610422,  145,    0
 25077,139374,19610423,  158,    0
 25077,139374,19610424,  133,    0
 25077,139374,19610425,  111,    0
 25077,139374,19610426,  120,    0
 25077,139374,19610427,  140,    0
 25077,139374,19610428,  115,    0
 25077,139374,19610429,   91,    0
 25077,139374,19610430,  125,    0
 25077,139374,19610501,  110,    0
 25077,139374,19610502,  112,    0
 25077,139374,19610503,  109,    0
 25077,139374,19610504,  131,    0
 25077,139374,19610505,  159,    0
 25077,139374,19610506,  137,    0
 25077,139374,19610507,  104,    0
 25077,139374,19610508,   92,    0
 25077,139374,19610509,   92,    0
 25077,139374,19610510,   79,    0
 25077,139374,19610511,   62,    0
 25077,139374,19610512,   62,    0
 25077,139374,19610513,   84,    0
 25077,139374,19610514,   82,    0
 25077,139374,19610515,   77,    0
 25077,139374,19610516,   80,    0
 25077,139374,19610517,   77,    0
 25077,139374,19610518,  104,    0
 25077,139374,19610519,  109,    0
 25077,139374,19610520,  108,    0
 25077,139374,19610521,  124,    0
 25077,139374,19610522,   96,    0
 25077,139374,19610523,  119,    0
 25077,139374,19610524,  113,    0
 25077,139374,19610525,  110,    0
 25077,139374,19610526,  166,    0
 25077,139374,19610527,  100,    0
 25077,139374,19610528,   73,    0
 25077,139374,19610529,  100,    0
 25077,139374,19610530,  137,    0
 25077,139374,19610531,  129,    0
 25077,139374,19610601,  163,    0
 25077,139374,19610602,  200,    0
 25077,139374,19610603,  205,    0
 25077,139374,19610604,  188,    0
 25077,139374,19610605,  179,    0
 25077,139374,19610606,  199,    0
 25077,139374,19610607,  182,    0
 25077,139374,19610608,  156,    0
 25077,139374,19610609,  172,    0
 25077,139374,19610610,  188,    0
 25077,139374,19610611,  148,    0
 25077,139374,19610612,  139,    0
 25077,139374,19610613,  150,    0
 25077,139374,19610614,  146,    0
 25077,139374,19610615,  130,    0
 25077,139374,19610616,  131,    0
 25077,139374,19610617,  177,    0
 25077,139374,19610618,  189,    0
 25077,139374,19610619,  134,    0
 25077,139374,19610620,  134,    0
 25077,139374,19610621,  128,    0
 25077,139374,19610622,  153,    0
 25077,139374,19610623,  168,    0
 25077,139374,19610624,  187,    0
 25077,139374,19610625,  209,    0
 25077,139374,19610626,  203,    0
 25077,139374,19610627,  195,    0
 25077,139374,19610628,  142,    0
 25077,139374,19610629,  152,    0
 25077,139374,19610630,  163,    0
 25077,139374,19610701,  171,    0
 25077,139374,19610702,  197,    0
 25077,139374,19610703,  207,    0
 25077,139374,19610704,  152,    0
 25077,139374,19610705,  123,    0
 25077,139374,19610706,  118,    0
 25077,139374,19610707,  121,    0
 25077,139374,19610708,  156,    0
 25077,139374,19610709,  122,    0
 25077,139374,19610710,  130,    0
 25077,139374,19610711,  157,    0
 25077,139374,19610712,  177,    0
 25077,139374,19610713,  193,    0
 25077,139374,19610714,  125,    0
 25077,139374,19610715,  171,    0
 25077,139374,19610716,  157,    0
 25077,139374,19610717,  145,    0
 25077,139374,19610718,  143,    0
 25077,139374,19610719,  163,    0
 25077,139374,19610720,  154,    0
 25077,139374,19610721,  145,    0
 25077,139374,19610722,  149,    0
 25077,139374,19610723,  135,    0
 25077,139374,19610724,  134,    0
 25077,139374,19610725,  150,    0
 25077,139374,19610726,  160,    0
 25077,139374,19610727,  154,    0
 25077,139374,19610728,  132,    0
 25077,139374,19610729,  141,    0
 25077,139374,19610730,  143,    0
 25077,139374,19610731,  134,    0
 25077,139374,19610801,  133,    0
 25077,139374,19610802,  152,    0
 25077,139374,19610803,  125,    0
 25077,139374,19610804,  136,    0
 25077,139374,19610805,  175,    0
 25077,139374,19610806,  193,    0
 25077,139374,19610807,  141,    0
 25077,139374,19610808,  170,    0
 25077,139374,19610809,  168,    0
 25077,139374,19610810,  180,    0
 25077,139374,19610811,  170,    0
 25077,139374,19610812,  173,    0
 25077,139374,19610813,  128,    0
 25077,139374,19610814,  131,    0
 25077,139374,19610815,  130,    0
 25077,139374,19610816,  119,    0
 25077,139374,19610817,  126,    0
 25077,139374,19610818,  134,    0
 25077,139374,19610819,  132,    0
 25077,139374,19610820,  146,    0
 25077,139374,19610821,  149,    0
 25077,139374,19610822,  146,    0
 25077,139374,19610823,  132,    0
 25077,139374,19610824,  136,    0
 25077,139374,19610825,  123,    0
 25077,139374,19610826,  154,    0
 25077,139374,19610827,  172,    0
 25077,139374,19610828,  153,    0
 25077,139374,19610829,  149,    0
 25077,139374,19610830,  169,    0
 25077,139374,19610831,  177,    0
 25077,139374,19610901,  180,    0
 25077,139374,19610902,  192,    0
 25077,139374,19610903,  173,    0
 25077,139374,19610904,  166,    0
 25077,139374,19610905,  172,    0
 25077,139374,19610906,  167,    0
 25077,139374,19610907,  131,    0
 25077,139374,19610908,  122,    0
 25077,139374,19610909,  123,    0
 25077,139374,19610910,  122,    0
 25077,139374,19610911,  136,    0
 25077,139374,19610912,  133,    0
 25077,139374,19610913,  139,    0
 25077,139374,19610914,  147,    0
 25077,139374,19610915,  147,    0
 25077,139374,19610916,  189,    0
 25077,139374,19610917,  197,    0
 25077,139374,19610918,  151,    0
 25077,139374,19610919,  115,    0
 25077,139374,19610920,  103,    0
 25077,139374,19610921,  106,    0
 25077,139374,19610922,   94,    0
 25077,139374,19610923,   76,    0
 25077,139374,19610924,   82,    0
 25077,139374,19610925,   95,    0
 25077,139374,19610926,   96,    0
 25077,139374,19610927,   83,    0
 25077,139374,19610928,  110,    0
 25077,139374,19610929,  151,    0
 25077,139374,19610930,  140,    0
 25077,139374,19611001,  105,    0
 25077,139374,19611002,  107,    0
 25077,139374,19611003,  119,    0
 25077,139374,19611004,  124,    0
 25077,139374,19611005,  137,    0
 25077,139374,19611006,  141,    0
 25077,139374,19611007,  141,    0
 25077,139374,19611008,  124,    0
 25077,139374,19611009,  141,    0
 25077,139374,19611010,  116,    0
 25077,139374,19611011,  134,    0
 25077,139374,19611012,   99,    0
 25077,139374,19611013,   88,    0
 25077,139374,19611014,  104,    0
 25077,139374,19611015,  112,    0
 25077,139374,19611016,  116,    0
 25077,139374,19611017,   91,    0
 25077,139374,19611018,  106,    0
 25077,139374,19611019,   93,    0
 25077,139374,19611020,   94,    0
 25077,139374,19611021,  111,    0
 25077,139374,19611022,   72,    0
 25077,139374,19611023,   96,    0
 25077,139374,19611024,  109,    0
 25077,139374,19611025,  114,    0
 25077,139374,19611026,  124,    0
 25077,139374,19611027,  132,    0
 25077,139374,19611028,  115,    0
 25077,139374,19611029,   91,    0
 25077,139374,19611030,   70,    0
 25077,139374,19611031,   93,    0
 25077,139374,19611101,   99,    0
 25077,139374,19611102,   99,    0
 25077,139374,19611103,   79,    0
 25077,139374,19611104,   30,    0
 25077,139374,19611105,   26,    0
 25077,139374,19611106,   67,    0
 25077,139374,19611107,   96,    0
 25077,139374,19611108,   65,    0
 25077,139374,19611109,   67,    0
 25077,139374,19611110,   69,    0
 25077,139374,19611111,   67,    0
 25077,139374,19611112,   65,    0
 25077,139374,19611113,   28,    0
 25077,139374,19611114,   31,    0
 25077,139374,19611115,   33,    0
 25077,139374,19611116,   33,    0
 25077,139374,19611117,   44,    0
 25077,139374,19611118,   35,    0
 25077,139374,19611119,   14,    0
 25077,139374,19611120,   10,    0
 25077,139374,19611121,   -1,    0
 25077,139374,19611122,  -26,    0
 25077,139374,19611123,    0,    0
 25077,139374,19611124,   22,    0
 25077,139374,19611125,   27,    0
 25077,139374,19611126,   19,    0
 25077,139374,19611127,   18,    0
 25077,139374,19611128,   20,    0
 25077,139374,19611129,   33,    0
 25077,139374,19611130,   54,    0
 25077,139374,19611201,   59,    0
 25077,139374,19611202,   51,    0
 25077,139374,19611203,   27,    0
 25077,139374,19611204,   28,    0
 25077,139374,19611205,  110,    0
 25077,139374,19611206,   18,    0
 25077,139374,19611207,    3,    0
 25077,139374,19611208,    7,    0
 25077,139374,19611209,   -4,    0
 25077,139374,19611210,   17,    0
 25077,139374,19611211,   29,    0
 25077,139374,19611212,   11,    0
 25077,139374,19611213,  -36,    0
 25077,139374,19611214,  -48,    0
 25077,139374,19611215,  -29,    0
 25077,139374,19611216, -120,    0
 25077,139374,19611217, -127,    0
 25077,139374,19611218,  -55,    0
 25077,139374,19611219,   -1,    0
 25077,139374,19611220,   14,    0
 25077,139374,19611221,  -16,    0
 25077,139374,19611222,  -53,    0
 25077,139374,19611223,  -74,    0
 25077,139374,19611224, -108,    0
 25077,139374,19611225, -125,    0
 25077,139374,19611226, -190,    0
 25077,139374,19611227, -129,    0
 25077,139374,19611228, -108,    0
 25077,139374,19611229,  -33,    0
 25077,139374,19611230,   -9,    0
 25077,139374,19611231,   20,    0
 25077,139374,19620101,   35,    0
 25077,139374,19620102,  -22,    0
 25077,139374,19620103,    2,    0
 25077,139374,19620104,   -5,    0
 25077,139374,19620105,  -12,    0
 25077,139374,19620106,    7,    0
 25077,139374,19620107,    6,    0
 25077,139374,19620108,   18,    0
 25077,139374,19620109,   25,    0
 25077,139374,19620110,   17,    0
 25077,139374,19620111,   43,    0
 25077,139374,19620112,   41,    0
 25077,139374,19620113,   35,    0
 25077,139374,19620114,   24,    0
