EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PRABUTY, POLAND (STAID: 25086)
Blended and updated with sources:139482 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25086,139482,19510101,  -71,    0
 25086,139482,19510102,  -34,    0
 25086,139482,19510103,   13,    0
 25086,139482,19510104,   -3,    0
 25086,139482,19510105,  -11,    0
 25086,139482,19510106,   14,    0
 25086,139482,19510107,   17,    0
 25086,139482,19510108,    9,    0
 25086,139482,19510109,   12,    0
 25086,139482,19510110,   -1,    0
 25086,139482,19510111,   12,    0
 25086,139482,19510112,   24,    0
 25086,139482,19510113,   15,    0
 25086,139482,19510114,    7,    0
 25086,139482,19510115,    7,    0
 25086,139482,19510116,    5,    0
 25086,139482,19510117,   -5,    0
 25086,139482,19510118,    4,    0
 25086,139482,19510119,   13,    0
 25086,139482,19510120,    6,    0
 25086,139482,19510121,  -17,    0
 25086,139482,19510122,  -31,    0
 25086,139482,19510123,  -76,    0
 25086,139482,19510124, -105,    0
 25086,139482,19510125, -151,    0
 25086,139482,19510126,  -90,    0
 25086,139482,19510127,  -75,    0
 25086,139482,19510128,  -51,    0
 25086,139482,19510129,  -58,    0
 25086,139482,19510130,  -85,    0
 25086,139482,19510131,  -77,    0
 25086,139482,19510201,  -86,    0
 25086,139482,19510202, -103,    0
 25086,139482,19510203,  -84,    0
 25086,139482,19510204,  -79,    0
 25086,139482,19510205,  -31,    0
 25086,139482,19510206,   11,    0
 25086,139482,19510207,   25,    0
 25086,139482,19510208,    2,    0
 25086,139482,19510209,   10,    0
 25086,139482,19510210,   -8,    0
 25086,139482,19510211,    1,    0
 25086,139482,19510212,   18,    0
 25086,139482,19510213,    4,    0
 25086,139482,19510214,    1,    0
 25086,139482,19510215,  -26,    0
 25086,139482,19510216,  -36,    0
 25086,139482,19510217,  -19,    0
 25086,139482,19510218,   11,    0
 25086,139482,19510219,   20,    0
 25086,139482,19510220,    2,    0
 25086,139482,19510221,   15,    0
 25086,139482,19510222,   17,    0
 25086,139482,19510223,   10,    0
 25086,139482,19510224,   13,    0
 25086,139482,19510225,    0,    0
 25086,139482,19510226,    2,    0
 25086,139482,19510227,   -2,    0
 25086,139482,19510228,  -20,    0
 25086,139482,19510301,  -58,    0
 25086,139482,19510302,  -46,    0
 25086,139482,19510303, -108,    0
 25086,139482,19510304,  -91,    0
 25086,139482,19510305,  -46,    0
 25086,139482,19510306,  -32,    0
 25086,139482,19510307,  -30,    0
 25086,139482,19510308,  -31,    0
 25086,139482,19510309,  -45,    0
 25086,139482,19510310,  -59,    0
 25086,139482,19510311,  -61,    0
 25086,139482,19510312,   -8,    0
 25086,139482,19510313,   23,    0
 25086,139482,19510314,   33,    0
 25086,139482,19510315,   46,    0
 25086,139482,19510316,   -8,    0
 25086,139482,19510317,   -4,    0
 25086,139482,19510318,   69,    0
 25086,139482,19510319,   60,    0
 25086,139482,19510320,  -12,    0
 25086,139482,19510321,  -30,    0
 25086,139482,19510322,   17,    0
 25086,139482,19510323,   53,    0
 25086,139482,19510324,   36,    0
 25086,139482,19510325,   -5,    0
 25086,139482,19510326,   13,    0
 25086,139482,19510327,   32,    0
 25086,139482,19510328,   12,    0
 25086,139482,19510329,    6,    0
 25086,139482,19510330,   16,    0
 25086,139482,19510331,   33,    0
 25086,139482,19510401,   51,    0
 25086,139482,19510402,   67,    0
 25086,139482,19510403,   63,    0
 25086,139482,19510404,   57,    0
 25086,139482,19510405,   55,    0
 25086,139482,19510406,   48,    0
 25086,139482,19510407,   98,    0
 25086,139482,19510408,   94,    0
 25086,139482,19510409,   61,    0
 25086,139482,19510410,   67,    0
 25086,139482,19510411,   51,    0
 25086,139482,19510412,   30,    0
 25086,139482,19510413,   71,    0
 25086,139482,19510414,   64,    0
 25086,139482,19510415,   30,    0
 25086,139482,19510416,   62,    0
 25086,139482,19510417,   54,    0
 25086,139482,19510418,   42,    0
 25086,139482,19510419,   74,    0
 25086,139482,19510420,   37,    0
 25086,139482,19510421,   43,    0
 25086,139482,19510422,   28,    0
 25086,139482,19510423,   44,    0
 25086,139482,19510424,   90,    0
 25086,139482,19510425,  132,    0
 25086,139482,19510426,  165,    0
 25086,139482,19510427,  172,    0
 25086,139482,19510428,  144,    0
 25086,139482,19510429,  106,    0
 25086,139482,19510430,  150,    0
 25086,139482,19510501,   83,    0
 25086,139482,19510502,   81,    0
 25086,139482,19510503,   75,    0
 25086,139482,19510504,  104,    0
 25086,139482,19510505,  125,    0
 25086,139482,19510506,  101,    0
 25086,139482,19510507,  119,    0
 25086,139482,19510508,  133,    0
 25086,139482,19510509,   96,    0
 25086,139482,19510510,   89,    0
 25086,139482,19510511,   58,    0
 25086,139482,19510512,   73,    0
 25086,139482,19510513,  117,    0
 25086,139482,19510514,   93,    0
 25086,139482,19510515,   87,    0
 25086,139482,19510516,   93,    0
 25086,139482,19510517,  122,    0
 25086,139482,19510518,  124,    0
 25086,139482,19510519,  148,    0
 25086,139482,19510520,  150,    0
 25086,139482,19510521,  103,    0
 25086,139482,19510522,   92,    0
 25086,139482,19510523,   99,    0
 25086,139482,19510524,   96,    0
 25086,139482,19510525,   61,    0
 25086,139482,19510526,   83,    0
 25086,139482,19510527,  138,    0
 25086,139482,19510528,  151,    0
 25086,139482,19510529,   84,    0
 25086,139482,19510530,   76,    0
 25086,139482,19510531,  103,    0
 25086,139482,19510601,  129,    0
 25086,139482,19510602,  152,    0
 25086,139482,19510603,  175,    0
 25086,139482,19510604,  186,    0
 25086,139482,19510605,  160,    0
 25086,139482,19510606,  149,    0
 25086,139482,19510607,  145,    0
 25086,139482,19510608,   91,    0
 25086,139482,19510609,  108,    0
 25086,139482,19510610,  161,    0
 25086,139482,19510611,  126,    0
 25086,139482,19510612,  155,    0
 25086,139482,19510613,  167,    0
 25086,139482,19510614,  172,    0
 25086,139482,19510615,  195,    0
 25086,139482,19510616,  170,    0
 25086,139482,19510617,  204,    0
 25086,139482,19510618,  180,    0
 25086,139482,19510619,  155,    0
 25086,139482,19510620,  144,    0
 25086,139482,19510621,  142,    0
 25086,139482,19510622,  188,    0
 25086,139482,19510623,  230,    0
 25086,139482,19510624,  225,    0
 25086,139482,19510625,  207,    0
 25086,139482,19510626,  160,    0
 25086,139482,19510627,  163,    0
 25086,139482,19510628,  141,    0
 25086,139482,19510629,  142,    0
 25086,139482,19510630,  130,    0
 25086,139482,19510701,  144,    0
 25086,139482,19510702,  174,    0
 25086,139482,19510703,  176,    0
 25086,139482,19510704,  144,    0
 25086,139482,19510705,  108,    0
 25086,139482,19510706,  134,    0
 25086,139482,19510707,  177,    0
 25086,139482,19510708,  195,    0
 25086,139482,19510709,  207,    0
 25086,139482,19510710,  189,    0
 25086,139482,19510711,  240,    0
 25086,139482,19510712,  237,    0
 25086,139482,19510713,  192,    0
 25086,139482,19510714,  206,    0
 25086,139482,19510715,  230,    0
 25086,139482,19510716,  196,    0
 25086,139482,19510717,  179,    0
 25086,139482,19510718,  171,    0
 25086,139482,19510719,  139,    0
 25086,139482,19510720,  118,    0
 25086,139482,19510721,  134,    0
 25086,139482,19510722,  145,    0
 25086,139482,19510723,  166,    0
 25086,139482,19510724,  180,    0
 25086,139482,19510725,  158,    0
 25086,139482,19510726,  163,    0
 25086,139482,19510727,  168,    0
 25086,139482,19510728,  177,    0
 25086,139482,19510729,  180,    0
 25086,139482,19510730,  150,    0
 25086,139482,19510731,  152,    0
 25086,139482,19510801,  193,    0
 25086,139482,19510802,  208,    0
 25086,139482,19510803,  186,    0
 25086,139482,19510804,  238,    0
 25086,139482,19510805,  230,    0
 25086,139482,19510806,  186,    0
 25086,139482,19510807,  191,    0
 25086,139482,19510808,  228,    0
 25086,139482,19510809,  193,    0
 25086,139482,19510810,  172,    0
 25086,139482,19510811,  156,    0
 25086,139482,19510812,  179,    0
 25086,139482,19510813,  187,    0
