EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LIDZBARK, POLAND (STAID: 25087)
Blended and updated with sources:139494 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25087,139494,19860101, -133,    0
 25087,139494,19860102,  -71,    0
 25087,139494,19860103,  -15,    0
 25087,139494,19860104,   -8,    0
 25087,139494,19860105,  -38,    0
 25087,139494,19860106,  -35,    0
 25087,139494,19860107,  -15,    0
 25087,139494,19860108,  -43,    0
 25087,139494,19860109,  -91,    0
 25087,139494,19860110,  -54,    0
 25087,139494,19860111,  -52,    0
 25087,139494,19860112,    7,    0
 25087,139494,19860113,   12,    0
 25087,139494,19860114,   13,    0
 25087,139494,19860115,   11,    0
 25087,139494,19860116,  -32,    0
 25087,139494,19860117,  -51,    0
 25087,139494,19860118,  -60,    0
 25087,139494,19860119,   10,    0
 25087,139494,19860120,   16,    0
 25087,139494,19860121,   22,    0
 25087,139494,19860122,   27,    0
 25087,139494,19860123,   18,    0
 25087,139494,19860124,   31,    0
 25087,139494,19860125,   -2,    0
 25087,139494,19860126,   -1,    0
 25087,139494,19860127,  -21,    0
 25087,139494,19860128,  -40,    0
 25087,139494,19860129,  -57,    0
 25087,139494,19860130,  -24,    0
 25087,139494,19860131,  -14,    0
 25087,139494,19860201,  -38,    0
 25087,139494,19860202,  -83,    0
 25087,139494,19860203, -106,    0
 25087,139494,19860204, -130,    0
 25087,139494,19860205, -124,    0
 25087,139494,19860206, -134,    0
 25087,139494,19860207, -190,    0
 25087,139494,19860208, -192,    0
 25087,139494,19860209, -103,    0
 25087,139494,19860210,  -61,    0
 25087,139494,19860211, -116,    0
 25087,139494,19860212, -109,    0
 25087,139494,19860213, -122,    0
 25087,139494,19860214, -114,    0
 25087,139494,19860215,  -91,    0
 25087,139494,19860216,  -85,    0
 25087,139494,19860217,  -75,    0
 25087,139494,19860218,  -63,    0
 25087,139494,19860219, -109,    0
 25087,139494,19860220, -120,    0
 25087,139494,19860221, -108,    0
 25087,139494,19860222,  -98,    0
 25087,139494,19860223, -107,    0
 25087,139494,19860224,  -86,    0
 25087,139494,19860225, -125,    0
 25087,139494,19860226, -134,    0
 25087,139494,19860227, -105,    0
 25087,139494,19860228,  -65,    0
 25087,139494,19860301, -132,    0
 25087,139494,19860302, -101,    0
 25087,139494,19860303, -127,    0
 25087,139494,19860304,  -55,    0
 25087,139494,19860305,   -3,    0
 25087,139494,19860306,   29,    0
 25087,139494,19860307,   27,    0
 25087,139494,19860308,    7,    0
 25087,139494,19860309,    3,    0
 25087,139494,19860310,    5,    0
 25087,139494,19860311,    1,    0
 25087,139494,19860312,    8,    0
 25087,139494,19860313,    5,    0
 25087,139494,19860314,   -4,    0
 25087,139494,19860315,   -8,    0
 25087,139494,19860316,  -11,    0
 25087,139494,19860317,   11,    0
 25087,139494,19860318,    9,    0
 25087,139494,19860319,   18,    0
 25087,139494,19860320,    7,    0
 25087,139494,19860321,   22,    0
 25087,139494,19860322,    9,    0
 25087,139494,19860323,   24,    0
 25087,139494,19860324,   30,    0
 25087,139494,19860325,   60,    0
 25087,139494,19860326,   35,    0
 25087,139494,19860327,   58,    0
 25087,139494,19860328,  108,    0
 25087,139494,19860329,   69,    0
 25087,139494,19860330,   66,    0
 25087,139494,19860331,   56,    0
 25087,139494,19860401,   48,    0
 25087,139494,19860402,   33,    0
 25087,139494,19860403,   19,    0
 25087,139494,19860404,   28,    0
 25087,139494,19860405,   32,    0
 25087,139494,19860406,   40,    0
 25087,139494,19860407,   43,    0
 25087,139494,19860408,   94,    0
 25087,139494,19860409,   61,    0
 25087,139494,19860410,   20,    0
 25087,139494,19860411,  -31,    0
 25087,139494,19860412,  -29,    0
 25087,139494,19860413,  -22,    0
 25087,139494,19860414,   -4,    0
 25087,139494,19860415,   31,    0
 25087,139494,19860416,   59,    0
 25087,139494,19860417,   65,    0
 25087,139494,19860418,   88,    0
 25087,139494,19860419,   69,    0
 25087,139494,19860420,   25,    0
 25087,139494,19860421,   51,    0
 25087,139494,19860422,  119,    0
 25087,139494,19860423,  138,    0
 25087,139494,19860424,  152,    0
 25087,139494,19860425,  169,    0
 25087,139494,19860426,  149,    0
 25087,139494,19860427,  163,    0
 25087,139494,19860428,  167,    0
 25087,139494,19860429,  161,    0
 25087,139494,19860430,  141,    0
