EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PRZASNYSZ, POLAND (STAID: 25089)
Blended and updated with sources:139518 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25089,139518,19610101,   -4,    0
 25089,139518,19610102,   -4,    0
 25089,139518,19610103,    5,    0
 25089,139518,19610104,   24,    0
 25089,139518,19610105,   19,    0
 25089,139518,19610106,    6,    0
 25089,139518,19610107,   -1,    0
 25089,139518,19610108,    6,    0
 25089,139518,19610109,   10,    0
 25089,139518,19610110,    4,    0
 25089,139518,19610111,   -1,    0
 25089,139518,19610112,   -8,    0
 25089,139518,19610113,  -22,    0
 25089,139518,19610114,    8,    0
 25089,139518,19610115,  -15,    0
 25089,139518,19610116,   14,    0
 25089,139518,19610117,  -65,    0
 25089,139518,19610118,  -75,    0
 25089,139518,19610119,  -38,    0
 25089,139518,19610120,  -46,    0
 25089,139518,19610121,  -52,    0
 25089,139518,19610122,  -59,    0
 25089,139518,19610123,  -95,    0
 25089,139518,19610124,  -88,    0
 25089,139518,19610125, -142,    0
 25089,139518,19610126, -113,    0
 25089,139518,19610127,  -82,    0
 25089,139518,19610128,  -91,    0
 25089,139518,19610129,  -24,    0
 25089,139518,19610130,   19,    0
 25089,139518,19610131,   22,    0
 25089,139518,19610201,   12,    0
 25089,139518,19610202,    6,    0
 25089,139518,19610203,    6,    0
 25089,139518,19610204,   -3,    0
 25089,139518,19610205,  -28,    0
 25089,139518,19610206,  -23,    0
 25089,139518,19610207,  -10,    0
 25089,139518,19610208,   11,    0
 25089,139518,19610209,    1,    0
 25089,139518,19610210,    0,    0
 25089,139518,19610211,   16,    0
 25089,139518,19610212,   15,    0
 25089,139518,19610213,    8,    0
 25089,139518,19610214,   -1,    0
 25089,139518,19610215,   30,    0
 25089,139518,19610216,   25,    0
 25089,139518,19610217,   27,    0
 25089,139518,19610218,   38,    0
 25089,139518,19610219,   21,    0
 25089,139518,19610220,   17,    0
 25089,139518,19610221,   24,    0
 25089,139518,19610222,   13,    0
 25089,139518,19610223,   -1,    0
 25089,139518,19610224,  -10,    0
 25089,139518,19610225,  -14,    0
 25089,139518,19610226,    8,    0
 25089,139518,19610227,   31,    0
 25089,139518,19610228,   62,    0
 25089,139518,19610301,   22,    0
 25089,139518,19610302,   17,    0
 25089,139518,19610303,   26,    0
 25089,139518,19610304,   34,    0
 25089,139518,19610305,   40,    0
 25089,139518,19610306,   48,    0
 25089,139518,19610307,   57,    0
 25089,139518,19610308,   45,    0
 25089,139518,19610309,   85,    0
 25089,139518,19610310,   80,    0
 25089,139518,19610311,   80,    0
 25089,139518,19610312,   96,    0
 25089,139518,19610313,   41,    0
 25089,139518,19610314,   51,    0
 25089,139518,19610315,   67,    0
 25089,139518,19610316,   76,    0
 25089,139518,19610317,   75,    0
 25089,139518,19610318,   86,    0
 25089,139518,19610319,   13,    0
 25089,139518,19610320,    3,    0
 25089,139518,19610321,   13,    0
 25089,139518,19610322,    6,    0
 25089,139518,19610323,   50,    0
 25089,139518,19610324,   62,    0
 25089,139518,19610325,   51,    0
 25089,139518,19610326,   78,    0
 25089,139518,19610327,   23,    0
 25089,139518,19610328,   11,    0
 25089,139518,19610329,   29,    0
 25089,139518,19610330,   44,    0
 25089,139518,19610331,   25,    0
 25089,139518,19610401,   13,    0
 25089,139518,19610402,   19,    0
 25089,139518,19610403,   22,    0
 25089,139518,19610404,   28,    0
 25089,139518,19610405,   84,    0
 25089,139518,19610406,  147,    0
 25089,139518,19610407,  165,    0
 25089,139518,19610408,   72,    0
 25089,139518,19610409,   24,    0
 25089,139518,19610410,   25,    0
 25089,139518,19610411,   50,    0
 25089,139518,19610412,   52,    0
 25089,139518,19610413,  111,    0
 25089,139518,19610414,  144,    0
